cue_word,association_word,cue_valence,associated_valence
science,discovery,0,0
science,lab,0,0
science,knowledge,0,0
success,achievement,0,0
success,victory,0,0
success,goal,0,0
professor,expert,0,0
professor,teacher,0,0
professor,wise,0,0
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,bond,0,0
class,lesson,0,0
class,school,0,0
class,learn,0,0
scientist,researcher,0,0
scientist,inventor,0,0
scientist,genius,0,0
physics,energy,0,0
physics,motion,0,0
physics,force,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,pass,-1,0
theorem,proof,0,0
theorem,logic,0,0
theorem,math,0,0
grade,score,-1,-1
grade,a,-1,0
grade,fail,-1,-1
lecture,note,0,-1
lecture,knowledge,0,0
lecture,audience,0,-1
student,learner,0,0
student,study,0,0
student,eager,0,0
literature,book,0,0
literature,novel,0,0
literature,read,0,0
blackboard,chalk,-1,-1
blackboard,write,-1,0
blackboard,teach,-1,0
history,past,0,-1
history,event,0,0
history,learn,0,0
society,community,0,0
society,progress,0,0
society,people,0,0
job,career,0,0
job,work,0,-1
job,income,0,0
classroom,desk,0,-1
classroom,teacher,0,0
classroom,learn,0,0
future,hope,0,0
future,opportunity,0,0
future,tomorrow,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
model,theory,0,0
model,example,0,0
model,simulate,0,0
homework,assignment,-1,-1
homework,study,-1,0
homework,chore,-1,-1
philosophy,wisdom,0,0
philosophy,think,0,0
philosophy,question,0,0
mathematic,number,0,-1
mathematic,logic,0,0
mathematic,calculate,0,0
equation,solve,0,0
equation,formula,0,0
equation,balance,0,0
llm,model,0,0
llm,training,0,0
llm,prediction,0,0
ai,intelligence,0,0
ai,learn,0,0
ai,automation,0,0
number,math,0,0
number,quantify,0,0
number,precision,0,0
proof,evidence,0,0
proof,theorem,0,0
proof,verify,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,group,0,-1
logic,reasoning,0,0
logic,deduction,0,0
logic,puzzle,0,0
chatgpt,chatbot,0,0
chatgpt,conversational,0,0
chatgpt,openai,0,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
problem - solve,debug,0,0
biology,life,0,0
biology,evolution,0,0
biology,cell,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
experiment,hypothesis,0,0
experiment,test,0,0
experiment,result,0,0
algorithm,code,0,0
algorithm,efficiency,0,0
algorithm,step,0,0
datum,analysis,0,0
datum,dataset,0,0
datum,information,0,0
study,research,0,0
study,learn,0,0
study,examine,0,0
computation,calculate,0,0
computation,process,0,0
computation,simulate,0,0
career,profession,0,0
career,success,0,0
career,ambition,0,0
informatic,compute,0,0
informatic,system,0,0
informatic,information,0,0
failure,error,-1,-1
failure,lesson,-1,0
failure,bug,-1,-1
variable,parameter,0,0
variable,input,0,0
variable,change,0,-1
music,melody,0,0
music,rhythm,0,0
music,harmony,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
knowledge,wisdom,0,0
knowledge,fact,0,0
knowledge,understand,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
teacher,mentor,0,0
teacher,educator,0,0
teacher,guide,0,0
work,effort,0,0
work,productivity,0,0
work,task,0,-1
