cue_word,association_word,cue_valence,associated_valence
study,book,0,0
study,library,0,0
study,exam,0,-1
anxiety,stress,-1,-1
anxiety,exam,-1,-1
anxiety,future,-1,0
philosophy,history,1,0
philosophy,think,1,1
philosophy,truth,1,1
problem - solve,logic,0,0
problem - solve,puzzle,0,0
problem - solve,solution,0,1
professor,lecture,0,0
professor,knowledge,0,1
professor,authority,0,-1
teacher,student,0,0
teacher,education,0,0
teacher,guidance,0,1
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,equation,-1,-1
classroom,student,0,0
classroom,desk,0,0
classroom,learn,0,0
failure,defeat,-1,-1
failure,sadness,-1,-1
failure,retry,-1,0
equation,math,-1,-1
equation,solution,-1,0
equation,number,-1,-1
success,achievement,1,1
success,happy,1,1
success,reward,1,1
number,math,-1,-1
number,count,-1,0
number,datum,-1,0
physics,science,-1,0
physics,law,-1,0
physics,experiment,-1,0
student,learn,0,0
student,university,0,0
student,exam,0,-1
class,student,0,0
class,teacher,0,0
class,lesson,0,0
stem,science,-1,0
stem,tech,-1,0
stem,engineering,-1,0
experiment,science,0,0
experiment,test,0,0
experiment,result,0,0
art,creativity,1,1
art,paint,1,1
art,beauty,1,1
model,science,0,0
model,representation,0,0
model,math,0,-1
algorithm,math,0,-1
algorithm,computer,0,0
algorithm,solution,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,success,1,1
biology,science,0,0
biology,life,0,0
biology,cell,0,0
creativity,art,1,1
creativity,imagination,1,1
creativity,innovation,1,1
future,hope,0,1
future,job,0,0
future,uncertainty,0,-1
job,work,0,0
job,income,0,0
job,career,0,0
chatgpt,technology,0,1
chatgpt,future,0,0
chatgpt,assistant,0,0
lecture,boredom,0,-1
lecture,university,0,0
lecture,knowledge,0,0
society,community,0,1
society,change,0,0
society,value,0,0
computation,math,0,-1
computation,complexity,0,-1
computation,algorithm,0,-1
scientist,discovery,0,1
scientist,research,0,0
scientist,intelligence,0,0
history,past,1,0
history,story,1,0
history,learn,1,1
proof,math,0,-1
proof,evidence,0,0
proof,truth,0,1
career,future,0,0
career,success,0,1
career,uncertainty,0,-1
theorem,math,0,-1
theorem,logic,0,0
theorem,prove,0,0
blackboard,school,0,0
blackboard,teach,0,0
blackboard,chalk,0,0
variable,math,0,-1
variable,change,0,0
variable,unknown,0,-1
literature,book,1,1
literature,story,1,1
literature,imagination,1,1
science,discovery,0,1
science,experiment,0,0
science,knowledge,0,1
ai,technology,0,1
ai,future,0,0
ai,robotic,0,0
music,joy,1,1
music,melody,1,1
music,emotion,1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
exam,stress,-1,-1
exam,study,-1,0
exam,anxiety,-1,-1
homework,study,-1,0
homework,boredom,-1,-1
homework,obligation,-1,-1
llm,ai,0,0
llm,language,0,0
llm,technology,0,1
logic,reasoning,0,0
logic,math,0,-1
logic,truth,0,1
grade,school,0,0
grade,evaluation,0,0
grade,stress,0,-1
work,effort,0,0
work,income,0,0
work,fatigue,0,-1
chemistry,science,-1,0
chemistry,experiment,-1,0
chemistry,boredom,-1,-1
informatic,computer,0,0
informatic,cod,0,0
informatic,future,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
