cue_word,association_word,cue_valence,associated_valence
physics,maths,0,-1
physics,difficult,0,-1
physics,interest,0,0
blackboard,classroom,-1,0
blackboard,note,-1,0
blackboard,chalk,-1,-1
stem,science,1,1
stem,future,1,1
stem,career,1,0
student,learn,0,1
student,grade,0,-1
student,responsibility,0,0
experiment,science,0,1
experiment,discovery,0,1
experiment,lab,0,0
history,past,-1,-1
history,learn,-1,0
history,date,-1,-1
class,learn,0,1
class,teacher,0,0
class,homework,0,-1
career,future,1,1
career,job,1,0
career,success,1,1
variable,maths,-1,-1
variable,science,-1,0
variable,unknown,-1,-1
philosophy,think,0,0
philosophy,deep,0,0
philosophy,question,0,0
grade,school,-1,0
grade,performance,-1,-1
grade,stress,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,-1
music,relaxation,1,1
music,rhythm,1,0
music,art,1,0
literature,book,0,1
literature,story,0,1
literature,imagination,0,1
society,people,0,0
society,culture,0,0
society,community,0,0
problem - solve,challenge,0,-1
problem - solve,logic,0,0
problem - solve,solution,0,1
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
theorem,maths,-1,-1
theorem,proof,-1,-1
theorem,complex,-1,-1
science,experiment,1,0
science,discovery,1,1
science,knowledge,1,1
success,achievement,1,1
success,happiness,1,1
success,goal,1,1
datum,information,0,0
datum,analysis,0,0
datum,number,0,-1
model,design,0,0
model,structure,0,0
model,representation,0,0
lecture,class,-1,0
lecture,teacher,-1,0
lecture,note,-1,0
teamwork,collaboration,1,1
teamwork,communication,1,1
teamwork,success,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
informatic,computer,0,0
informatic,datum,0,0
ai,technology,1,1
ai,future,1,0
scientist,research,0,0
scientist,discovery,0,1
creativity,art,1,1
creativity,innovation,1,1
job,work,-1,-1
job,career,-1,0
professor,teacher,0,0
professor,lecture,0,-1
chatgpt,ai,0,1
chatgpt,assistant,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
logic,reasoning,-1,-1
logic,math,-1,-1
number,math,-1,-1
number,datum,-1,0
work,job,-1,-1
work,effort,-1,-1
proof,evidence,0,0
proof,math,0,-1
equation,math,-1,-1
equation,solve,-1,-1
study,learn,0,0
study,exam,0,-1
algorithm,code,0,0
algorithm,solution,0,0
teacher,learn,0,0
teacher,classroom,0,-1
chemistry,science,1,1
chemistry,lab,1,0
computation,code,0,0
computation,datum,0,0
mathematic,number,-1,-1
mathematic,logic,-1,-1
biology,science,-1,1
biology,life,-1,0
classroom,learn,-1,0
classroom,teacher,-1,0
homework,study,-1,0
homework,assignment,-1,-1
future,hope,0,1
future,uncertainty,0,-1
llm,ai,0,1
llm,learn,0,0
