cue_word,association_word,cue_valence,associated_valence
creativity,innovation,0,1
creativity,art,0,-1
datum,information,-1,0
datum,analysis,-1,-1
physics,law,0,-1
physics,universe,0,1
equation,math,-1,-1
equation,solution,-1,0
stem,science,1,0
stem,technology,1,1
chemistry,reaction,-1,-1
chemistry,element,-1,-1
homework,study,-1,-1
homework,stress,-1,-1
society,people,0,1
society,culture,0,0
science,research,1,0
science,discovery,1,1
career,job,0,-1
career,growth,0,1
literature,book,0,1
literature,story,0,0
logic,reasoning,-1,0
logic,math,-1,-1
class,student,-1,0
class,learn,-1,1
music,song,1,1
music,rhythm,1,0
failure,mistake,-1,-1
failure,loss,-1,-1
future,hope,-1,0
future,uncertainty,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
scientist,researcher,0,1
scientist,discovery,0,1
lecture,teach,-1,0
lecture,learn,-1,1
job,work,-1,-1
job,salary,-1,0
teamwork,collaboration,1,1
teamwork,support,1,1
computation,math,-1,-1
computation,calculation,-1,-1
mathematic,number,-1,-1
mathematic,logic,-1,-1
chatgpt,ai,0,1
chatgpt,technology,0,1
biology,life,-1,1
biology,cell,-1,-1
history,past,-1,0
history,war,-1,-1
history,king,-1,-1
student,learn,0,1
student,book,0,0
student,exam,0,-1
theorem,math,-1,0
theorem,proof,-1,-1
theorem,logic,-1,0
algorithm,code,0,0
algorithm,solution,0,1
algorithm,step,0,0
classroom,desk,-1,-1
classroom,teacher,-1,0
classroom,lesson,-1,-1
number,math,-1,0
number,count,-1,-1
number,datum,-1,-1
informatic,computer,0,0
informatic,datum,0,-1
informatic,information,0,0
experiment,science,0,1
experiment,test,0,-1
experiment,result,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,truth,1,1
art,paint,1,1
art,creativity,1,1
art,beauty,1,1
problem - solve,logic,0,0
problem - solve,solution,0,1
problem - solve,challenge,0,-1
teacher,learn,0,1
teacher,classroom,0,-1
teacher,knowledge,0,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
proof,math,-1,0
proof,theorem,-1,-1
proof,evidence,-1,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
study,learn,0,1
study,book,0,0
study,focus,0,0
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,-1
grade,score,-1,-1
grade,exam,-1,-1
grade,performance,-1,0
model,design,0,0
model,representation,0,-1
model,simulation,0,0
work,job,-1,-1
work,effort,-1,0
work,productivity,-1,0
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
blackboard,classroom,-1,-1
blackboard,chalk,-1,-1
blackboard,lesson,-1,-1
ai,technology,0,0
ai,future,0,0
ai,robot,0,-1
llm,language,0,0
llm,model,0,0
llm,learn,0,1
