cue_word,association_word,cue_valence,associated_valence
number,math,-1,-1
number,count,-1,-1
number,datum,-1,0
llm,learn,0,1
llm,technology,0,0
llm,future,0,0
algorithm,code,0,-1
algorithm,solution,0,1
algorithm,problem,0,-1
exam,test,-1,-1
exam,study,-1,-1
exam,stress,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,planning,0,0
datum,information,0,0
datum,analysis,0,0
datum,research,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,lab,0,-1
failure,mistake,-1,-1
failure,learn,-1,0
failure,disappointment,-1,-1
homework,study,-1,-1
homework,task,-1,-1
homework,time,-1,-1
class,learn,0,1
class,teacher,0,0
class,student,0,0
biology,life,-1,1
biology,science,-1,0
biology,cell,-1,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,lab,0,-1
music,sound,1,1
music,rhythm,1,1
music,enjoyment,1,1
society,people,0,0
society,community,0,0
society,culture,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
literature,book,-1,1
literature,read,-1,1
literature,story,-1,1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
problem - solve,think,0,0
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,equation,-1,-1
career,job,0,0
career,growth,0,1
career,success,0,1
study,learn,-1,1
study,book,-1,0
study,time,-1,-1
equation,math,-1,-1
equation,solution,-1,1
equation,variable,-1,-1
teacher,learn,0,1
teacher,class,0,0
teacher,knowledge,0,1
success,achievement,1,1
success,happiness,1,1
success,goal,1,1
variable,change,-1,-1
variable,math,-1,-1
variable,datum,-1,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
computation,math,-1,-1
computation,calculator,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
classroom,student,0,0
classroom,teacher,0,0
theorem,proof,-1,-1
theorem,math,-1,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
informatic,computer,-1,-1
informatic,datum,-1,-1
science,experiment,1,1
science,discovery,1,1
physics,energy,0,0
physics,law,0,0
history,past,1,1
history,event,1,1
model,design,-1,-1
model,representation,-1,-1
proof,evidence,-1,-1
proof,theorem,-1,-1
scientist,research,1,1
scientist,discovery,1,1
logic,reasoning,0,0
logic,math,0,-1
job,work,0,0
job,employment,0,0
ai,technology,0,0
ai,future,0,0
creativity,art,1,1
creativity,innovation,1,1
grade,school,-1,-1
grade,performance,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
student,learn,0,1
student,school,0,-1
lecture,teach,0,0
lecture,classroom,0,0
blackboard,write,-1,-1
blackboard,classroom,-1,0
teamwork,collaboration,1,1
teamwork,group,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
art,creativity,1,1
art,paint,1,1
professor,teacher,0,0
professor,lecture,0,0
