cue_word,association_word,cue_valence,associated_valence
teacher,educator,0,-1
teacher,mentor,0,1
teacher,learner,0,-1
variable,factor,0,0
variable,quantity,0,-1
variable,parameter,0,0
job,career,0,0
job,occupation,0,0
job,role,0,0
science,research,1,1
science,experiment,1,1
science,theory,1,1
ai,machine learn,0,-1
ai,intelligence,0,0
ai,automation,0,0
future,possibility,0,1
future,trend,0,-1
future,development,0,-1
success,achievement,1,1
success,goal,1,0
success,prosperity,1,0
informatic,compute,0,0
informatic,datum,0,0
informatic,technology,0,-1
exam,assessment,-1,-1
exam,test,-1,-1
exam,evaluation,-1,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,-1
chatgpt,language model,0,0
chatgpt,ai assistant,0,0
chatgpt,conversation,0,0
blackboard,chalkboard,0,0
blackboard,teach tool,0,-1
blackboard,learn aid,0,-1
philosophy,wisdom,0,1
philosophy,reason,0,0
philosophy,ethic,0,0
computation,calculation,0,0
computation,algorithm,0,-1
computation,programming,0,-1
biology,life,1,1
biology,cell,1,0
biology,ecology,1,0
society,community,1,1
society,culture,1,1
society,norm,1,-1
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
datum,information,1,1
datum,statistic,1,0
datum,analytic,1,0
mathematic,equation,1,0
mathematic,proof,1,1
mathematic,theory,1,-1
proof,verification,1,1
proof,logic,1,0
proof,demonstration,1,0
creativity,imagination,1,1
creativity,innovation,1,0
creativity,originality,1,0
theorem,lemma,1,-1
theorem,proposition,1,0
theorem,principle,1,0
class,group,0,0
class,session,0,0
class,lecture,0,0
music,melody,1,0
music,harmony,1,0
music,performance,1,0
work,career,0,-1
work,task,0,-1
work,responsibility,0,0
failure,error,-1,-1
failure,mistake,-1,-1
failure,hindrance,-1,-1
problem - solve,critical thinking,1,1
problem - solve,analysis,1,1
problem - solve,strategy,1,0
student,learner,1,1
student,pupil,1,1
student,scholar,1,0
classroom,school,1,1
classroom,education,1,1
classroom,learn,1,0
equation,mathematical problem,1,1
equation,balance,1,-1
equation,solution,1,1
homework,assignment,-1,-1
homework,practice,-1,-1
homework,work,-1,-1
career,job,0,0
career,profession,0,0
career,goal,0,-1
physics,science,1,1
physics,law,1,-1
physics,motion,1,-1
chemistry,science,1,1
chemistry,element,1,-1
chemistry,reaction,1,-1
study,learn,1,1
study,research,1,0
study,analysis,1,0
history,past event,1,1
history,historical fact,1,-1
history,chronicles,1,-1
professor,teacher,1,1
professor,mentor,1,0
professor,educator,1,0
model,representation,1,1
model,example,1,0
model,illustration,1,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,0
logic,reasoning,1,1
logic,critical thinking,1,1
logic,deduction,1,0
scientist,researcher,1,0
scientist,discoverer,1,-1
scientist,investigator,1,-1
lecture,teach,1,1
lecture,instruction,1,0
lecture,presentation,1,0
experiment,testing,1,0
experiment,research,1,0
experiment,trial,1,-1
algorithm,procedure,1,0
algorithm,formula,1,0
algorithm,sequence,1,-1
literature,book,1,1
literature,story,1,0
literature,write,1,-1
llm,language model,0,0
llm,artificial intelligence,0,0
llm,chatbot,0,-1
knowledge,information,1,1
knowledge,learn,1,1
knowledge,understand,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
grade,score,1,1
grade,mark,1,0
grade,evaluation,1,-1
number,digit,1,1
number,mathematical symbol,1,0
number,calculation,1,0
