cue_word,association_word,cue_valence,associated_valence
future,progress,0,0
future,hope,0,0
future,innovation,0,0
logic,order,0,0
logic,reason,0,0
logic,clarity,0,0
history,memory,0,0
history,pattern,0,-1
history,lesson,0,0
success,achievement,0,0
success,effort,0,0
success,goal,0,0
science,discovery,0,0
science,truth,0,0
science,curiosity,0,0
theorem,proof,0,0
theorem,certainty,0,0
theorem,structure,0,0
literature,story,0,0
literature,emotion,0,0
literature,imagination,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
problem - solve,solution,0,0
experiment,test,0,0
experiment,datum,0,0
experiment,result,0,0
homework,work,-1,0
homework,effort,-1,0
homework,task,-1,-1
failure,lesson,-1,0
failure,setback,-1,-1
failure,growth,-1,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share,0,0
society,community,0,0
society,rule,0,-1
society,change,0,0
computation,algorithm,0,0
computation,speed,0,0
computation,datum,0,0
physics,law,0,0
physics,motion,0,0
physics,universe,0,0
grade,score,-1,0
grade,performance,-1,0
grade,feedback,-1,-1
ai,intelligence,0,0
ai,automation,0,0
ai,future,0,0
study,focus,0,0
study,discipline,0,0
study,learn,0,0
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
informatic,system,0,0
informatic,datum,0,0
informatic,design,0,0
blackboard,write,0,0
blackboard,class,0,0
blackboard,idea,0,0
mathematic,proof,0,0
mathematic,structure,0,0
mathematic,precision,0,0
student,learn,0,0
student,growth,0,0
student,responsibility,0,0
career,path,0,0
career,goal,0,0
career,stability,0,0
chatgpt,help,0,0
chatgpt,access,0,0
chatgpt,tool,0,0
llm,intelligence,0,0
llm,technology,0,0
llm,future,0,0
algorithm,logic,0,0
algorithm,pattern,0,0
algorithm,machine,0,-1
lecture,knowledge,0,0
lecture,classroom,0,0
lecture,structure,0,-1
model,prediction,0,0
model,structure,0,0
model,science,0,0
professor,knowledge,0,0
professor,authority,0,0
professor,mentor,0,0
job,work,-1,0
job,income,-1,0
job,stress,-1,-1
chemistry,molecule,0,0
chemistry,lab,0,0
chemistry,experiment,0,-1
classroom,student,0,-1
classroom,teacher,0,0
classroom,rule,0,-1
class,group,-1,0
class,study,-1,0
class,schedule,-1,-1
knowledge,learn,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,-1
music,emotion,0,0
music,harmony,0,0
music,song,0,0
scientist,discovery,0,0
scientist,research,0,0
scientist,truth,0,0
teacher,guidance,0,0
teacher,education,0,0
teacher,support,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
number,math,0,0
number,calculation,0,0
number,pattern,0,0
stem,science,0,0
stem,engineering,0,0
stem,future,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
exam,pressure,-1,-1
exam,test,-1,-1
exam,fear,-1,-1
work,effort,0,0
work,income,0,0
work,purpose,0,0
proof,evidence,0,0
proof,logic,0,0
proof,truth,0,0
variable,change,-1,0
variable,input,-1,-1
variable,factor,-1,-1
equation,balance,0,0
equation,math,0,0
equation,solution,0,0
datum,information,0,0
datum,analysis,0,0
datum,fact,0,0
