cue_word,association_word,cue_valence,associated_valence
problem - solve,challenge,0,-1
problem - solve,logic,0,0
problem - solve,solution,0,1
computation,math,-1,-1
computation,number,-1,-1
computation,accuracy,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,power,1,0
teamwork,collaboration,-1,0
teamwork,support,-1,1
teamwork,conflict,-1,-1
professor,teacher,-1,0
professor,expert,-1,1
professor,strict,-1,-1
proof,evidence,-1,0
proof,logic,-1,0
proof,rigor,-1,-1
equation,math,-1,-1
equation,balance,-1,0
equation,complexity,-1,-1
music,art,1,1
music,emotion,1,1
music,relaxation,1,1
grade,score,-1,-1
grade,stress,-1,-1
grade,achievement,-1,1
homework,work,-1,-1
homework,time,-1,-1
homework,bore,-1,-1
algorithm,step,-1,-1
algorithm,logic,-1,0
algorithm,computer,-1,-1
future,hope,0,1
future,uncertainty,0,-1
future,planning,0,0
work,effort,-1,0
work,responsibility,-1,0
work,tiring,-1,-1
chemistry,lab,-1,-1
chemistry,reaction,-1,-1
chemistry,difficult,-1,-1
physics,law,-1,-1
physics,universe,-1,1
physics,complex,-1,-1
datum,information,-1,0
datum,analysis,-1,-1
datum,overload,-1,-1
stem,science,-1,0
stem,technology,-1,0
stem,male,-1,-1
literature,story,0,1
literature,language,0,0
literature,imagination,0,1
philosophy,think,-1,0
philosophy,abstract,-1,-1
philosophy,confuse,-1,-1
job,career,-1,0
job,money,-1,0
job,routine,-1,-1
science,discovery,0,1
science,biology,0,1
science,method,0,-1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,theory,-1,-1
career,future,0,0
career,success,0,1
career,pressure,0,-1
model,representation,-1,-1
model,simplify,-1,0
model,abstract,-1,-1
informatic,datum,-1,-1
informatic,computer,-1,-1
informatic,technical,-1,-1
logic,reason,1,1
logic,clarity,1,1
logic,proof,1,1
teacher,guidance,1,1
teacher,knowledge,1,1
teacher,support,1,1
scientist,discovery,1,1
scientist,research,1,1
scientist,curiosity,1,1
success,achievement,1,1
success,pride,1,1
success,goal,1,1
art,expression,0,1
art,beauty,0,1
art,imagination,0,1
experiment,test,0,-1
experiment,datum,0,0
experiment,trial,0,-1
history,past,1,-1
history,story,1,0
history,event,1,-1
biology,life,1,1
biology,nature,1,1
biology,cell,1,0
blackboard,chalk,0,-1
blackboard,learn,0,1
blackboard,board,0,-1
lecture,talk,-1,-1
lecture,information,-1,0
lecture,monotone,-1,-1
mathematic,number,0,0
mathematic,equation,0,-1
mathematic,logic,0,1
society,people,0,0
society,culture,0,1
society,rule,0,-1
creativity,innovation,1,1
creativity,originality,1,1
creativity,art,1,0
number,math,0,0
number,count,0,-1
number,datum,0,0
llm,ai,0,0
llm,model,0,-1
llm,text,0,-1
ai,technology,0,0
ai,future,0,1
ai,machine,0,-1
chatgpt,chatbot,0,-1
chatgpt,assistant,0,0
chatgpt,tool,0,0
study,learn,0,1
study,focus,0,0
study,effort,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,lesson,-1,0
classroom,learn,0,1
classroom,student,0,0
classroom,desk,0,-1
variable,change,-1,-1
variable,math,-1,0
variable,unknown,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
class,lesson,0,0
class,group,0,0
class,subject,0,0
student,learn,1,1
student,school,1,0
student,youth,1,0
