cue_word,association_word,cue_valence,associated_valence
creativity,art,1,0
creativity,freedom,1,1
creativity,innovation,1,1
experiment,test,0,0
experiment,discovery,0,1
experiment,lab,0,0
ai,future,0,0
ai,technology,0,0
ai,uncertainty,0,-1
study,book,0,0
study,focus,0,0
study,stress,0,-1
biology,life,0,1
biology,cell,0,0
biology,complex,0,0
history,past,0,0
history,story,0,0
history,memorization,0,-1
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,learn,1,0
mathematic,logic,-1,0
mathematic,number,-1,0
mathematic,difficult,-1,-1
proof,evidence,0,0
proof,certainty,0,0
proof,rigor,0,0
model,simulation,0,0
model,theory,0,0
model,abstraction,0,0
exam,test,-1,0
exam,stress,-1,-1
exam,grade,-1,0
science,discovery,1,1
science,method,1,0
science,progress,1,1
number,math,0,-1
number,quantify,0,0
number,abstract,0,0
literature,book,-1,0
literature,bore,-1,-1
literature,analysis,-1,-1
class,learn,0,0
class,routine,0,-1
class,social,0,1
physics,law,0,0
physics,universe,0,1
physics,challenge,0,0
llm,ai,0,0
llm,chat,0,0
llm,tool,0,0
computation,computer,0,0
computation,algorithm,0,0
computation,processing,0,0
work,effort,0,0
work,money,0,1
work,responsibility,0,0
society,people,0,1
society,culture,0,0
society,problem,0,-1
scientist,research,1,1
scientist,smart,1,0
scientist,dedicate,1,1
informatic,computer,0,0
informatic,datum,0,0
informatic,system,0,0
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,1
lecture,teacher,0,0
lecture,monotonous,0,-1
lecture,information,0,0
classroom,student,0,1
classroom,desk,0,0
classroom,interaction,0,1
job,money,0,0
job,stress,0,-1
job,routine,0,-1
grade,pressure,-1,-1
grade,evaluation,-1,-1
grade,score,-1,0
career,future,0,0
career,stability,0,0
career,ambition,0,1
blackboard,classroom,0,0
blackboard,chalk,0,-1
blackboard,learn,0,0
teacher,guidance,0,0
teacher,authority,0,0
teacher,knowledge,0,1
algorithm,code,0,0
algorithm,complexity,0,-1
algorithm,efficiency,0,0
success,achievement,1,1
success,recognition,1,0
success,happiness,1,1
teamwork,collaboration,0,0
teamwork,conflict,0,-1
teamwork,synergy,0,1
homework,burden,-1,-1
homework,practice,-1,0
homework,deadline,-1,-1
professor,expertise,0,1
professor,lecture,0,0
professor,research,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,setback,-1,-1
stem,science,0,0
stem,technology,0,0
stem,innovation,0,1
variable,change,0,0
variable,uncertainty,0,-1
variable,math,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
problem - solve,challenge,0,0
problem - solve,creativity,0,1
problem - solve,solution,0,1
chatgpt,ai,0,0
chatgpt,tool,0,0
chatgpt,assistance,0,0
logic,reason,0,0
logic,clarity,0,1
logic,structure,0,0
datum,information,0,0
datum,analysis,0,0
datum,number,0,0
music,emotion,1,0
music,rhythm,1,0
music,escape,1,0
theorem,proof,0,0
theorem,math,0,-1
theorem,truth,0,1
equation,balance,0,0
equation,math,0,-1
equation,solution,0,0
chemistry,reaction,1,0
chemistry,experiment,1,1
chemistry,element,1,0
art,expression,1,1
art,beauty,1,1
art,creativity,1,1
student,learn,0,0
student,youth,0,0
student,pressure,0,-1
philosophy,think,1,0
philosophy,question,1,0
philosophy,wisdom,1,1
