cue_word,association_word,cue_valence,associated_valence
computation,logic,0,1
computation,calculation,0,-1
computation,analysis,0,0
stem,innovation,1,1
stem,science,1,1
stem,technology,1,1
work,effort,-1,0
work,productivity,-1,0
work,challenge,-1,-1
model,representation,0,0
model,framework,0,-1
model,simulation,0,0
physics,force,1,0
physics,energy,1,1
physics,motion,1,0
knowledge,learn,1,1
knowledge,insight,1,0
knowledge,wisdom,1,1
biology,life,0,1
biology,evolution,0,-1
biology,cell,0,-1
music,melody,1,1
music,rhythm,1,0
music,harmony,1,1
future,progress,0,1
future,innovation,0,1
future,uncertainty,0,-1
experiment,trial,0,-1
experiment,research,0,1
experiment,discovery,0,1
class,group,-1,-1
class,session,-1,-1
class,learn,-1,0
classroom,education,-1,1
classroom,student,-1,0
classroom,environment,-1,-1
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,note,-1,-1
proof,logic,1,1
proof,verification,1,0
proof,certainty,1,1
datum,information,0,0
datum,analysis,0,-1
datum,statistic,0,-1
variable,change,-1,-1
variable,flexibility,-1,0
variable,parameter,-1,-1
ai,machine,1,0
ai,learn,1,1
ai,innovation,1,1
llm,language,0,-1
llm,model,0,0
llm,analysis,0,-1
algorithm,process,1,0
algorithm,logic,1,1
algorithm,solution,1,1
problem - solve,challenge,0,-1
problem - solve,strategy,0,0
problem - solve,think,0,1
chemistry,reaction,0,-1
chemistry,compound,0,-1
chemistry,experiment,0,0
equation,formula,0,-1
equation,balance,0,-1
equation,solution,0,1
student,learner,0,1
student,curiosity,0,0
student,potential,0,1
number,mathematic,-1,0
number,calculation,-1,-1
number,precision,-1,0
failure,setback,-1,-1
failure,challenge,-1,-1
failure,learn,-1,0
theorem,proof,0,1
theorem,deduction,0,-1
theorem,axiom,0,0
art,expression,1,0
art,creativity,1,1
art,imagination,1,0
logic,reasoning,-1,0
logic,argument,-1,-1
logic,rationality,-1,-1
teacher,mentor,1,0
teacher,guide,1,0
teacher,educator,1,1
chatgpt,assistant,-1,-1
chatgpt,ai,-1,-1
chatgpt,tool,-1,-1
society,community,0,1
society,culture,0,0
society,norm,0,-1
career,job,0,-1
career,future,0,0
career,ambition,0,1
scientist,researcher,0,0
scientist,innovator,0,1
scientist,expert,0,0
success,achievement,1,1
success,goal,1,0
success,victory,1,-1
job,work,-1,-1
job,employment,-1,-1
job,career,-1,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,rank,-1,-1
philosophy,think,0,-1
philosophy,ethic,0,1
philosophy,existence,0,0
mathematic,number,0,-1
mathematic,logic,0,-1
mathematic,calculation,0,-1
science,experiment,1,0
science,discovery,1,1
science,knowledge,1,0
history,past,-1,-1
history,chronicle,-1,-1
history,legacy,-1,0
exam,test,-1,-1
exam,challenge,-1,-1
exam,pressure,-1,-1
professor,lecturer,1,0
professor,scholar,1,1
professor,mentor,1,0
literature,narrative,0,-1
literature,poetry,0,1
literature,story,0,0
creativity,imagination,1,0
creativity,innovation,1,1
creativity,expression,1,0
study,learn,-1,0
study,research,-1,-1
study,education,-1,0
lecture,presentation,-1,-1
lecture,talk,-1,-1
lecture,discourse,-1,-1
informatic,compute,0,-1
informatic,datum,0,-1
informatic,technology,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
homework,assignment,-1,-1
homework,task,-1,-1
homework,duty,-1,-1
teamwork,collaboration,0,1
teamwork,cooperation,0,0
teamwork,unity,0,-1
