cue_word,association_word,cue_valence,associated_valence
anxiety,fear,0,-1
anxiety,stress,0,0
anxiety,worry,0,0
mathematic,logic,-1,0
mathematic,equation,-1,0
mathematic,problem,-1,0
teamwork,conflict,-1,-1
teamwork,collaboration,-1,0
teamwork,pressure,-1,0
literature,story,-1,0
literature,emotion,-1,1
literature,narrative,-1,0
grade,pressure,-1,0
grade,fear,-1,0
grade,performance,-1,0
student,homework,0,0
student,class,0,0
student,study,0,0
biology,laboratory,0,0
biology,cell,0,0
biology,life,0,1
class,teacher,-1,0
class,schedule,-1,-1
class,rule,-1,-1
problem - solve,logic,0,1
problem - solve,strategy,0,0
problem - solve,think,0,0
knowledge,understand,1,1
knowledge,fact,1,0
knowledge,wisdom,1,1
history,event,0,0
history,memory,0,0
history,past,0,-1
homework,stress,-1,0
homework,deadline,-1,0
homework,work,-1,0
scientist,experiment,0,0
scientist,discovery,0,1
scientist,datum,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,lab,0,0
physics,equation,0,0
physics,law,0,1
physics,motion,0,0
science,experiment,1,0
science,research,1,0
science,truth,1,1
logic,reason,1,1
logic,structure,1,0
logic,deduction,1,0
classroom,teacher,-1,0
classroom,silence,-1,-1
classroom,rule,-1,-1
professor,knowledge,0,1
professor,authority,0,0
professor,strict,0,-1
creativity,imagination,0,1
creativity,art,0,0
creativity,innovation,0,0
study,focus,0,1
study,concentration,0,0
study,effort,0,0
blackboard,write,0,0
blackboard,equation,0,0
blackboard,note,0,0
work,effort,0,0
work,stress,0,0
work,task,0,-1
variable,change,0,0
variable,input,0,0
variable,factor,0,0
equation,solution,0,1
equation,balance,0,0
equation,math,0,0
career,stress,0,-1
career,growth,0,0
career,pressure,0,-1
algorithm,logic,0,1
algorithm,pattern,0,0
algorithm,code,0,0
model,prediction,0,0
model,structure,0,0
model,design,0,0
future,uncertainty,0,-1
future,change,0,0
future,hope,0,0
datum,number,0,0
datum,analysis,0,0
datum,truth,0,1
chatgpt,help,0,1
chatgpt,tool,0,0
chatgpt,response,0,0
exam,stress,-1,-1
exam,deadline,-1,0
exam,fear,-1,-1
theorem,proof,0,1
theorem,logic,0,1
theorem,evidence,0,0
experiment,failure,0,-1
experiment,test,0,0
experiment,result,0,0
stem,science,0,0
stem,math,0,0
stem,innovation,0,1
society,change,0,0
society,pressure,0,-1
society,norm,0,0
informatic,system,0,0
informatic,code,0,0
informatic,network,0,0
lecture,class,0,0
lecture,knowledge,0,0
lecture,boredom,0,-1
proof,logic,1,1
proof,certainty,1,1
proof,truth,1,1
philosophy,question,0,0
philosophy,mean,0,0
philosophy,doubt,0,-1
failure,loss,-1,-1
failure,error,-1,-1
failure,lesson,-1,0
llm,ai,0,0
llm,language,0,0
llm,response,0,0
success,achievement,1,1
success,pride,1,0
success,goal,1,0
computation,speed,0,0
computation,process,0,0
computation,accuracy,0,1
job,income,0,0
job,stress,0,-1
job,security,0,0
number,datum,0,0
number,pattern,0,0
number,calculation,0,0
music,emotion,0,1
music,relaxation,0,0
music,feel,0,0
ai,future,0,0
ai,automation,0,0
ai,change,0,0
teacher,knowledge,0,1
teacher,guidance,0,0
teacher,pressure,0,-1
art,emotion,0,1
art,expression,0,0
art,freedom,0,0
