cue_word,association_word,cue_valence,associated_valence
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,analysis,0,0
number,math,0,0
number,count,0,0
number,datum,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
study,learn,0,1
study,research,0,0
study,exam,0,-1
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
student,learn,0,1
student,campus,0,0
student,exam,0,-1
literature,book,1,1
literature,poetry,1,1
literature,fiction,1,1
scientist,research,0,0
scientist,lab,0,0
scientist,discovery,0,1
career,job,0,0
career,growth,0,0
career,success,0,1
science,research,0,0
science,experiment,0,0
science,discovery,0,1
lecture,teach,0,0
lecture,learn,0,1
lecture,classroom,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
variable,change,0,0
variable,datum,0,0
variable,unknown,0,-1
society,people,0,0
society,community,0,0
society,culture,0,0
llm,machine,0,0
llm,learn,0,0
llm,datum,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,math,0,0
proof,theorem,0,0
proof,math,0,0
proof,logic,0,0
job,work,0,0
job,career,0,0
job,salary,0,0
algorithm,code,0,0
algorithm,datum,0,0
algorithm,solution,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
physics,science,0,0
physics,math,0,0
physics,experiment,0,0
problem - solve,logic,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
equation,math,0,0
equation,solve,0,0
equation,number,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,opportunity,-1,0
class,learn,0,0
class,friend,0,1
class,teacher,0,0
music,harmony,1,1
music,rhythm,1,1
music,emotion,1,0
stem,science,0,0
stem,technology,0,1
stem,innovation,0,1
mathematic,logic,0,0
mathematic,number,0,0
mathematic,challenge,0,0
exam,stress,-1,-1
exam,preparation,-1,0
exam,achievement,-1,0
datum,information,0,0
datum,analysis,0,0
datum,insight,0,1
history,past,0,0
history,learn,0,0
history,culture,0,0
computation,calculation,0,0
computation,algorithm,0,0
computation,solution,0,0
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
future,hope,0,1
future,potential,0,1
future,uncertainty,0,-1
chatgpt,ai,0,0
chatgpt,assistance,0,1
chatgpt,learn,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,curiosity,0,1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,laboratory,0,0
creativity,innovation,1,1
creativity,art,1,1
creativity,expression,1,1
grade,performance,0,0
grade,achievement,0,0
grade,stress,0,-1
homework,study,0,0
homework,assignment,0,0
homework,learn,0,0
logic,reasoning,0,0
logic,problem - solve,0,0
logic,mathematic,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
success,achievement,1,1
success,happiness,1,1
success,effort,1,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
ai,technology,0,1
ai,future,0,0
ai,assistance,0,1
teacher,learn,0,0
teacher,knowledge,0,1
teacher,guidance,0,0
model,representation,0,0
model,simulation,0,0
model,datum,0,0
