cue_word,association_word,cue_valence,associated_valence
job,career,-1,0
job,salary,-1,1
theorem,proof,0,0
theorem,mathematic,0,0
informatic,datum,0,0
informatic,technology,0,0
lecture,classroom,-1,-1
lecture,learn,-1,0
chemistry,science,0,1
chemistry,experiment,0,0
history,past,-1,-1
history,event,-1,-1
literature,book,0,1
literature,write,0,0
scientist,research,0,0
scientist,discovery,0,1
knowledge,learn,1,0
knowledge,wisdom,1,1
equation,math,-1,0
equation,solve,-1,0
stem,science,0,1
stem,engineering,0,0
work,effort,-1,-1
work,achievement,-1,0
music,melody,1,1
music,rhythm,1,1
creativity,innovation,1,1
creativity,art,1,1
proof,theorem,0,0
proof,demonstrate,0,0
teamwork,collaboration,0,0
teamwork,success,0,1
computation,algorithm,-1,-1
computation,calculate,-1,-1
society,community,-1,0
society,progress,-1,0
future,innovation,0,1
future,hope,0,1
logic,reasoning,0,0
logic,truth,0,0
classroom,learn,-1,0
classroom,student,-1,0
student,learn,0,0
student,school,0,0
chatgpt,ai,1,0
chatgpt,assistant,1,0
career,job,0,-1
career,growth,0,0
grade,school,-1,-1
grade,performance,-1,-1
failure,defeat,-1,-1
failure,loss,-1,-1
biology,life,0,1
biology,cell,0,0
algorithm,code,-1,-1
algorithm,logic,-1,-1
teacher,educate,0,0
teacher,mentor,0,0
variable,change,-1,-1
variable,unknown,-1,-1
art,creativity,1,1
art,expression,1,1
homework,study,-1,0
homework,assignment,-1,-1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
study,learn,0,1
study,prepare,0,0
physics,energy,0,0
physics,motion,0,0
model,representation,-1,-1
model,simulation,-1,-1
mathematic,number,0,0
mathematic,equation,0,0
llm,language,0,1
llm,intelligence,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
success,achievement,1,1
success,victory,1,1
number,math,0,0
number,count,0,0
class,student,0,0
class,learn,0,1
philosophy,think,0,0
philosophy,wisdom,0,1
datum,information,-1,0
datum,analysis,-1,-1
blackboard,teach,-1,0
blackboard,lesson,-1,0
ai,machine,0,-1
ai,learn,0,1
experiment,test,0,-1
experiment,discovery,0,1
science,research,1,1
science,knowledge,1,1
exam,test,-1,-1
exam,evaluate,-1,-1
professor,teach,0,0
professor,scholar,0,0
