cue_word,association_word,cue_valence,associated_valence
biology,life,0,0
biology,cell,0,-1
biology,nature,0,1
art,paint,1,0
art,music,1,1
art,beauty,1,1
creativity,idea,1,0
creativity,innovation,1,1
creativity,imagination,1,0
physics,energy,0,-1
physics,matter,0,-1
physics,law,0,0
equation,math,-1,0
equation,formula,-1,-1
equation,solution,-1,0
science,research,1,0
science,truth,1,1
science,discovery,1,1
career,job,0,-1
career,success,0,1
career,growth,0,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
blackboard,learn,-1,0
ai,technology,0,0
ai,future,0,1
ai,automation,0,-1
knowledge,wisdom,1,1
knowledge,understand,1,1
knowledge,fact,1,0
society,community,0,0
society,culture,0,0
society,people,0,0
problem - solve,logic,0,0
problem - solve,strategy,0,0
problem - solve,think,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,unity,1,1
experiment,testing,0,-1
experiment,hypothesis,0,-1
experiment,lab,0,-1
work,effort,-1,-1
work,productivity,-1,0
work,career,-1,0
proof,logic,0,0
proof,mathematic,0,1
proof,certainty,0,1
teacher,mentor,1,1
teacher,guide,1,0
teacher,inspiration,1,1
theorem,math,0,0
theorem,proof,0,0
theorem,truth,0,1
lecture,classroom,-1,-1
lecture,learn,-1,0
lecture,presentation,-1,-1
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
history,past,0,-1
history,culture,0,0
history,lesson,0,0
model,representation,0,-1
model,theory,0,-1
model,simulation,0,-1
student,learn,0,0
student,curiosity,0,1
student,growth,0,0
mathematic,number,1,-1
mathematic,logic,1,0
mathematic,pattern,1,0
professor,expert,1,1
professor,mentor,1,1
professor,researcher,1,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
informatic,datum,0,0
informatic,tech,0,0
informatic,system,0,0
music,relax,1,1
music,emotion,1,0
music,art,1,1
llm,ai,-1,-1
llm,chatbot,-1,-1
llm,tool,-1,0
failure,loss,-1,-1
failure,error,-1,-1
failure,setback,-1,-1
study,learn,0,1
study,work,0,-1
study,focus,0,0
homework,task,-1,-1
homework,stress,-1,-1
homework,school,-1,-1
literature,book,0,1
literature,story,0,1
literature,read,0,1
variable,datum,-1,0
variable,change,-1,-1
variable,factor,-1,-1
computation,math,-1,0
computation,calculation,-1,-1
computation,processing,-1,-1
philosophy,think,0,1
philosophy,ethic,0,0
philosophy,question,0,-1
success,achievement,1,1
success,goal,1,0
success,win,1,1
logic,reasoning,0,0
logic,truth,0,1
logic,structure,0,-1
job,work,-1,-1
job,career,-1,0
job,income,-1,0
future,hope,-1,1
future,planning,-1,0
future,uncertainty,-1,-1
datum,information,-1,0
datum,number,-1,-1
datum,analysis,-1,0
chemistry,science,0,1
chemistry,lab,0,-1
chemistry,reaction,0,-1
exam,test,-1,-1
exam,pressure,-1,-1
exam,grade,-1,-1
number,math,-1,0
number,count,-1,-1
number,stat,-1,-1
scientist,researcher,1,0
scientist,curious,1,1
scientist,innovator,1,1
class,lesson,-1,0
class,teacher,-1,0
class,learn,-1,1
grade,score,-1,-1
grade,mark,-1,-1
grade,evaluation,-1,-1
algorithm,code,-1,0
algorithm,logic,-1,0
algorithm,process,-1,-1
classroom,school,-1,-1
classroom,learn,-1,1
classroom,environment,-1,0
chatgpt,ai,-1,-1
chatgpt,assistant,-1,0
chatgpt,tool,-1,0
