cue_word,association_word,cue_valence,associated_valence
society,community,-1,0
society,progress,-1,0
creativity,innovation,1,1
class,school,-1,-1
model,template,0,0
model,framework,0,0
theorem,proof,-1,-1
theorem,math,-1,-1
success,achievement,1,1
success,happiness,1,1
classroom,learn,-1,0
homework,task,-1,-1
llm,language,0,0
llm,model,0,0
computation,calculation,-1,-1
philosophy,think,1,1
work,effort,0,0
work,job,0,0
blackboard,write,-1,-1
equation,math,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
grade,score,-1,-1
datum,information,0,0
failure,loss,-1,-1
failure,disappointment,-1,-1
study,learn,-1,0
music,sound,1,1
music,harmony,1,1
student,learner,-1,-1
history,past,0,0
teamwork,cooperation,0,1
literature,read,1,1
literature,book,1,1
anxiety,worry,-1,-1
chatgpt,ai,0,-1
chatgpt,bot,0,-1
experiment,test,0,-1
science,discovery,1,1
ai,technology,0,0
ai,intelligence,0,0
problem - solve,challenge,-1,-1
number,math,-1,-1
job,work,0,0
job,career,0,0
algorithm,code,-1,-1
future,innovation,1,1
variable,change,-1,-1
stem,education,0,1
knowledge,learn,1,1
knowledge,wisdom,1,1
career,growth,0,0
logic,reasoning,-1,-1
scientist,research,1,1
professor,teacher,0,0
professor,lecture,0,0
proof,evidence,-1,-1
lecture,class,0,0
chemistry,reactant,1,0
physics,energy,1,0
physics,motion,1,0
art,creativity,1,1
teacher,educate,0,0
mathematic,number,-1,-1
mathematic,equation,-1,-1
informatic,datum,0,1
biology,life,1,1
biology,cell,1,0
