cue_word,association_word,cue_valence,associated_valence
datum,information,1,0
datum,analysis,1,-1
student,study,0,-1
student,learn,0,-1
lecture,classroom,1,0
lecture,teacher,1,1
homework,work,-1,-1
homework,task,-1,-1
experiment,research,0,1
experiment,science,0,1
scientist,researcher,1,0
scientist,discovery,1,1
physics,science,0,1
physics,law,0,-1
history,past,-1,-1
history,event,-1,0
blackboard,board,1,0
blackboard,teach,1,1
llm,ai,-1,-1
llm,chat,-1,0
algorithm,code,0,-1
algorithm,logic,0,1
literature,book,1,0
literature,story,1,1
chatgpt,ai,-1,-1
chatgpt,chatbot,-1,0
ai,machine,-1,-1
ai,intelligence,-1,1
theorem,proof,0,1
theorem,mathematic,0,1
stem,science,1,1
stem,technology,1,0
biology,life,0,-1
biology,science,0,1
class,group,0,-1
class,teach,0,1
music,sound,1,-1
music,art,1,0
career,work,0,-1
career,future,0,1
future,time,1,-1
future,hope,1,1
knowledge,learn,0,-1
knowledge,wisdom,0,1
equation,math,-1,-1
equation,formula,-1,0
failure,error,-1,-1
failure,loss,-1,-1
exam,test,-1,0
exam,quiz,-1,-1
variable,change,0,-1
variable,flexibility,0,1
computation,math,0,1
computation,calculate,0,-1
success,achieve,1,1
success,win,1,0
chemistry,mix,-1,-1
chemistry,reaction,-1,0
proof,evidence,1,1
proof,confirm,1,0
society,people,0,-1
society,community,0,1
creativity,imagination,1,1
creativity,art,1,0
classroom,school,-1,-1
classroom,teach,-1,0
philosophy,think,1,1
philosophy,idea,1,0
grade,score,-1,-1
grade,result,-1,0
art,paint,1,1
art,draw,1,0
teamwork,collaborate,1,1
teamwork,cooperate,1,0
mathematic,number,1,-1
mathematic,equation,1,0
model,simulate,0,-1
model,represent,0,1
study,learn,0,1
study,research,0,-1
teacher,instruct,0,-1
teacher,guide,0,1
job,work,0,-1
job,career,0,1
work,task,-1,-1
work,activity,-1,0
professor,teach,1,0
professor,instruct,1,-1
logic,reason,1,1
logic,think,1,0
informatic,computer,-1,-1
informatic,datum,-1,0
anxiety,stress,1,1
anxiety,worry,1,0
science,research,0,-1
science,experiment,0,1
number,math,-1,-1
number,figure,-1,0
problem - solve,solve,1,1
problem - solve,research,1,-1
