cue_word,association_word,cue_valence,associated_valence
llm,intelligence,0,1
llm,learn,0,0
llm,innovation,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,0
lecture,education,0,1
lecture,teach,0,0
lecture,knowledge,0,0
chemistry,science,0,1
chemistry,experiment,0,0
chemistry,molecule,0,-1
computation,algorithm,0,0
computation,datum,0,1
computation,calculation,0,0
job,work,0,0
job,career,0,0
job,salary,0,-1
class,education,0,1
class,learn,0,0
class,student,0,0
algorithm,logic,0,0
algorithm,computation,0,0
algorithm,efficiency,0,1
stem,science,1,1
stem,technology,1,1
stem,education,1,0
professor,teacher,0,0
professor,knowledge,0,1
professor,research,0,0
datum,information,1,0
datum,analysis,1,0
datum,insight,1,0
science,discovery,1,1
science,research,1,0
science,stem,1,1
informatic,datum,0,1
informatic,computation,0,0
informatic,system,0,0
knowledge,learn,1,0
knowledge,education,1,1
knowledge,wisdom,1,0
model,simulation,0,-1
model,prediction,0,0
model,theory,0,0
study,learn,0,0
study,research,0,0
study,education,0,1
work,job,0,0
work,effort,0,-1
work,productivity,0,0
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,model,0,0
blackboard,classroom,-1,0
blackboard,education,-1,1
blackboard,lecture,-1,0
success,achievement,1,1
success,goal,1,0
success,reward,1,0
philosophy,think,0,-1
philosophy,wisdom,0,0
philosophy,ethic,0,0
music,art,0,1
music,melody,0,0
music,emotion,0,0
literature,write,0,0
literature,story,0,1
literature,culture,0,0
teacher,education,0,1
teacher,mentor,0,0
teacher,knowledge,0,1
scientist,research,1,0
scientist,discovery,1,1
scientist,stem,1,1
problem - solve,solution,0,1
problem - solve,innovation,0,0
problem - solve,achievement,0,0
student,learn,0,0
student,education,0,0
student,growth,0,0
logic,reasoning,0,1
logic,structure,0,0
logic,order,0,0
biology,life,0,1
biology,nature,0,0
biology,science,0,0
physics,energy,0,0
physics,motion,0,0
physics,universe,0,0
future,progress,0,1
future,opportunity,0,0
future,innovation,0,0
classroom,education,0,0
classroom,learn,0,0
classroom,teacher,0,0
history,past,0,-1
history,culture,0,0
history,tradition,0,0
proof,evidence,0,0
proof,verification,0,0
proof,truth,0,1
experiment,discovery,0,1
experiment,science,0,0
experiment,research,0,0
variable,change,-1,0
variable,factor,-1,0
variable,uncertainty,-1,-1
career,job,0,0
career,profession,0,0
career,success,0,1
ai,technology,0,0
ai,intelligence,0,0
ai,future,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
homework,study,-1,0
homework,task,-1,-1
homework,effort,-1,0
equation,mathematic,0,0
equation,solution,0,1
equation,logic,0,0
exam,test,-1,-1
exam,evaluation,-1,0
exam,pressure,-1,-1
grade,score,0,0
grade,performance,0,0
grade,achievement,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,disappointment,-1,-1
theorem,proof,0,0
theorem,mathematic,0,0
theorem,truth,0,1
society,community,0,0
society,culture,0,0
society,progress,0,0
creativity,imagination,1,1
creativity,innovation,1,0
creativity,art,1,1
number,mathematic,0,0
number,logic,0,0
number,calculation,0,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
mathematic,logic,0,0
mathematic,number,0,0
mathematic,equation,0,0
