cue_word,association_word,cue_valence,associated_valence
success,achievement,0,1
success,progress,0,0
success,growth,0,0
failure,defeat,-1,-1
failure,setback,-1,-1
failure,disappointment,-1,0
class,education,0,1
class,learn,0,0
class,routine,0,0
number,mathematic,0,1
number,statistic,0,0
number,calculation,0,0
history,past,0,0
history,event,0,0
history,timeline,0,0
philosophy,think,0,0
philosophy,reasoning,0,0
philosophy,idea,0,0
job,career,0,1
job,work,0,0
job,employment,0,0
study,learn,0,0
study,research,0,0
study,analysis,0,0
creativity,imagination,0,1
creativity,innovation,0,1
creativity,expression,0,0
chemistry,science,0,1
chemistry,element,0,0
chemistry,reaction,0,0
physics,law,0,0
physics,force,0,0
physics,energy,0,0
llm,artificial intelligence,0,1
llm,machine learn,0,0
llm,language model,0,0
lecture,presentation,0,0
lecture,teach,0,0
lecture,knowledge,0,0
literature,book,0,1
literature,story,0,0
literature,theme,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
grade,score,0,1
grade,evaluation,0,0
grade,assessment,0,0
science,fact,1,1
science,experiment,1,0
science,discovery,1,0
professor,teacher,0,0
professor,mentor,0,0
professor,authority,0,0
stem,mathematic,0,1
stem,engineering,0,0
stem,technology,0,0
exam,assessment,0,0
exam,testing,0,0
exam,evaluation,0,0
music,melody,0,1
music,rhythm,0,0
music,art,0,0
ai,intelligence,1,1
ai,machine,1,0
ai,learn,1,0
biology,life,0,1
biology,organism,0,0
biology,cell,0,0
art,creativity,0,1
art,beauty,0,0
art,expression,0,0
teacher,educator,0,0
teacher,mentor,0,0
teacher,guide,0,0
blackboard,white,0,1
blackboard,chalk,0,0
blackboard,desk,0,0
algorithm,code,0,0
algorithm,process,0,0
algorithm,solution,0,0
homework,task,0,0
homework,practice,0,-1
homework,assignment,0,0
career,job,0,1
career,path,0,0
career,goal,0,0
classroom,learn,0,1
classroom,student,0,0
classroom,teacher,0,0
society,culture,0,0
society,progress,0,0
society,value,0,-1
equation,math,0,1
equation,formula,0,0
equation,balance,0,0
model,representation,0,0
model,simulation,0,0
model,example,0,0
datum,information,0,1
datum,analysis,0,0
datum,number,0,0
chatgpt,ai,0,1
chatgpt,language,0,0
chatgpt,assistant,0,0
logic,reasoning,0,0
logic,proof,0,0
logic,argument,0,0
informatic,compute,0,1
informatic,system,0,0
informatic,datum,0,0
experiment,research,0,1
experiment,testing,0,0
experiment,result,0,0
student,learner,0,1
student,education,0,0
student,future,0,0
work,job,0,1
work,task,0,0
work,productivity,0,0
problem - solve,critical thinking,0,0
problem - solve,solution,0,0
problem - solve,challenge,0,0
mathematic,number,1,1
mathematic,equation,1,1
mathematic,proof,1,0
variable,unknown,0,0
variable,parameter,0,0
variable,factor,0,-1
proof,logic,0,0
proof,demonstration,0,0
proof,evidence,0,0
theorem,statement,0,0
theorem,result,0,0
theorem,principle,0,0
teamwork,collaboration,0,1
teamwork,partnership,0,0
teamwork,effort,0,0
scientist,researcher,0,1
scientist,discoverer,0,0
scientist,investigator,0,0
computation,calculate,0,0
computation,processing,0,0
computation,algorithm,0,0
future,possibility,0,1
future,trend,0,0
future,development,0,0
knowledge,information,1,1
knowledge,learn,1,1
knowledge,wisdom,1,0
