cue_word,association_word,cue_valence,associated_valence
job,work,-1,0
job,career,-1,0
algorithm,code,-1,-1
algorithm,logic,-1,-1
theorem,proof,-1,-1
theorem,mathematic,-1,-1
biology,life,0,1
biology,science,0,0
homework,study,-1,-1
homework,task,-1,-1
art,creativity,1,1
art,expression,1,1
ai,technology,0,0
ai,intelligence,0,0
mathematic,number,-1,-1
mathematic,logic,-1,-1
number,math,-1,-1
number,count,-1,-1
llm,language,0,1
llm,model,0,0
class,school,-1,-1
class,student,-1,0
blackboard,teach,-1,0
blackboard,lesson,-1,-1
failure,mistake,-1,-1
failure,loss,-1,-1
proof,theorem,-1,-1
proof,demonstration,-1,-1
classroom,learn,0,1
classroom,student,0,0
teacher,educate,0,1
teacher,guide,0,1
variable,math,-1,-1
variable,change,-1,-1
grade,school,-1,-1
grade,score,-1,-1
model,datum,0,0
model,prediction,0,0
study,learn,0,1
study,research,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
literature,book,1,1
literature,write,1,1
future,time,0,-1
future,innovation,0,1
society,people,0,1
society,community,0,1
scientist,research,0,0
scientist,discovery,0,1
success,achievement,0,0
success,happiness,0,1
lecture,learn,-1,0
lecture,classroom,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
problem - solve,solution,-1,0
problem - solve,challenge,-1,-1
career,growth,0,0
career,opportunity,0,0
work,effort,-1,-1
work,job,-1,-1
history,past,-1,-1
history,event,-1,-1
teamwork,collaboration,0,0
teamwork,support,0,1
chatgpt,ai,0,0
chatgpt,assistant,0,0
logic,reasoning,-1,-1
logic,analysis,-1,-1
exam,test,-1,-1
exam,evaluation,-1,-1
philosophy,think,0,0
philosophy,wisdom,0,1
experiment,discovery,-1,0
experiment,research,-1,0
student,learn,0,0
student,school,0,0
physics,science,-1,0
physics,law,-1,-1
professor,teacher,0,1
professor,expert,0,1
creativity,innovation,1,1
creativity,art,1,1
datum,information,-1,-1
datum,analysis,-1,-1
informatic,technology,0,0
informatic,datum,0,-1
music,harmony,1,1
music,rhythm,1,1
equation,math,-1,-1
equation,solution,-1,0
computation,calculate,-1,-1
computation,algorithm,-1,-1
stem,science,0,0
stem,technology,0,0
science,discovery,0,0
science,research,0,0
chemistry,reaction,-1,-1
chemistry,element,-1,-1
