cue_word,association_word,cue_valence,associated_valence
logic,order,0,0
logic,truth,0,0
logic,structure,0,0
model,representation,0,-1
model,framework,0,0
model,example,0,0
proof,certainty,0,0
proof,clarity,0,0
proof,deduction,0,0
professor,mentor,0,0
professor,scholar,0,0
professor,guide,0,0
career,stability,0,0
career,growth,0,-1
career,achievement,0,0
history,event,0,-1
history,pattern,0,0
history,memory,0,-1
failure,lesson,-1,0
failure,challenge,-1,-1
failure,setback,-1,-1
teacher,instruction,0,0
teacher,support,0,0
teacher,encouragement,0,0
datum,fact,0,0
datum,analysis,0,0
datum,evidence,0,0
theorem,conclusion,0,0
theorem,foundation,0,0
theorem,truth,0,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
job,income,0,-1
job,routine,0,0
job,purpose,0,0
biology,life,0,0
biology,growth,0,0
biology,process,0,0
stem,problem,0,0
stem,innovation,0,0
stem,discovery,0,0
mathematic,pattern,0,0
mathematic,precision,0,0
mathematic,problem,0,0
number,quantify,0,0
number,sequence,0,-1
number,balance,0,0
grade,score,-1,0
grade,progress,-1,0
grade,assessment,-1,-1
student,learn,0,0
student,curiosity,0,0
student,effort,0,0
physics,universe,0,0
physics,equation,0,0
physics,motion,0,0
music,harmony,0,0
music,emotion,0,0
music,rhythm,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,shared goal,0,0
anxiety,fear,-1,0
anxiety,uncertainty,-1,-1
anxiety,stress,-1,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,efficiency,0,0
chemistry,mixture,0,0
chemistry,reaction,0,0
chemistry,balance,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,skill,0,0
experiment,discovery,0,0
experiment,learn,0,0
experiment,curiosity,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
llm,technology,-1,0
llm,intelligence,-1,0
llm,automation,-1,-1
success,effort,0,0
success,achievement,0,0
success,goal,0,0
exam,pressure,-1,-1
exam,review,-1,-1
exam,stress,-1,-1
study,focus,0,0
study,understand,0,0
study,progress,0,0
chatgpt,helpful,0,0
chatgpt,quick,0,0
chatgpt,solution,0,0
variable,change,-1,0
variable,datum,-1,0
variable,impact,-1,-1
future,hope,0,0
future,change,0,0
future,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
creativity,design,0,0
blackboard,classroom,0,0
blackboard,write,0,-1
blackboard,teach,0,0
ai,learn,0,0
ai,efficiency,0,0
ai,problem - solve,0,0
society,progress,-1,0
society,unity,-1,0
society,division,-1,-1
classroom,learn,0,0
classroom,discipline,0,-1
classroom,teacher,0,0
scientist,discovery,0,0
scientist,research,0,0
scientist,truth,0,0
work,income,0,-1
work,purpose,0,0
work,routine,0,-1
problem - solve,logic,0,0
problem - solve,efficiency,0,0
problem - solve,solution,0,0
computation,maths,0,0
computation,algorithm,0,0
computation,speed,0,0
class,schedule,0,-1
class,attendance,0,-1
class,teacher,0,0
science,experiment,0,0
science,datum,0,0
science,discovery,0,0
informatic,technology,0,0
informatic,system,0,0
informatic,cod,0,0
lecture,knowledge,0,0
lecture,presentation,0,0
lecture,attention,0,-1
philosophy,reason,0,0
philosophy,question,0,0
philosophy,truth,0,0
equation,maths,0,0
equation,solution,0,0
equation,balance,0,0
homework,study,-1,0
homework,task,-1,-1
homework,deadline,-1,-1
