cue_word,association_word,cue_valence,associated_valence
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
literature,book,1,1
literature,poetry,1,0
literature,analysis,1,0
exam,stress,-1,-1
exam,study,-1,0
exam,grade,-1,0
study,learn,0,1
study,focus,0,0
study,library,0,0
equation,math,0,0
equation,solve,0,0
equation,problem,0,-1
job,work,0,0
job,career,0,1
job,money,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
physics,science,0,0
physics,law,0,0
physics,difficult,0,-1
homework,study,0,0
homework,assignment,0,0
homework,deadline,0,-1
success,achievement,1,1
success,happy,1,1
success,goal,1,1
class,school,0,0
class,teacher,0,0
class,learn,0,1
teacher,learn,0,1
teacher,knowledge,0,1
teacher,respect,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
creativity,art,1,-1
creativity,innovation,1,1
creativity,idea,1,1
future,hope,0,1
future,plan,0,0
future,uncertainty,0,-1
lecture,listen,0,0
lecture,note,0,0
lecture,bored,0,-1
algorithm,math,0,0
algorithm,code,0,0
algorithm,problem,0,-1
biology,science,1,0
biology,life,1,1
biology,interest,1,1
career,job,1,0
career,success,1,1
career,growth,1,1
philosophy,think,-1,0
philosophy,question,-1,0
philosophy,confuse,-1,-1
student,learn,0,1
student,school,0,0
student,exam,0,-1
work,job,0,0
work,effort,0,0
work,money,0,0
failure,lose,-1,-1
failure,sad,-1,-1
failure,try,-1,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,experiment,0,0
blackboard,class,0,0
blackboard,note,0,0
blackboard,teacher,0,0
experiment,research,0,0
experiment,discovery,0,1
experiment,analysis,0,0
classroom,learn,0,0
classroom,student,0,0
classroom,teacher,0,0
music,harmony,1,1
music,melody,1,1
music,classical,1,1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem,0,0
computation,calculation,0,0
computation,algorithm,0,0
computation,datum,0,0
grade,school,-1,0
grade,performance,-1,0
grade,evaluation,-1,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem - solve,0,0
model,simulation,0,0
model,theory,0,0
model,prediction,0,0
history,past,0,0
history,event,0,0
history,chronology,0,0
problem - solve,logic,0,0
problem - solve,analysis,0,0
problem - solve,solution,0,0
knowledge,learn,1,0
knowledge,information,1,0
knowledge,understand,1,1
llm,machine,0,0
llm,learn,0,0
llm,model,0,0
scientist,research,1,0
scientist,discovery,1,1
scientist,experiment,1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
number,mathematic,0,0
number,count,0,0
number,datum,0,0
theorem,mathematic,0,0
theorem,proof,0,0
theorem,logic,0,0
science,research,1,0
science,experiment,1,0
science,discovery,1,1
ai,technology,0,0
ai,machine,0,0
ai,learn,0,0
art,creativity,-1,0
art,expression,-1,0
art,beauty,-1,0
professor,teacher,0,0
professor,lecture,0,0
professor,knowledge,0,1
proof,mathematic,0,0
proof,logic,0,0
proof,evidence,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,group,1,0
society,people,0,0
society,community,0,0
society,culture,0,0
