cue_word,association_word,cue_valence,associated_valence
job,office,-1,-1
job,paycheck,-1,0
anxiety,stress,-1,-1
study,book,-1,-1
work,effort,0,-1
work,team,0,-1
history,past,-1,-1
teamwork,cooperation,0,1
music,rhythm,1,1
music,melody,1,1
homework,chore,-1,-1
art,creativity,0,1
blackboard,classroom,-1,-1
algorithm,logic,-1,-1
algorithm,step,-1,-1
proof,math,0,0
future,hope,1,1
philosophy,think,-1,0
ai,technology,0,0
datum,information,-1,-1
scientist,research,1,1
teacher,guide,0,0
chemistry,experiment,-1,0
success,achievement,1,1
mathematic,number,0,0
computation,calculate,-1,-1
science,discovery,1,1
chatgpt,ai,0,0
variable,change,-1,-1
literature,book,0,0
literature,story,0,1
logic,reasoning,-1,-1
number,math,-1,-1
number,count,-1,-1
professor,teacher,0,0
professor,lecture,0,-1
theorem,proof,-1,-1
llm,model,1,1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
equation,math,-1,-1
student,learn,0,1
student,study,0,0
lecture,class,-1,0
lecture,teach,-1,0
exam,test,-1,-1
exam,stress,-1,-1
biology,life,0,1
biology,science,0,0
physics,energy,-1,0
physics,motion,-1,0
stem,science,0,0
stem,technology,0,0
society,people,1,1
society,community,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
model,predict,0,0
model,simulate,0,0
experiment,test,0,-1
experiment,discover,0,1
failure,mistake,-1,-1
failure,learn,-1,1
grade,score,-1,-1
grade,evaluate,-1,-1
class,student,0,0
class,teach,0,0
informatic,datum,0,0
informatic,compute,0,0
creativity,innovate,1,1
creativity,art,1,1
career,job,1,0
career,growth,1,1
classroom,learn,0,1
classroom,teach,0,0
