cue_word,association_word,cue_valence,associated_valence
datum,number,0,-1
datum,analysis,0,1
datum,collection,0,0
failure,disappointment,-1,-1
failure,learn,-1,1
failure,setback,-1,-1
success,achievement,1,1
success,pride,1,1
success,reward,1,1
history,past,1,0
history,story,1,1
history,event,1,1
chatgpt,ai,1,1
chatgpt,tool,1,1
chatgpt,helpful,1,1
scientist,research,1,1
scientist,discovery,1,1
scientist,smart,1,1
job,work,0,0
job,money,0,1
job,stress,0,-1
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,complex,-1,-1
creativity,art,0,-1
creativity,imagination,0,1
creativity,expression,0,1
classroom,learn,0,1
classroom,bore,0,-1
classroom,student,0,1
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,1
physics,science,-1,1
physics,equation,-1,-1
physics,difficult,-1,-1
science,discovery,1,1
science,knowledge,1,1
science,experiment,1,1
proof,evidence,-1,1
proof,logic,-1,0
proof,math,-1,-1
experiment,test,1,0
experiment,science,1,1
experiment,result,1,1
computation,math,-1,-1
computation,computer,-1,1
computation,calculation,-1,-1
biology,life,0,1
biology,science,0,1
biology,cell,0,0
number,math,-1,-1
number,datum,-1,0
number,count,-1,-1
class,lecture,0,0
class,student,0,1
class,learn,0,1
lecture,teacher,0,1
lecture,bore,0,-1
lecture,information,0,1
work,job,0,0
work,effort,0,0
work,accomplishment,0,1
model,representation,0,0
model,simplify,0,1
model,theory,0,0
art,creativity,-1,0
art,expression,-1,1
art,bore,-1,-1
problem - solve,logic,0,0
problem - solve,challenge,0,0
problem - solve,solution,0,1
knowledge,learn,1,1
knowledge,power,1,1
knowledge,understand,1,1
equation,math,-1,-1
equation,solve,-1,0
equation,complex,-1,-1
ai,future,0,1
ai,tech,0,1
ai,scary,0,-1
mathematic,hard,-1,-1
mathematic,number,-1,0
mathematic,logic,-1,1
teamwork,collaboration,1,1
teamwork,friend,1,1
teamwork,stress,1,-1
variable,unknown,0,-1
variable,algebra,0,-1
variable,change,0,0
stem,science,0,0
stem,career,0,1
stem,difficult,0,-1
blackboard,class,0,0
blackboard,chalk,0,-1
blackboard,learn,0,1
grade,score,0,0
grade,pressure,0,-1
grade,success,0,1
student,learn,1,1
student,stress,1,-1
student,youth,1,1
philosophy,think,1,1
philosophy,deep,1,1
philosophy,abstract,1,0
llm,ai,0,0
llm,chat,0,1
llm,technology,0,1
future,hope,1,1
future,uncertain,1,-1
future,progress,1,1
teacher,guide,1,1
teacher,authority,1,0
teacher,knowledge,1,1
music,joy,1,1
music,art,1,1
music,relax,1,1
algorithm,code,0,0
algorithm,logic,0,1
algorithm,complex,0,-1
study,focus,0,1
study,effort,0,1
study,tiring,0,-1
chemistry,science,0,0
chemistry,lab,0,1
chemistry,difficult,0,-1
professor,expert,1,1
professor,lecture,1,0
professor,intimidate,1,-1
career,goal,1,1
career,money,1,1
career,stress,1,-1
literature,book,1,1
literature,story,1,1
literature,bore,1,-1
informatic,computer,0,1
informatic,datum,0,0
informatic,technical,0,0
logic,reason,1,1
logic,clarity,1,1
logic,rigid,1,-1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,overwhelm,-1,-1
society,people,0,1
society,culture,0,1
society,problem,0,-1
homework,work,-1,0
homework,tedious,-1,-1
homework,learn,-1,1
