cue_word,association_word,cue_valence,associated_valence
homework,study,-1,-1
homework,stress,-1,-1
logic,reasoning,0,1
logic,math,0,0
art,creativity,1,1
art,beauty,1,0
scientist,research,0,0
scientist,discovery,0,1
student,learn,-1,0
student,education,-1,0
lecture,teach,-1,0
lecture,knowledge,-1,1
philosophy,think,0,0
philosophy,wisdom,0,1
creativity,imagination,1,1
creativity,innovation,1,0
society,community,-1,0
society,change,-1,-1
grade,performance,-1,-1
grade,evaluation,-1,-1
biology,nature,0,1
biology,life,0,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
proof,evidence,0,0
proof,logic,0,1
ai,technology,-1,0
ai,future,-1,-1
teacher,education,1,1
teacher,guidance,1,1
knowledge,learn,1,0
knowledge,wisdom,1,1
music,joy,1,1
music,emotion,1,0
job,work,-1,-1
job,career,-1,-1
failure,mistake,-1,-1
failure,disappointment,-1,-1
algorithm,code,-1,0
algorithm,logic,-1,1
chatgpt,ai,-1,-1
chatgpt,technology,-1,0
class,education,-1,1
class,learn,-1,0
computation,math,-1,0
computation,calculation,-1,-1
experiment,research,0,0
experiment,discovery,0,1
number,math,-1,0
number,calculation,-1,-1
classroom,learn,0,1
classroom,teacher,0,-1
literature,book,0,1
literature,write,0,0
stem,science,-1,0
stem,cod,-1,-1
datum,analysis,0,1
datum,information,0,0
informatic,computer,-1,0
informatic,algorithm,-1,-1
variable,change,-1,-1
variable,uncertainty,-1,-1
success,achievement,1,0
success,reward,1,0
exam,stress,-1,-1
exam,evaluation,-1,-1
llm,technology,0,1
llm,intelligence,0,0
career,growth,0,1
career,opportunity,0,0
equation,math,-1,-1
equation,solution,-1,0
mathematic,logic,-1,0
mathematic,number,-1,-1
history,past,0,-1
history,lesson,0,1
theorem,proof,-1,-1
theorem,logic,-1,0
physics,science,-1,0
physics,law,-1,-1
model,design,-1,0
model,simulation,-1,-1
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
science,discovery,1,1
science,experiment,1,0
study,learn,0,1
study,effort,0,-1
problem - solve,challenge,1,-1
problem - solve,solution,1,0
chemistry,element,-1,-1
chemistry,reaction,-1,-1
professor,teacher,0,-1
professor,expertise,0,1
future,opportunity,0,1
future,uncertainty,0,-1
work,job,-1,-1
work,effort,-1,-1
teamwork,collaboration,1,0
teamwork,success,1,1
