cue_word,association_word,cue_valence,associated_valence
model,precision,0,0
model,complexity,0,-1
model,flexibility,0,0
class,discipline,-1,0
class,group,-1,-1
class,teach,-1,0
scientist,experiment,0,0
scientist,research,0,0
scientist,discovery,0,0
datum,information,0,0
datum,statistic,0,0
datum,analysis,0,0
career,job,0,-1
career,growth,0,0
career,stability,0,0
blackboard,write,-1,0
blackboard,chalk,-1,0
blackboard,chalkboard,-1,0
number,calculation,0,0
number,pattern,0,0
number,quantify,0,0
informatic,compute,0,0
informatic,software,0,0
informatic,digital,0,0
exam,test,-1,0
exam,stress,-1,-1
exam,result,-1,0
mathematic,logic,0,0
mathematic,equation,0,0
mathematic,proof,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
biology,life,0,0
biology,cell,0,0
biology,genetic,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
art,paint,0,0
art,expression,0,0
art,beauty,0,0
professor,teach,0,0
professor,mentor,0,0
professor,university,0,0
study,learn,0,0
study,book,0,0
study,research,0,0
problem - solve,solution,0,0
problem - solve,strategy,0,0
problem - solve,challenge,0,0
theorem,proof,0,0
theorem,math,0,0
theorem,logic,0,0
grade,score,-1,0
grade,mark,-1,0
grade,result,-1,0
teacher,instruction,0,0
teacher,classroom,0,0
teacher,guidance,0,0
success,achievement,0,0
success,goal,0,0
success,progress,0,0
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
proof,logic,0,0
proof,math,0,0
proof,valid,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
society,community,0,0
society,culture,0,0
society,relation,0,0
algorithm,math,0,0
algorithm,process,0,-1
algorithm,logic,0,0
equation,solution,0,0
equation,math,0,0
equation,balance,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,reason,0,0
history,past,0,-1
history,event,0,0
history,lesson,0,0
classroom,teacher,-1,0
classroom,student,-1,0
classroom,learn,-1,0
stem,science,0,0
stem,engineering,0,0
stem,math,0,0
science,experiment,0,0
science,datum,0,0
science,discovery,0,0
physics,law,0,0
physics,motion,0,0
physics,energy,0,0
variable,unknown,0,-1
variable,input,0,0
variable,change,0,0
computation,calculation,0,0
computation,processing,0,0
computation,speed,0,0
student,class,0,0
student,homework,0,0
student,grade,0,-1
llm,ai,0,0
llm,chat,0,0
llm,language,0,0
music,song,0,0
music,sound,0,0
music,emotion,0,0
chatgpt,ai,0,0
chatgpt,response,0,0
chatgpt,help,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,success,0,0
homework,task,-1,0
homework,study,-1,0
homework,deadline,-1,-1
ai,technology,0,0
ai,intelligence,0,0
ai,future,0,0
failure,mistake,-1,0
failure,lesson,-1,0
failure,try,-1,0
work,job,0,0
work,task,0,0
work,effort,0,0
job,career,0,0
job,salary,0,0
job,hour,0,-1
literature,book,0,0
literature,story,0,0
literature,read,0,0
logic,reasoning,0,0
logic,argument,0,0
logic,structure,0,0
future,tomorrow,0,0
future,prediction,0,-1
future,change,0,0
experiment,test,0,0
experiment,result,0,0
experiment,hypothesis,0,0
lecture,class,0,0
lecture,presentation,0,0
lecture,knowledge,0,0
