cue_word,association_word,cue_valence,associated_valence
logic,proof,1,0
logic,math,1,-1
logic,reason,1,1
computation,code,0,0
computation,calculator,0,1
computation,datum,0,-1
teacher,authority,-1,-1
teacher,lesson,-1,0
teacher,strict,-1,-1
philosophy,think,1,1
philosophy,mean,1,1
philosophy,debate,1,0
career,job,1,1
career,growth,1,1
career,security,1,1
success,achievement,1,1
success,reward,1,1
success,effort,1,1
variable,change,0,-1
variable,equation,0,0
variable,unknown,0,-1
creativity,art,1,1
creativity,imagination,1,1
creativity,expression,1,1
history,past,1,0
history,story,1,1
history,lesson,1,0
number,math,-1,-1
number,count,-1,-1
number,datum,-1,-1
chemistry,lab,-1,-1
chemistry,reaction,-1,-1
chemistry,molecule,-1,-1
theorem,proof,0,0
theorem,logic,0,1
theorem,formula,0,0
student,learn,0,1
student,homework,0,-1
student,test,0,-1
job,work,1,0
job,salary,1,1
job,routine,1,-1
lecture,class,-1,-1
lecture,teacher,-1,-1
lecture,boredom,-1,-1
model,design,0,1
model,example,0,0
model,template,0,0
society,people,0,1
society,rule,0,-1
society,community,0,0
literature,story,1,1
literature,book,1,1
literature,poetry,1,1
algorithm,code,0,0
algorithm,process,0,0
algorithm,solution,0,1
llm,ai,-1,-1
llm,datum,-1,-1
llm,complex,-1,-1
homework,study,-1,0
homework,stress,-1,-1
homework,teacher,-1,-1
future,hope,1,1
future,change,1,0
future,uncertainty,1,-1
biology,life,-1,1
biology,cell,-1,-1
biology,complex,-1,-1
work,job,0,1
work,effort,0,1
work,money,0,1
informatic,datum,0,-1
informatic,system,0,0
informatic,technology,0,0
equation,number,-1,0
equation,stress,-1,-1
equation,solve,-1,1
ai,future,0,1
ai,uncertainty,0,-1
ai,tool,0,0
class,bore,-1,-1
class,chalk,-1,-1
class,grade,-1,0
music,relax,1,1
music,art,1,1
music,melody,1,1
knowledge,power,1,1
knowledge,book,1,0
knowledge,gap,1,-1
science,dry,-1,-1
science,experiment,-1,0
science,proof,-1,1
blackboard,dust,-1,-1
blackboard,formula,-1,-1
blackboard,teacher,-1,0
grade,pressure,0,-1
grade,number,0,-1
grade,effort,0,1
teamwork,cooperation,1,1
teamwork,stress,1,-1
teamwork,achieve,1,1
physics,confuse,-1,-1
physics,theory,-1,-1
physics,math,-1,-1
exam,anxiety,-1,-1
exam,prep,-1,0
exam,pressure,-1,-1
study,alone,0,-1
study,focus,0,1
study,tired,0,-1
chatgpt,help,1,1
chatgpt,tech,1,0
chatgpt,uncertain,1,-1
experiment,science,0,-1
experiment,discover,0,1
experiment,risk,0,-1
stem,career,-1,1
stem,challenge,-1,0
stem,limit,-1,-1
failure,learn,-1,1
failure,shame,-1,-1
failure,try,-1,0
professor,strict,0,-1
professor,wise,0,1
professor,respect,0,1
art,creative,1,1
art,beauty,1,1
art,freedom,1,1
mathematic,hard,-1,-1
mathematic,logic,-1,0
mathematic,number,-1,0
scientist,curious,0,1
scientist,lab,0,-1
scientist,distant,0,-1
problem - solve,challenge,1,0
problem - solve,satisfy,1,1
problem - solve,think,1,1
anxiety,exam,-1,-1
anxiety,pressure,-1,-1
anxiety,fear,-1,-1
datum,number,-1,0
datum,useless,-1,-1
datum,analyze,-1,0
classroom,quiet,-1,-1
classroom,desk,-1,-1
classroom,teacher,-1,0
proof,logic,1,0
proof,convince,1,1
proof,math,1,-1
