cue_word,association_word,cue_valence,associated_valence
stem,science,0,0
stem,math,0,-1
stem,future,0,1
proof,math,-1,-1
proof,logic,-1,-1
proof,theorem,-1,-1
career,job,0,0
career,success,0,1
career,growth,0,1
society,people,-1,0
society,community,-1,0
society,change,-1,-1
professor,teacher,-1,0
professor,knowledge,-1,1
professor,lecture,-1,0
number,math,-1,-1
number,datum,-1,0
number,pattern,-1,-1
chemistry,science,0,0
chemistry,lab,0,-1
chemistry,reaction,0,-1
exam,test,-1,-1
exam,study,-1,-1
exam,anxiety,-1,-1
success,achievement,1,1
success,happy,1,1
success,goal,1,1
history,past,0,-1
history,event,0,-1
history,lesson,0,0
physics,science,0,0
physics,law,0,-1
physics,motion,0,-1
teacher,educate,0,1
teacher,classroom,0,0
teacher,student,0,1
datum,information,0,0
datum,analysis,0,-1
datum,insight,0,0
blackboard,class,-1,-1
blackboard,write,-1,-1
blackboard,teach,-1,0
variable,math,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
algorithm,code,-1,-1
algorithm,problem,-1,-1
algorithm,solution,-1,0
study,learn,0,1
study,book,0,0
study,time,0,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
music,sound,1,1
music,art,1,1
music,emotion,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
class,school,-1,0
class,learn,-1,1
class,teacher,-1,0
literature,book,1,1
literature,write,1,1
literature,story,1,1
science,discovery,1,1
science,experiment,1,0
science,knowledge,1,1
experiment,test,0,-1
experiment,learn,0,1
experiment,result,0,0
future,hope,1,1
future,change,1,-1
future,possibility,1,1
job,office,0,-1
job,boss,0,-1
job,pay,0,1
philosophy,think,0,0
philosophy,question,0,-1
philosophy,wisdom,0,1
art,creative,1,1
art,beautiful,1,1
art,expression,1,1
model,design,-1,0
model,fashion,-1,0
model,scale,-1,-1
work,effort,-1,-1
work,reward,-1,1
work,team,-1,0
creativity,innovative,1,1
creativity,fun,1,1
creativity,imagination,1,1
classroom,learn,-1,0
classroom,teacher,-1,0
classroom,student,-1,0
informatic,datum,-1,-1
informatic,technology,-1,-1
informatic,analysis,-1,-1
homework,study,-1,-1
homework,stress,-1,-1
homework,deadline,-1,-1
knowledge,learn,1,0
knowledge,understand,1,1
knowledge,power,1,0
biology,life,-1,1
biology,cell,-1,-1
biology,ecosystem,-1,0
computation,calculate,-1,-1
computation,algorithm,-1,-1
computation,efficient,-1,-1
chatgpt,ai,0,0
chatgpt,conversation,0,1
chatgpt,helpful,0,1
equation,math,-1,-1
equation,solution,-1,0
equation,variable,-1,-1
grade,school,-1,-1
grade,mark,-1,-1
grade,performance,-1,0
lecture,professor,-1,0
lecture,note,-1,-1
lecture,class,-1,-1
scientist,research,0,1
scientist,discovery,0,1
scientist,lab,0,-1
theorem,proof,-1,-1
theorem,math,-1,-1
theorem,geometry,-1,-1
logic,reasoning,0,1
logic,clear,0,1
logic,systematic,0,0
student,learn,0,1
student,school,0,-1
student,young,0,0
llm,language,0,1
llm,model,0,-1
llm,ai,0,0
mathematic,number,-1,-1
mathematic,formula,-1,-1
mathematic,problem,-1,-1
problem - solve,challenge,0,-1
problem - solve,strategy,0,0
problem - solve,solution,0,1
ai,intelligent,0,1
ai,machine,0,-1
ai,future,0,1
failure,mistake,-1,-1
failure,disappointment,-1,-1
failure,lesson,-1,-1
