cue_word,association_word,cue_valence,associated_valence
student,learn,0,1
student,curiosity,0,1
student,future,0,0
biology,life,0,1
biology,cell,0,-1
biology,ecology,0,0
exam,stress,-1,-1
exam,challenge,-1,-1
exam,performance,-1,0
science,discovery,1,1
science,innovation,1,1
science,experimentation,1,0
scientist,researcher,0,0
scientist,inventor,0,0
scientist,expert,0,0
failure,setback,-1,-1
failure,learn,-1,-1
failure,growth,-1,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
blackboard,classroom,-1,-1
experiment,trial,0,-1
experiment,hypothesis,0,0
experiment,datum,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
grade,achievement,-1,0
equation,formula,0,0
equation,mathematic,0,1
equation,solution,0,0
computation,calculation,0,-1
computation,algorithm,0,0
computation,processing,0,-1
llm,language,1,0
llm,model,1,1
llm,ai,1,1
career,job,0,-1
career,future,0,0
career,success,0,1
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
creativity,imagination,1,1
creativity,innovation,1,0
creativity,expression,1,1
physics,force,0,-1
physics,energy,0,0
physics,motion,0,-1
ai,machine,1,0
ai,learn,1,1
ai,technology,1,1
society,community,0,0
society,culture,0,0
society,interaction,0,-1
lecture,presentation,-1,-1
lecture,knowledge,-1,0
lecture,speaker,-1,-1
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,fear,-1,-1
chatgpt,assistant,1,0
chatgpt,llm,1,1
chatgpt,conversational,1,0
homework,assignment,-1,-1
homework,study,-1,0
homework,deadline,-1,-1
logic,reasoning,1,1
logic,deduction,1,0
logic,analysis,1,1
variable,constant,-1,-1
variable,parameter,-1,-1
variable,value,-1,-1
art,creativity,1,1
art,expression,1,1
art,imagination,1,1
teacher,mentor,1,0
teacher,guide,1,0
teacher,educator,1,1
informatic,technology,0,-1
informatic,datum,0,0
informatic,system,0,-1
mathematic,logic,1,0
mathematic,number,1,0
mathematic,analysis,1,0
work,effort,-1,-1
work,job,-1,-1
work,productivity,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,insight,1,0
history,past,-1,-1
history,legacy,-1,0
history,chronicles,-1,-1
algorithm,code,0,-1
algorithm,logic,0,0
algorithm,process,0,-1
literature,narrative,1,0
literature,poetry,1,1
literature,fiction,1,0
datum,information,0,-1
datum,analytic,0,0
datum,statistic,0,-1
number,mathematic,1,1
number,quantity,1,0
number,digit,1,-1
future,innovation,1,1
future,progress,1,0
future,vision,1,0
study,learn,0,1
study,research,0,0
study,analysis,0,-1
job,career,-1,0
job,employment,-1,-1
job,profession,-1,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,1
problem - solve,logic,0,0
problem - solve,analysis,0,-1
problem - solve,strategy,0,0
proof,evidence,1,0
proof,validation,1,0
proof,certainty,1,1
class,group,-1,-1
class,session,-1,-1
class,learn,-1,0
classroom,education,0,1
classroom,student,0,-1
classroom,environment,0,-1
philosophy,think,0,-1
philosophy,ethic,0,0
philosophy,wisdom,0,1
theorem,proof,1,1
theorem,logic,1,0
theorem,mathematic,1,1
success,achievement,1,1
success,goal,1,0
success,victory,1,1
professor,teacher,1,1
professor,scholar,1,0
professor,mentor,1,0
teamwork,collaboration,0,0
teamwork,cooperation,0,-1
teamwork,unity,0,1
model,framework,0,-1
model,representation,0,0
model,theory,0,0
chemistry,science,1,1
chemistry,reaction,1,-1
chemistry,element,1,0
