cue_word,association_word,cue_valence,associated_valence
anxiety,stress,-1,-1
anxiety,panic,-1,-1
anxiety,worry,-1,-1
logic,reasoning,0,1
logic,rationality,0,0
logic,deduction,0,0
society,community,0,0
society,culture,0,0
society,norm,0,-1
equation,formula,0,0
equation,calculation,0,0
equation,solution,0,0
history,past,0,-1
history,legacy,0,0
history,chronicle,0,0
variable,constant,0,0
variable,parameter,0,0
variable,unknown,0,-1
problem - solve,analysis,0,1
problem - solve,strategy,0,0
problem - solve,puzzle,0,0
biology,life,0,1
biology,organism,0,0
biology,evolution,0,0
knowledge,learn,1,1
knowledge,wisdom,1,0
knowledge,insight,1,0
grade,score,0,-1
grade,level,0,0
grade,rank,0,-1
experiment,trial,0,0
experiment,test,0,0
experiment,research,0,1
future,tomorrow,0,0
future,vision,0,1
future,progress,0,0
informatic,datum,0,0
informatic,algorithm,0,0
informatic,software,0,0
computation,calculation,0,0
computation,processing,0,-1
computation,logic,0,0
career,job,0,0
career,profession,0,0
career,growth,0,1
job,employment,0,-1
job,work,0,0
job,opportunity,0,0
lecture,classroom,0,-1
lecture,presentation,0,0
lecture,teach,0,0
theorem,proof,0,1
theorem,result,0,0
theorem,principle,0,0
teacher,instructor,1,0
teacher,mentor,1,1
teacher,guide,1,0
blackboard,chalk,0,-1
blackboard,classroom,0,0
blackboard,education,0,0
creativity,imagination,1,1
creativity,innovation,1,0
creativity,expression,1,0
llm,ai,0,0
llm,model,0,0
llm,language,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
student,learner,0,1
student,scholar,0,0
student,apprentice,0,0
ai,innovation,1,0
ai,future,1,1
ai,ethic,1,0
exam,stress,-1,-1
exam,challenge,-1,0
exam,preparation,-1,0
chatgpt,assistant,1,0
chatgpt,knowledge,1,1
chatgpt,dialogue,1,0
class,learn,0,0
class,group,0,0
class,schedule,0,-1
scientist,research,1,0
scientist,experiment,1,0
scientist,curiosity,1,1
homework,deadline,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
model,representation,0,0
model,framework,0,0
model,simulation,0,0
literature,narrative,1,0
literature,culture,1,1
literature,analysis,1,0
science,experiment,1,0
science,discovery,1,1
science,theory,1,0
philosophy,ethic,0,0
philosophy,logic,0,0
philosophy,existence,0,-1
mathematic,number,1,0
mathematic,proof,1,0
mathematic,formula,1,0
success,achievement,1,1
success,goal,1,0
success,reward,1,0
professor,knowledge,0,1
professor,lecture,0,0
professor,mentor,0,0
classroom,learn,0,0
classroom,discipline,0,-1
classroom,environment,0,0
physics,experiment,1,0
physics,theory,1,0
physics,energy,1,0
teamwork,collaboration,1,0
teamwork,cooperation,1,1
teamwork,support,1,0
work,effort,0,-1
work,productivity,0,0
work,challenge,0,0
music,melody,1,0
music,rhythm,1,0
music,emotion,1,1
algorithm,logic,0,0
algorithm,code,0,0
algorithm,efficiency,0,0
study,learn,0,1
study,focus,0,0
study,research,0,0
failure,setback,-1,-1
failure,challenge,-1,0
failure,growth,-1,0
proof,evidence,1,0
proof,logic,1,0
proof,certainty,1,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
chemistry,experiment,1,0
chemistry,reaction,1,0
chemistry,molecule,1,0
number,calculation,0,0
number,formula,0,-1
number,precision,0,1
