cue_word,association_word,cue_valence,associated_valence
scientist,research,1,0
scientist,experiment,1,0
scientist,innovation,1,1
proof,logic,0,0
proof,evidence,0,0
proof,certainty,0,0
mathematic,formula,1,0
mathematic,calculation,1,0
mathematic,precision,1,1
classroom,learn,0,1
classroom,teach,0,0
classroom,discussion,0,0
computation,algorithm,0,0
computation,processing,0,0
computation,analysis,0,0
logic,reasoning,1,0
logic,deduction,1,0
logic,argument,1,0
anxiety,stress,-1,-1
anxiety,panic,-1,-1
anxiety,worry,-1,-1
equation,formula,0,0
equation,variable,0,-1
equation,solution,0,1
ai,technology,0,0
ai,algorithm,0,0
ai,future,0,1
society,community,0,0
society,culture,0,0
society,interaction,0,-1
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,education,0,1
philosophy,ethic,0,0
philosophy,think,0,0
philosophy,existence,0,0
lecture,talk,0,-1
lecture,presentation,0,0
lecture,information,0,1
literature,novel,0,0
literature,poetry,0,0
literature,write,0,0
stem,science,1,1
stem,technology,1,0
stem,engineering,1,0
experiment,trial,0,0
experiment,research,0,0
experiment,observation,0,0
science,discovery,1,0
science,study,1,1
science,innovation,1,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
chemistry,reaction,0,-1
chemistry,compound,0,0
chemistry,molecule,0,0
homework,assignment,-1,-1
homework,study,-1,0
homework,task,-1,-1
chatgpt,assistant,0,0
chatgpt,llm,0,0
chatgpt,conversational,0,-1
knowledge,learn,1,0
knowledge,information,1,0
knowledge,wisdom,1,0
llm,ai,0,0
llm,assistant,0,-1
llm,technology,0,0
study,learn,1,1
study,research,1,0
study,academia,1,0
music,melody,0,0
music,rhythm,0,0
music,instrument,0,-1
number,math,0,0
number,calculation,0,0
number,logic,0,0
job,career,0,1
job,work,0,0
job,profession,0,0
biology,life,1,0
biology,nature,1,1
biology,cell,1,0
informatic,datum,0,0
informatic,compute,0,-1
informatic,algorithm,0,0
creativity,innovation,1,0
creativity,imagination,1,1
creativity,artistry,1,0
model,framework,0,-1
model,representation,0,0
model,simulation,0,-1
theorem,proof,0,1
theorem,logic,0,0
theorem,mathematic,0,1
exam,test,-1,0
exam,challenge,-1,0
exam,assessment,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,1
future,progress,1,0
future,innovation,1,0
future,development,1,0
success,achievement,1,0
success,victory,1,1
success,triumph,1,0
art,expression,1,1
art,creativity,1,0
art,beauty,1,1
physics,force,0,-1
physics,energy,0,0
physics,motion,0,-1
teacher,guide,1,0
teacher,mentor,1,1
teacher,instructor,1,0
variable,factor,-1,0
variable,parameter,-1,-1
variable,element,-1,0
history,past,0,0
history,legacy,0,0
history,heritage,0,1
career,job,0,0
career,future,0,-1
career,ambition,0,1
professor,scholar,1,0
professor,expert,1,1
professor,educator,1,0
algorithm,code,0,-1
algorithm,logic,0,0
algorithm,procedure,0,0
student,learner,1,0
student,scholar,1,0
student,apprentice,1,-1
failure,mistake,-1,-1
failure,setback,-1,-1
failure,loss,-1,-1
work,job,0,0
work,duty,0,1
work,effort,0,-1
class,group,0,-1
class,session,0,-1
class,room,0,-1
grade,score,0,0
grade,mark,0,-1
grade,evaluation,0,1
problem - solve,logic,1,0
problem - solve,analysis,1,1
problem - solve,solution,1,0
