cue_word,association_word,cue_valence,associated_valence
society,people,0,0
society,rule,0,-1
society,change,0,0
model,maths,0,0
model,fashion,0,-1
model,example,0,0
chemistry,reaction,-1,0
chemistry,experiment,-1,0
chemistry,boredom,-1,-1
llm,ai,0,0
llm,technology,0,0
llm,confusion,0,-1
career,future,0,0
career,uncertainty,0,-1
career,growth,0,0
algorithm,maths,-1,0
algorithm,code,-1,-1
algorithm,difficulty,-1,-1
physics,maths,-1,0
physics,law,-1,0
physics,hard,-1,-1
work,study,0,0
work,tired,0,-1
work,responsibility,0,0
music,relax,1,1
music,emotion,1,0
music,instrument,1,0
literature,novel,1,1
literature,story,1,1
literature,escape,1,0
computation,maths,-1,0
computation,code,-1,-1
computation,difficult,-1,-1
ai,future,0,0
ai,llm,0,0
ai,uncertainty,0,-1
failure,fear,-1,-1
failure,learn,-1,0
failure,anxiety,-1,-1
biology,bore,-1,-1
biology,cell,-1,-1
biology,exam,-1,-1
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,work,0,0
science,knowledge,0,0
science,experiment,0,0
science,maths,0,0
creativity,art,1,1
creativity,idea,1,1
creativity,freedom,1,1
class,study,-1,0
class,teacher,-1,0
class,boredom,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,exam,-1,-1
professor,knowledge,0,0
professor,lecture,0,-1
professor,authority,0,0
grade,success,0,0
grade,stress,0,-1
grade,evaluation,0,-1
knowledge,learn,1,0
knowledge,book,1,0
knowledge,power,1,0
lecture,boredom,-1,-1
lecture,note,-1,-1
lecture,professor,-1,0
success,achievement,1,1
success,happiness,1,1
success,grade,1,0
study,book,0,0
study,time,0,0
study,tired,0,-1
informatic,computer,-1,0
informatic,cod,-1,-1
informatic,difficult,-1,-1
variable,maths,0,0
variable,unknown,0,-1
variable,change,0,0
proof,maths,0,0
proof,logic,0,0
proof,theorem,0,0
philosophy,question,1,0
philosophy,mean,1,1
philosophy,think,1,1
teamwork,collaboration,0,0
teamwork,friend,0,1
teamwork,project,0,0
number,maths,0,0
number,count,0,0
number,pattern,0,0
stem,science,0,0
stem,maths,0,0
stem,career,0,0
future,uncertainty,0,-1
future,dream,0,1
future,opportunity,0,1
datum,analysis,0,0
datum,information,0,0
datum,number,0,0
job,career,0,0
job,money,0,0
job,stress,0,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,future,0,0
history,past,0,0
history,learn,0,0
history,story,0,0
problem - solve,think,0,0
problem - solve,challenge,0,0
problem - solve,maths,0,0
teacher,learn,0,0
teacher,knowledge,0,1
teacher,classroom,0,0
theorem,proof,0,0
theorem,maths,0,0
theorem,logic,0,0
homework,study,-1,0
homework,stress,-1,-1
homework,learn,-1,0
exam,stress,-1,-1
exam,preparation,-1,0
exam,anxiety,-1,-1
art,creativity,1,1
art,paint,1,1
art,beauty,1,1
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,write,0,0
experiment,science,0,0
experiment,learn,0,0
experiment,discovery,0,1
mathematic,number,0,0
mathematic,logic,0,0
mathematic,difficult,0,-1
logic,reasoning,0,0
logic,maths,0,0
logic,puzzle,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
student,learn,0,0
student,study,0,0
student,future,0,0
equation,maths,0,0
equation,solution,0,0
equation,variable,0,0
