cue_word,association_word,cue_valence,associated_valence
number,count,0,0
number,quantity,0,1
number,calculation,0,0
science,experiment,1,0
science,research,1,1
science,theory,1,0
datum,analysis,0,0
datum,information,0,0
datum,statistic,0,0
mathematic,equation,1,0
mathematic,algebra,1,0
mathematic,geometry,1,0
class,learn,0,1
class,group,0,0
class,lecture,0,0
success,achievement,1,1
success,goal,1,0
success,accomplishment,1,1
variable,value,0,-1
variable,factor,0,0
variable,unknown,0,-1
logic,reasoning,0,1
logic,rationality,0,0
logic,argument,0,0
stem,innovation,1,1
stem,engineering,1,0
stem,technology,1,1
problem - solve,analysis,0,0
problem - solve,strategy,0,0
problem - solve,solution,0,1
student,learner,0,1
student,scholar,0,0
student,curious,0,0
creativity,imagination,1,1
creativity,originality,1,0
creativity,art,1,0
knowledge,understand,1,1
knowledge,wisdom,1,0
knowledge,learn,1,0
work,effort,0,-1
work,job,0,0
work,productivity,0,0
philosophy,think,0,0
philosophy,ethic,0,1
philosophy,existence,0,0
biology,life,0,1
biology,organism,0,0
biology,evolution,0,0
chemistry,reaction,0,0
chemistry,compound,0,0
chemistry,molecule,0,-1
computation,algorithm,1,1
computation,programming,1,1
computation,processing,1,0
future,progress,1,0
future,vision,1,1
future,innovation,1,0
job,career,0,0
job,employment,0,0
job,profession,0,0
study,learn,1,1
study,research,1,0
study,education,1,1
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,classroom,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,unity,1,0
teacher,instructor,0,0
teacher,mentor,0,1
teacher,guide,0,0
ai,automation,0,0
ai,machine,0,0
ai,innovation,0,1
model,ai,0,1
model,design,0,0
model,simulate,0,0
theorem,logic,0,0
theorem,proof,0,0
theorem,deduce,0,0
art,expression,1,0
art,creativity,1,1
art,aesthetic,1,0
proof,validate,0,0
proof,logic,0,0
proof,verify,0,0
career,future,1,0
career,growth,1,0
career,ambition,1,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
literature,narrative,0,0
literature,insight,0,0
literature,culture,0,1
homework,study,-1,0
homework,practice,-1,0
homework,responsibility,-1,-1
experiment,trial,0,0
experiment,innovation,0,1
experiment,discovery,0,0
equation,formula,0,-1
equation,mathematic,0,0
equation,balance,0,0
society,community,0,1
society,culture,0,1
society,interaction,0,0
lecture,teach,0,0
lecture,present,0,0
lecture,educate,0,0
chatgpt,assistant,1,0
chatgpt,dialogue,1,0
chatgpt,ai,1,1
scientist,researcher,1,0
scientist,innovator,1,1
scientist,expert,1,0
failure,defeat,-1,-1
failure,challenge,-1,0
failure,setback,-1,-1
classroom,learn,0,1
classroom,discipline,0,0
classroom,collaboration,0,0
algorithm,code,0,0
algorithm,process,0,0
algorithm,logic,0,0
music,melody,1,1
music,harmony,1,0
music,emotion,1,1
professor,mentor,0,0
professor,knowledgeable,0,0
professor,authority,0,0
llm,language,1,0
llm,model,1,0
llm,ai,1,1
history,past,0,-1
history,legacy,0,0
history,memory,0,0
grade,score,0,-1
grade,achievement,0,0
grade,evaluation,0,0
informatic,compute,1,0
informatic,datum,1,0
informatic,analysis,1,0
exam,test,-1,-1
exam,challenge,-1,0
exam,pressure,-1,-1
physics,experiment,0,0
physics,theory,0,0
physics,law,0,0
