cue_word,association_word,cue_valence,associated_valence
teacher,mentor,0,0
teacher,strict,0,-1
teacher,inspire,0,1
history,past,-1,-1
history,bore,-1,-1
history,fascinating,-1,1
stem,challenge,0,-1
stem,logical,0,0
stem,interest,0,0
teamwork,collaboration,0,1
teamwork,supportive,0,1
teamwork,effective,0,0
algorithm,complex,-1,-1
algorithm,efficient,-1,0
algorithm,fascinating,-1,0
professor,knowledgeable,0,1
professor,demand,0,-1
professor,wise,0,1
job,career,-1,0
job,stressful,-1,-1
job,rewarding,-1,1
llm,powerful,-1,0
llm,scary,-1,-1
llm,innovative,-1,1
failure,learn,-1,0
failure,setback,-1,-1
failure,growth,-1,0
biology,life,0,1
biology,complex,0,-1
biology,wonderful,0,1
chemistry,reaction,-1,-1
chemistry,dangerous,-1,-1
chemistry,beautiful,-1,0
variable,unknown,-1,-1
variable,changeable,-1,-1
variable,mathematical,-1,-1
philosophy,deep,0,1
philosophy,thoughtful,0,1
philosophy,abstract,0,-1
anxiety,worry,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
career,future,0,0
career,success,0,1
career,growth,0,0
datum,number,-1,-1
datum,analysis,-1,0
datum,insight,-1,1
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
blackboard,nostalgic,-1,0
homework,work,-1,-1
homework,stressful,-1,-1
homework,learn,-1,0
literature,story,0,0
literature,emotional,0,0
literature,inspire,0,1
science,truth,0,1
science,discovery,0,1
science,curiosity,0,1
equation,math,-1,-1
equation,logic,-1,0
equation,problem - solve,-1,0
future,hopeful,-1,0
future,uncertain,-1,-1
future,exciting,-1,0
classroom,learn,0,1
classroom,social,0,0
classroom,safe,0,0
society,community,-1,0
society,complex,-1,-1
society,change,-1,-1
exam,pressure,-1,-1
exam,evaluation,-1,-1
exam,achievement,-1,0
physics,energy,0,0
physics,matter,0,0
physics,universe,0,1
computation,speed,0,1
computation,efficiency,0,1
computation,complexity,0,-1
grade,score,-1,-1
grade,performance,-1,-1
grade,feedback,-1,0
mathematic,logic,0,1
mathematic,pattern,0,0
mathematic,abstraction,0,0
class,learn,0,1
class,interaction,0,0
class,environment,0,-1
scientist,curiosity,1,1
scientist,innovation,1,1
scientist,dedication,1,1
art,creativity,1,1
art,expression,1,1
art,emotion,1,0
number,precision,0,0
number,count,0,-1
number,calculation,0,-1
proof,logic,0,1
proof,verification,0,0
proof,truth,0,1
problem - solve,strategy,0,0
problem - solve,analysis,0,0
problem - solve,solution,0,1
success,achievement,1,1
success,growth,1,0
success,satisfaction,1,1
music,rhythm,1,0
music,melody,1,0
music,emotion,1,1
informatic,datum,0,-1
informatic,system,0,0
informatic,technology,0,0
lecture,learn,-1,0
lecture,presentation,-1,-1
lecture,engagement,-1,-1
model,representation,0,0
model,simulation,0,0
model,theory,0,0
knowledge,understand,1,1
knowledge,wisdom,1,1
knowledge,insight,1,1
chatgpt,assistant,-1,0
chatgpt,intelligence,-1,0
chatgpt,tool,-1,-1
experiment,testing,0,0
experiment,discovery,0,1
experiment,learn,0,0
student,learner,0,0
student,curious,0,0
student,dedicate,0,0
ai,technology,-1,0
ai,automation,-1,-1
ai,future,-1,0
work,effort,-1,-1
work,productivity,-1,0
work,balance,-1,-1
logic,reasoning,1,1
logic,structure,1,0
logic,clarity,1,1
creativity,innovation,1,1
creativity,imagination,1,1
creativity,expression,1,1
study,learn,0,1
study,focus,0,0
study,preparation,0,0
theorem,proof,0,0
theorem,logic,0,1
theorem,mathematic,0,0
