cue_word,association_word,cue_valence,associated_valence
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem - solve,0,0
science,experiment,1,1
science,discovery,1,1
science,research,1,1
job,work,0,0
job,career,0,0
job,employment,0,0
physics,mathematic,0,0
physics,law,0,0
physics,energy,0,0
llm,language,0,0
llm,model,0,0
llm,artificial,0,0
future,time,1,0
future,technology,1,1
future,progress,1,1
chatgpt,conversation,0,0
chatgpt,assistant,0,0
chatgpt,ai,0,0
algorithm,code,0,0
algorithm,computation,0,0
algorithm,logic,0,0
history,past,0,0
history,event,0,0
history,chronicle,0,0
lecture,teach,0,0
lecture,learn,0,0
lecture,education,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
career,job,0,0
career,growth,0,0
career,profession,0,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,equation,0,0
equation,mathematic,0,0
equation,solution,0,0
equation,variable,0,0
problem - solve,logic,0,0
problem - solve,mathematic,0,0
problem - solve,creativity,0,0
number,mathematic,0,0
number,count,0,0
number,datum,0,0
student,learn,0,0
student,education,0,0
student,knowledge,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,group,0,0
literature,book,0,0
literature,write,0,0
literature,fiction,0,0
success,achievement,1,1
success,goal,1,1
success,victory,1,1
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,write,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
exam,test,-1,-1
exam,evaluation,-1,-1
exam,assessment,-1,-1
experiment,science,1,1
experiment,research,1,1
experiment,discovery,1,1
variable,mathematic,0,0
variable,equation,0,0
variable,unknown,0,-1
informatic,datum,0,0
informatic,computer,0,-1
informatic,algorithm,0,-1
biology,life,1,1
biology,cell,1,0
biology,evolution,1,0
scientist,research,1,0
scientist,lab,1,0
scientist,discovery,1,1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
study,learn,0,1
study,book,0,0
study,focus,0,-1
professor,teach,0,0
professor,lecture,0,-1
professor,knowledge,0,1
teacher,educate,1,1
teacher,student,1,0
teacher,classroom,1,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
music,sound,1,0
music,rhythm,1,0
music,harmony,1,0
grade,school,-1,-1
grade,mark,-1,-1
grade,evaluation,-1,-1
class,student,-1,0
class,lesson,-1,-1
class,room,-1,-1
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,defeat,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,information,1,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,truth,0,1
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
model,design,0,0
model,simulation,0,0
model,theory,0,0
homework,study,-1,0
homework,assignment,-1,-1
homework,school,-1,-1
classroom,student,-1,0
classroom,teacher,-1,1
classroom,lesson,-1,-1
society,people,0,0
society,culture,0,0
society,community,0,0
art,creativity,1,1
art,paint,1,0
art,expression,1,1
computation,calculation,0,-1
computation,algorithm,0,-1
computation,datum,0,0
ai,technology,0,0
ai,learn,0,0
ai,automation,0,-1
proof,math,0,0
proof,theorem,0,0
proof,evidence,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
