cue_word,association_word,cue_valence,associated_valence
job,work,0,0
job,salary,0,1
job,colleague,0,0
history,past,0,-1
history,event,0,0
history,fact,0,0
experiment,science,0,0
experiment,test,0,0
experiment,discover,0,1
variable,change,-1,0
variable,datum,-1,0
variable,unknown,-1,-1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
music,sound,1,0
music,rhythm,1,0
music,emotion,1,1
datum,information,0,0
datum,number,0,-1
datum,analysis,0,0
algorithm,code,0,0
algorithm,logic,0,0
algorithm,problem,0,-1
success,achievement,1,1
success,goal,1,0
success,happy,1,1
creativity,idea,1,1
creativity,art,1,1
creativity,innovate,1,1
stem,science,0,0
stem,math,0,0
stem,technology,0,0
study,learn,0,0
study,book,0,0
study,focus,0,-1
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
grade,school,-1,0
grade,score,-1,-1
grade,performance,-1,0
homework,task,-1,-1
homework,study,-1,0
homework,deadline,-1,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
lecture,class,0,-1
lecture,teacher,0,0
lecture,listen,0,-1
science,discover,1,1
science,experiment,1,0
science,knowledge,1,1
proof,math,0,0
proof,logic,0,0
proof,demonstrate,0,0
teacher,educate,0,1
teacher,classroom,0,0
teacher,student,0,0
literature,book,1,1
literature,story,1,1
literature,write,1,1
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,lab,0,-1
theorem,math,0,0
theorem,prove,0,0
theorem,geometry,0,0
llm,model,0,0
llm,ai,0,0
llm,language,0,1
society,people,0,0
society,community,0,1
society,culture,0,1
model,design,0,0
model,ai,0,1
model,innovation,0,0
chatgpt,ai,0,1
chatgpt,conversation,0,0
chatgpt,tool,0,0
student,learn,0,0
student,future,0,0
student,study,0,0
number,math,-1,0
number,datum,-1,0
number,precision,-1,0
class,room,0,0
class,teacher,0,0
class,lesson,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
informatic,tech,0,1
informatic,datum,0,0
informatic,compute,0,0
career,job,1,0
career,growth,1,1
career,success,1,1
professor,teacher,0,0
professor,expert,0,0
professor,research,0,0
failure,loss,-1,-1
failure,challenge,-1,0
failure,opportunity,-1,0
work,job,0,0
work,effort,0,0
work,team,0,0
logic,reasoning,0,0
logic,math,0,-1
logic,think,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
computation,calculate,0,-1
computation,algorithm,0,0
computation,programming,0,0
physics,science,0,1
physics,law,0,0
physics,nature,0,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
ai,future,1,0
ai,technology,1,1
ai,intelligence,1,1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,understand,1,1
mathematic,number,0,-1
mathematic,equation,0,0
mathematic,logic,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,note,0,0
scientist,research,1,1
scientist,discovery,1,1
scientist,experiment,1,1
future,hope,0,0
future,progress,0,0
future,innovation,0,1
problem - solve,challenge,0,-1
problem - solve,solution,0,0
problem - solve,strategy,0,0
classroom,student,0,0
classroom,learn,0,0
classroom,teacher,0,0
