cue_word,association_word,cue_valence,associated_valence
stem,science,0,0
stem,education,0,1
stem,technology,0,0
success,achievement,1,1
success,happiness,1,1
job,work,-1,-1
job,career,-1,0
computation,calculate,-1,-1
computation,algorithm,-1,-1
study,learn,0,1
study,exam,0,-1
teacher,educator,0,0
teacher,classroom,0,0
professor,academic,0,1
professor,research,0,0
chatgpt,ai,-1,-1
chatgpt,assistant,-1,0
experiment,science,-1,0
experiment,test,-1,-1
student,learner,0,1
student,school,0,0
music,melody,1,1
music,rhythm,1,1
career,job,0,-1
career,growth,0,1
failure,loss,-1,-1
failure,disappointment,-1,-1
classroom,learn,0,1
classroom,teacher,0,0
grade,score,-1,-1
grade,evaluation,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
chemistry,science,0,0
chemistry,reaction,0,-1
history,past,0,-1
history,event,0,-1
algorithm,computation,-1,-1
algorithm,logic,-1,-1
proof,mathematic,-1,0
proof,demonstration,-1,-1
future,time,0,-1
future,uncertainty,0,-1
society,people,0,1
society,community,0,1
informatic,datum,0,0
informatic,technology,0,0
lecture,talk,-1,-1
lecture,education,-1,1
exam,test,-1,-1
exam,evaluation,-1,-1
blackboard,classroom,-1,0
blackboard,teach,-1,0
blackboard,learn,-1,1
physics,science,0,0
physics,law,0,-1
physics,energy,0,0
equation,math,-1,0
equation,solution,-1,1
equation,variable,-1,-1
logic,reasoning,0,0
logic,truth,0,0
logic,argument,0,-1
literature,book,1,1
literature,poetry,1,1
literature,story,1,1
creativity,innovation,1,1
creativity,art,1,1
creativity,idea,1,1
ai,technology,0,0
ai,intelligence,0,0
ai,future,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,question,0,-1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
llm,language,-1,0
llm,modeling,-1,0
llm,learn,-1,1
model,prediction,-1,0
model,datum,-1,0
model,theory,-1,-1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
homework,study,-1,-1
homework,assignment,-1,-1
homework,effort,-1,-1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,understand,1,1
work,effort,-1,0
work,achievement,-1,1
work,task,-1,-1
class,student,0,0
class,teach,0,0
class,learn,0,1
datum,information,0,0
datum,analysis,0,0
datum,insight,0,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
mathematic,number,-1,-1
mathematic,formula,-1,-1
mathematic,theory,-1,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,goal,1,1
science,discovery,0,1
science,experiment,0,0
science,knowledge,0,1
theorem,proof,-1,-1
theorem,mathematic,-1,-1
theorem,logic,-1,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
problem - solve,solution,0,1
problem - solve,strategy,0,0
problem - solve,challenge,0,-1
number,math,-1,0
number,count,-1,-1
number,pattern,-1,-1
