cue_word,association_word,cue_valence,associated_valence
biology,lab,0,0
biology,cell,0,0
biology,experiment,0,0
exam,stress,-1,-1
exam,grade,-1,0
exam,pressure,-1,-1
ai,tech,1,0
ai,future,1,0
ai,automation,1,0
class,social,0,0
class,group,0,0
class,schedule,0,-1
mathematic,problem,-1,0
mathematic,number,-1,0
mathematic,formula,-1,0
equation,solution,0,1
equation,pattern,0,0
equation,logic,0,1
classroom,noise,0,-1
classroom,teacher,0,0
classroom,seat,0,0
music,classical,1,1
music,emotion,1,0
music,harmony,1,0
logic,reason,1,1
logic,pattern,1,1
logic,structure,1,0
future,career,0,0
future,change,0,0
future,opportunity,0,1
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
algorithm,code,1,0
algorithm,step,1,0
algorithm,process,1,0
lecture,content,0,0
lecture,attention,0,-1
lecture,note,0,0
success,achievement,1,1
success,goal,1,0
success,pride,1,0
study,focus,0,0
study,time,0,0
study,effort,0,0
professor,knowledge,0,1
professor,help,0,0
professor,strict,0,-1
science,experiment,0,0
science,discovery,0,1
science,datum,0,0
work,income,0,1
work,schedule,0,0
work,task,0,-1
chatgpt,help,1,1
chatgpt,quick,1,0
chatgpt,tool,1,0
career,growth,0,1
career,choice,0,0
career,path,0,0
physics,force,0,0
physics,motion,0,0
physics,law,0,0
variable,change,0,0
variable,input,0,0
variable,output,0,0
blackboard,write,0,0
blackboard,chalk,0,-1
blackboard,note,0,0
model,simulation,0,0
model,design,0,0
model,prediction,0,0
literature,story,0,1
literature,theme,0,0
literature,emotion,0,1
creativity,art,1,1
creativity,game,1,0
creativity,idea,1,1
art,expression,1,1
art,color,1,0
art,music,1,1
datum,number,0,0
datum,pattern,0,0
datum,science,0,0
problem - solve,logic,1,1
problem - solve,solution,1,0
problem - solve,think,1,0
knowledge,learn,0,0
knowledge,memory,0,0
knowledge,fact,0,0
grade,score,-1,0
grade,homework,-1,-1
grade,stress,-1,-1
llm,technology,0,1
llm,intelligence,0,0
llm,tool,0,0
experiment,test,0,0
experiment,science,0,0
experiment,failure,0,0
stem,science,0,0
stem,math,0,0
stem,engineering,0,0
failure,lesson,0,0
failure,risk,0,0
failure,mistake,0,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,lab,0,0
number,math,0,0
number,pattern,0,0
number,calculation,0,0
philosophy,think,0,1
philosophy,question,0,0
philosophy,truth,0,0
teamwork,collaboration,0,1
teamwork,support,0,0
teamwork,group,0,0
theorem,proof,0,1
theorem,logic,0,1
theorem,math,0,0
scientist,research,0,1
scientist,discovery,0,1
scientist,truth,0,0
history,past,0,0
history,event,0,0
history,change,0,0
job,work,0,0
job,income,0,0
job,stress,0,-1
informatic,datum,0,0
informatic,system,0,0
informatic,computer,0,1
computation,algorithm,0,0
computation,process,0,0
computation,speed,0,0
society,people,0,0
society,culture,0,0
society,change,0,0
homework,task,-1,-1
homework,grade,-1,-1
homework,stress,-1,-1
proof,logic,1,1
proof,validity,1,0
proof,math,1,0
teacher,guide,0,0
teacher,knowledge,0,0
teacher,class,0,0
student,learn,0,0
student,grade,0,-1
student,study,0,0
