cue_word,association_word,cue_valence,associated_valence
classroom,learn,0,1
classroom,teacher,0,-1
variable,change,-1,-1
variable,uncertainty,-1,-1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
teacher,education,0,1
teacher,guidance,0,0
history,past,-1,-1
history,lesson,-1,0
literature,story,1,0
literature,poetry,1,1
proof,evidence,-1,0
proof,logic,-1,0
knowledge,learn,1,1
knowledge,wisdom,1,1
creativity,imagination,1,1
creativity,innovation,1,0
success,achievement,1,1
success,reward,1,0
future,hope,-1,0
future,opportunity,-1,0
logic,reasoning,0,1
logic,math,0,-1
number,math,-1,-1
number,calculation,-1,-1
scientist,research,0,1
scientist,discovery,0,1
model,design,-1,0
model,prototype,-1,-1
theorem,proof,-1,-1
theorem,mathematic,-1,-1
art,beauty,1,1
art,expression,1,0
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
biology,life,-1,1
biology,science,-1,-1
stem,science,0,-1
stem,technology,0,0
society,community,-1,0
society,culture,-1,0
experiment,science,0,-1
experiment,discovery,0,1
science,research,0,1
science,knowledge,0,1
music,melody,1,1
music,art,1,1
work,money,-1,0
work,stress,-1,-1
work,achievement,-1,1
homework,study,-1,-1
homework,fatigue,-1,-1
homework,grade,-1,0
chemistry,experiment,-1,-1
chemistry,formula,-1,0
chemistry,difficulty,-1,-1
student,learn,0,1
student,freedom,0,-1
student,responsibility,0,-1
class,lecture,-1,-1
class,interaction,-1,0
class,boredom,-1,-1
professor,knowledge,0,1
professor,authority,0,-1
professor,respect,0,0
computation,algorithm,-1,0
computation,speed,-1,1
computation,error,-1,-1
equation,mathematic,-1,0
equation,solution,-1,1
equation,complexity,-1,-1
job,career,-1,0
job,security,-1,1
job,pressure,-1,-1
philosophy,think,0,1
philosophy,question,0,-1
philosophy,wisdom,0,1
physics,theory,-1,0
physics,experiment,-1,-1
physics,understand,-1,1
teamwork,collaboration,0,1
teamwork,success,0,1
teamwork,conflict,0,-1
algorithm,logic,-1,0
algorithm,efficiency,-1,1
algorithm,complexity,-1,-1
exam,stress,-1,-1
exam,preparation,-1,-1
exam,grade,-1,0
datum,analysis,-1,0
datum,information,-1,1
datum,accuracy,-1,0
lecture,learn,-1,-1
lecture,note,-1,-1
lecture,boredom,-1,-1
grade,performance,0,1
grade,effort,0,0
grade,satisfaction,0,-1
chatgpt,ai,0,-1
chatgpt,help,0,1
chatgpt,curiosity,0,0
informatic,technology,0,1
informatic,problem,0,-1
informatic,solution,0,1
career,growth,0,1
career,stability,0,0
career,challenge,0,-1
failure,mistake,-1,-1
failure,learn,-1,-1
failure,disappointment,-1,-1
study,knowledge,0,1
study,effort,0,-1
study,progress,0,0
llm,language,-1,0
llm,model,-1,-1
llm,intelligence,-1,1
mathematic,logic,-1,0
mathematic,abstraction,-1,-1
mathematic,difficulty,-1,-1
ai,innovation,-1,1
ai,future,-1,0
ai,uncertainty,-1,-1
