cue_word,association_word,cue_valence,associated_valence
creativity,innovation,0,0
creativity,imagination,0,0
creativity,vision,0,0
teacher,guidance,0,0
teacher,support,0,0
teacher,authority,0,-1
theorem,proof,0,0
theorem,logic,0,0
theorem,structure,0,-1
lecture,knowledge,-1,0
lecture,information,-1,0
lecture,class,-1,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
future,hope,0,0
future,change,0,0
future,possibility,0,0
datum,fact,0,0
datum,analysis,0,0
datum,pattern,0,-1
biology,life,0,0
biology,growth,0,0
biology,nature,0,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,truth,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,effort,0,-1
experiment,discovery,0,0
experiment,testing,0,0
experiment,result,0,-1
computation,speed,0,0
computation,accuracy,0,0
computation,process,0,-1
equation,solution,0,0
equation,balance,0,0
equation,math,0,0
music,emotion,0,0
music,rhythm,0,0
music,joy,0,0
knowledge,wisdom,0,0
knowledge,understand,0,0
knowledge,learn,0,0
proof,logic,0,0
proof,certainty,0,0
proof,validity,0,0
llm,ai,0,0
llm,technology,0,0
llm,help,0,0
class,structure,-1,0
class,rule,-1,-1
class,learn,-1,0
work,effort,-1,0
work,income,-1,0
work,stress,-1,-1
ai,smart,0,0
ai,automation,0,0
ai,future,0,0
classroom,learn,0,0
classroom,student,0,0
classroom,teacher,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
mathematic,problem,0,0
job,career,-1,0
job,income,-1,0
job,pressure,-1,-1
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,0
history,past,0,0
history,event,0,0
history,memory,0,-1
number,precision,0,0
number,calculation,0,0
number,pattern,0,-1
career,growth,-1,0
career,stability,-1,0
career,challenge,-1,-1
chatgpt,helpful,0,0
chatgpt,efficient,0,0
chatgpt,reliable,0,0
failure,stress,-1,-1
failure,learn,-1,0
failure,risk,-1,-1
physics,rule,0,0
physics,equation,0,0
physics,curiosity,0,0
exam,pressure,-1,-1
exam,performance,-1,0
exam,deadline,-1,-1
study,focus,0,0
study,effort,0,0
study,progress,0,0
algorithm,logic,0,0
algorithm,step - by - step,0,0
algorithm,automation,0,-1
variable,change,-1,0
variable,input,-1,0
variable,output,-1,0
problem - solve,think,0,0
problem - solve,clarity,0,0
problem - solve,solution,0,0
society,change,0,0
society,influence,0,-1
society,structure,0,-1
art,emotion,0,0
art,creativity,0,0
art,expression,0,0
model,representation,0,0
model,prediction,0,0
model,design,0,-1
student,learn,0,0
student,responsibility,0,0
student,growth,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,uncertainty,-1,-1
stem,science,0,0
stem,technology,0,0
stem,innovation,0,0
homework,task,-1,0
homework,practice,-1,0
homework,deadline,-1,-1
success,achievement,0,0
success,confidence,0,0
success,goal,0,0
grade,score,-1,0
grade,evaluation,-1,-1
grade,feedback,-1,0
informatic,datum,0,0
informatic,system,0,0
informatic,cod,0,0
blackboard,teach,0,0
blackboard,write,0,0
blackboard,clarity,0,0
logic,reason,0,0
logic,structure,0,0
logic,consistency,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
scientist,research,0,0
science,truth,0,0
science,experiment,0,0
science,knowledge,0,0
professor,knowledge,0,0
professor,mentor,0,0
professor,authority,0,-1
