cue_word,association_word,cue_valence,associated_valence
number,math,0,0
number,count,0,0
physics,science,0,0
physics,law,0,0
ai,technology,1,1
ai,future,1,0
mathematic,logic,0,0
mathematic,number,0,0
grade,school,0,0
grade,performance,0,0
future,hope,0,1
future,uncertainty,0,-1
art,creativity,1,1
art,beauty,1,1
career,growth,0,0
career,stability,0,0
algorithm,code,0,0
algorithm,logic,0,0
study,learn,0,1
study,focus,0,0
creativity,innovation,1,1
creativity,art,1,1
theorem,proof,0,0
theorem,mathematic,0,0
classroom,learn,0,1
classroom,student,0,0
exam,test,-1,-1
exam,stress,-1,-1
scientist,research,0,0
scientist,discovery,0,1
literature,book,1,1
literature,story,1,1
computation,calculation,0,0
computation,algorithm,0,0
class,student,0,0
class,teach,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
homework,task,0,0
homework,study,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
music,harmony,1,1
music,rhythm,1,1
teamwork,collaboration,0,0
teamwork,cooperation,0,0
chemistry,reaction,0,0
chemistry,element,0,0
work,job,0,0
work,effort,0,0
job,work,0,0
job,money,0,0
job,routine,0,-1
lecture,learn,0,0
lecture,bore,0,-1
lecture,note,0,0
teacher,learn,0,0
teacher,explain,0,0
teacher,strict,0,-1
stem,science,1,1
stem,math,1,0
stem,future,1,1
science,experiment,1,0
science,discover,1,1
science,lab,1,0
logic,reason,0,0
logic,math,0,0
logic,puzzle,0,0
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
biology,life,0,1
biology,cell,0,0
biology,nature,0,1
equation,math,0,0
equation,solve,0,0
equation,number,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
society,people,0,0
society,community,0,0
society,culture,0,0
informatic,computer,1,1
informatic,datum,1,1
informatic,program,1,1
llm,language,0,0
llm,model,0,0
llm,ai,0,0
blackboard,class,0,0
blackboard,write,0,0
blackboard,teach,0,0
history,past,-1,-1
history,learn,-1,0
history,fact,-1,0
success,achieve,1,1
success,happy,1,1
success,win,1,1
chatgpt,ai,0,0
chatgpt,chat,0,0
chatgpt,help,0,0
student,learn,0,0
student,study,0,0
student,young,0,0
proof,math,0,0
proof,show,0,0
proof,true,0,0
model,math,0,0
model,simulate,0,0
model,predict,0,0
experiment,science,0,1
experiment,test,0,0
experiment,discover,0,1
datum,information,0,0
datum,analyze,0,0
datum,number,0,0
professor,teach,0,0
professor,learn,0,0
professor,smart,0,0
failure,lose,-1,-1
failure,sad,-1,-1
failure,error,-1,-1
philosophy,think,-1,0
philosophy,question,-1,0
philosophy,deep,-1,0
