cue_word,association_word,cue_valence,associated_valence
number,maths,0,-1
number,calculation,0,-1
number,datum,0,0
homework,study,-1,0
homework,task,-1,-1
homework,school,-1,0
informatic,computer,0,0
informatic,technology,0,0
informatic,cod,0,0
future,plan,0,0
future,dream,0,1
future,uncertainty,0,-1
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
model,design,0,0
model,structure,0,0
model,example,0,0
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
failure,mistake,-1,-1
failure,loss,-1,-1
failure,learn,-1,0
problem - solve,logic,0,0
problem - solve,puzzle,0,0
problem - solve,solution,0,0
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,group,1,0
history,past,0,0
history,event,0,0
history,learn,0,0
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
literature,book,1,1
literature,read,1,1
literature,story,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
physics,maths,-1,-1
physics,science,-1,0
physics,equation,-1,-1
classroom,school,0,0
classroom,learn,0,0
classroom,teacher,0,0
llm,learn,0,0
llm,model,0,0
llm,ai,0,0
society,people,0,0
society,community,0,0
society,culture,0,0
blackboard,classroom,0,0
blackboard,teach,0,0
blackboard,write,0,0
equation,maths,-1,-1
equation,science,-1,0
equation,solution,-1,0
biology,science,0,0
biology,life,0,1
biology,cell,0,0
mathematic,number,-1,0
mathematic,logic,-1,0
mathematic,problem,-1,-1
proof,maths,0,-1
proof,evidence,0,0
proof,theorem,0,0
teacher,learn,0,0
teacher,school,0,0
teacher,knowledge,0,1
success,achievement,1,1
success,happy,1,1
success,goal,1,1
art,creativity,0,1
art,expression,0,0
art,beauty,0,1
science,discovery,0,0
science,research,0,0
science,experiment,0,0
stem,career,0,0
stem,education,0,0
stem,innovation,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,0
computation,cod,-1,-1
computation,datum,-1,0
computation,algorithm,-1,-1
job,work,0,0
job,career,0,0
job,employment,0,0
student,learn,0,1
student,education,0,0
student,class,0,0
class,learn,0,1
class,teacher,0,0
class,student,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,wisdom,0,1
lecture,learn,0,1
lecture,teacher,0,0
lecture,class,0,0
grade,school,-1,0
grade,exam,-1,-1
grade,performance,-1,0
chatgpt,ai,0,0
chatgpt,technology,0,0
chatgpt,assistant,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
music,sound,1,1
music,rhythm,1,1
music,harmony,1,1
variable,math,-1,-1
variable,datum,-1,0
variable,statistic,-1,-1
study,learn,0,1
study,research,0,0
study,education,0,0
logic,reasoning,-1,0
logic,math,-1,-1
logic,think,-1,0
professor,teacher,0,0
professor,education,0,0
professor,lecture,0,0
work,job,0,0
work,employment,0,0
work,career,0,0
chemistry,science,-1,0
chemistry,experiment,-1,0
chemistry,reaction,-1,-1
datum,information,0,0
datum,statistic,0,-1
datum,analysis,0,0
experiment,science,0,0
experiment,research,0,0
experiment,discovery,0,0
career,job,0,0
career,work,0,0
career,profession,0,0
theorem,math,-1,-1
theorem,proof,-1,-1
theorem,logic,-1,-1
algorithm,cod,-1,-1
algorithm,computation,-1,-1
algorithm,datum,-1,0
