cue_word,association_word,cue_valence,associated_valence
professor,teacher,0,1
professor,lecture,0,-1
professor,research,0,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,disappointment,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
homework,stress,-1,-1
experiment,science,0,1
experiment,test,0,-1
experiment,discovery,0,1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,laboratory,0,-1
datum,information,0,1
datum,analysis,0,0
datum,number,0,-1
society,people,0,1
society,community,0,1
society,culture,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,1
creativity,innovation,1,1
creativity,art,1,0
creativity,idea,1,1
grade,score,-1,-1
grade,performance,-1,0
grade,evaluation,-1,-1
mathematic,number,0,-1
mathematic,logic,0,1
mathematic,equation,0,0
llm,language,0,0
llm,model,0,-1
llm,ai,0,1
variable,change,-1,-1
variable,datum,-1,0
variable,unknown,-1,-1
lecture,teach,-1,1
lecture,classroom,-1,0
lecture,note,-1,-1
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
art,creativity,1,1
art,paint,1,0
art,expression,1,1
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
stem,science,0,1
stem,technology,0,1
stem,engineering,0,0
class,student,-1,0
class,learn,-1,1
class,teacher,-1,1
proof,evidence,0,1
proof,mathematic,0,0
proof,logic,0,1
job,work,-1,-1
job,career,-1,0
job,salary,-1,0
philosophy,think,0,1
philosophy,wisdom,0,1
philosophy,ethic,0,0
exam,test,-1,-1
exam,study,-1,0
exam,stress,-1,-1
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,cooperation,1,1
career,job,0,-1
career,growth,0,1
career,success,0,1
work,job,0,-1
work,effort,0,-1
work,money,0,1
history,past,0,-1
history,event,0,0
history,fact,0,1
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
blackboard,teach,-1,1
literature,book,1,1
literature,poetry,1,0
literature,fiction,1,-1
problem - solve,logic,0,1
problem - solve,challenge,0,-1
problem - solve,solution,0,1
classroom,student,0,0
classroom,learn,0,1
classroom,teacher,0,1
scientist,research,1,1
scientist,experiment,1,0
scientist,discovery,1,1
chatgpt,ai,0,-1
chatgpt,chatbot,0,-1
chatgpt,technology,0,1
informatic,datum,0,1
informatic,computer,0,-1
informatic,information,0,1
physics,law,0,-1
physics,energy,0,1
physics,motion,0,0
future,time,-1,-1
future,hope,-1,1
future,uncertainty,-1,-1
theorem,proof,0,-1
theorem,maths,0,1
theorem,logic,0,0
teacher,student,1,0
teacher,knowledge,1,1
teacher,classroom,1,-1
science,research,1,0
science,experiment,1,-1
science,discovery,1,1
ai,technology,-1,0
ai,future,-1,-1
ai,machine,-1,-1
biology,life,1,1
biology,cell,1,0
biology,evolution,1,-1
music,sound,1,0
music,rhythm,1,-1
music,emotion,1,1
computation,calculation,0,-1
computation,algorithm,0,-1
computation,datum,0,1
number,maths,0,1
number,count,0,-1
number,quantity,0,-1
equation,maths,0,1
equation,solution,0,-1
equation,variable,0,-1
algorithm,code,-1,0
algorithm,logic,-1,1
algorithm,computation,-1,-1
student,learn,0,1
student,classroom,0,-1
student,teacher,0,0
study,learn,0,1
study,book,0,-1
study,effort,0,-1
model,theory,-1,0
model,simulation,-1,1
model,representation,-1,-1
logic,reasoning,1,0
logic,maths,1,-1
logic,solution,1,1
