cue_word,association_word,cue_valence,associated_valence
music,joy,0,0
music,emotion,0,-1
music,creativity,0,0
philosophy,reason,0,0
philosophy,truth,0,0
philosophy,understand,0,0
blackboard,write,0,-1
blackboard,chalk,0,-1
blackboard,knowledge,0,0
teacher,guidance,0,0
teacher,instruction,0,0
teacher,mentor,0,0
class,learn,-1,0
class,group,-1,0
class,structure,-1,-1
logic,reasoning,0,0
logic,consistency,0,0
logic,deduction,0,0
work,effort,0,-1
work,productivity,0,0
work,achievement,0,0
problem - solve,strategy,0,0
problem - solve,analysis,0,0
problem - solve,solution,0,0
biology,life,0,0
biology,growth,0,-1
biology,experiment,0,0
career,progress,0,0
career,opportunity,0,0
career,goal,0,0
lecture,presentation,-1,0
lecture,information,-1,0
lecture,delivery,-1,0
art,beauty,0,0
art,expression,0,0
art,creativity,0,0
proof,validity,0,0
proof,evidence,0,0
proof,certainty,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,share goal,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,algorithm,0,0
classroom,learn,-1,0
classroom,discipline,-1,-1
classroom,instruction,-1,0
professor,expertise,0,0
professor,teach,0,0
professor,knowledge,0,0
grade,evaluation,-1,0
grade,performance,-1,0
grade,achievement,-1,0
theorem,proof,0,0
theorem,mathematical,0,0
theorem,structure,0,0
experiment,testing,0,0
experiment,observation,0,-1
experiment,discovery,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,-1
mathematic,logic,0,0
mathematic,abstraction,0,0
mathematic,precision,0,0
exam,assessment,-1,0
exam,stress,-1,-1
exam,evaluation,-1,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,learn,0,0
equation,formula,0,0
equation,relationship,0,-1
equation,solution,0,0
history,memory,0,0
history,pattern,0,-1
history,legacy,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
anxiety,fear,-1,0
anxiety,stress,-1,0
anxiety,uncertainty,-1,-1
scientist,discovery,0,0
scientist,experiment,0,0
scientist,research,0,0
job,income,0,0
job,purpose,0,0
job,career,0,0
datum,information,-1,0
datum,analysis,-1,0
datum,collection,-1,-1
success,achievement,0,0
success,goal,0,0
success,reward,0,0
variable,change,-1,0
variable,factor,-1,-1
variable,input,-1,0
ai,machine,0,-1
ai,learn,0,0
ai,intelligence,0,0
stem,engineering,0,0
stem,mathematic,0,0
stem,technology,0,0
study,focus,0,0
study,effort,0,-1
study,understand,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,rule,0,0
student,learn,0,0
student,curiosity,0,0
student,growth,0,0
homework,task,-1,-1
homework,assignment,-1,0
homework,practice,-1,0
chatgpt,tool,0,0
chatgpt,help,0,0
chatgpt,response,0,0
future,progress,0,0
future,development,0,0
future,opportunity,0,0
literature,story,0,0
literature,narrative,0,0
literature,text,0,-1
science,experiment,0,0
science,discovery,0,0
science,truth,0,0
llm,language,0,0
llm,model,0,0
llm,generation,0,0
number,quantitative,0,-1
number,calculation,0,0
number,precision,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,compound,0,0
computation,processing,0,0
computation,speed,0,-1
computation,efficiency,0,0
physics,law,0,0
physics,force,0,0
physics,motion,0,0
model,representation,0,0
model,simulation,0,0
model,design,0,0
failure,error,-1,0
failure,mistake,-1,0
failure,loss,-1,-1
