cue_word,association_word,cue_valence,associated_valence
computation,math,0,0
computation,cod,0,1
computation,calculator,0,-1
variable,change,0,0
variable,unknown,0,-1
variable,parameter,0,0
classroom,teacher,0,1
classroom,desk,0,-1
classroom,learn,0,0
logic,reasoning,1,0
logic,proof,1,0
logic,structure,1,0
work,job,0,-1
work,effort,0,0
work,productivity,0,1
study,book,0,0
study,exam,0,-1
study,knowledge,0,1
history,past,0,0
history,story,0,0
history,civilization,0,1
creativity,imagination,1,0
creativity,art,1,0
creativity,innovation,1,0
chemistry,element,0,0
chemistry,reaction,0,-1
chemistry,lab,0,0
experiment,test,0,0
experiment,result,0,1
experiment,discovery,0,0
algorithm,code,0,1
algorithm,process,0,0
algorithm,solution,0,0
literature,book,1,0
literature,story,1,0
literature,language,1,0
model,design,0,1
model,template,0,-1
model,simulation,0,0
equation,math,0,0
equation,solution,0,1
equation,balance,0,-1
future,hope,1,0
future,change,1,0
future,innovation,1,0
proof,evidence,0,1
proof,logic,0,0
proof,validation,0,0
class,education,0,1
class,teacher,0,0
class,learn,0,0
problem - solve,challenge,1,0
problem - solve,solution,1,0
problem - solve,logic,1,0
theorem,math,0,1
theorem,proof,0,0
theorem,truth,0,0
exam,test,-1,0
exam,stress,-1,-1
exam,grade,-1,-1
science,discovery,1,0
science,research,1,0
science,knowledge,1,0
philosophy,think,1,0
philosophy,wisdom,1,1
philosophy,question,1,0
lecture,teacher,0,1
lecture,learn,0,0
lecture,classroom,0,0
homework,study,-1,0
homework,task,-1,0
homework,effort,-1,0
llm,ai,0,-1
llm,language,0,0
llm,model,0,0
datum,information,0,1
datum,analysis,0,0
datum,database,0,0
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
blackboard,education,-1,1
knowledge,learn,1,0
knowledge,wisdom,1,1
knowledge,expertise,1,0
music,melody,1,0
music,joy,1,1
music,concert,1,0
ai,technology,0,0
ai,future,0,0
ai,robotic,0,-1
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,fear,-1,-1
society,community,0,1
society,culture,0,0
society,change,0,0
biology,nature,0,1
biology,life,0,1
biology,science,0,0
grade,score,0,-1
grade,evaluation,0,0
grade,performance,0,0
number,math,-1,-1
number,calculation,-1,-1
number,quantitative,-1,0
failure,loss,-1,-1
failure,mistake,-1,-1
failure,defeat,-1,-1
student,learn,0,0
student,education,0,1
student,school,0,-1
teamwork,collaboration,1,1
teamwork,cooperation,1,0
teamwork,group,1,0
physics,science,0,0
physics,law,0,-1
physics,universe,0,1
success,achievement,1,1
success,victory,1,0
success,goal,1,0
mathematic,number,-1,-1
mathematic,logic,-1,0
mathematic,equation,-1,-1
stem,science,0,0
stem,technology,0,0
stem,education,0,1
chatgpt,ai,0,0
chatgpt,language,0,0
chatgpt,model,0,-1
career,job,0,0
career,profession,0,0
career,growth,0,1
professor,teacher,0,1
professor,education,0,1
professor,expertise,0,0
job,work,0,-1
job,career,0,0
job,income,0,0
art,creativity,1,1
art,beauty,1,1
art,expression,1,0
informatic,technology,0,0
informatic,datum,0,0
informatic,system,0,-1
teacher,education,1,1
teacher,mentor,1,1
teacher,knowledge,1,1
scientist,research,0,0
scientist,discovery,0,1
scientist,science,0,0
