cue_word,association_word,cue_valence,associated_valence
equation,formula,0,0
equation,math,0,0
equation,solution,0,0
proof,logic,0,0
proof,validate,0,0
proof,demonstrate,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,cod,0,0
grade,score,0,0
grade,evaluation,0,0
grade,rank,0,0
student,learner,0,0
student,school,0,0
student,pupil,0,0
physics,science,0,0
physics,experiment,0,0
physics,law,0,0
art,creativity,0,0
art,expression,0,0
art,imagination,0,0
job,work,0,0
job,career,0,0
job,profession,0,0
homework,assignment,0,0
homework,task,0,0
homework,study,0,0
music,melody,0,0
music,harmony,0,0
music,rhythm,0,0
study,learn,0,0
study,education,0,0
study,read,0,0
creativity,imagination,0,0
creativity,originality,0,0
creativity,innovation,0,0
algorithm,code,0,0
algorithm,process,0,0
algorithm,sequence,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,group,0,0
model,representation,0,0
model,structure,0,0
model,theory,0,0
theorem,principle,0,0
theorem,proposition,0,0
theorem,fact,0,0
computation,calculation,0,0
computation,processing,0,0
computation,analysis,0,0
knowledge,information,0,0
knowledge,learn,0,0
knowledge,wisdom,0,0
scientist,researcher,0,0
scientist,expert,0,0
scientist,intellectual,0,0
science,experiment,0,0
science,theory,0,0
science,discovery,0,0
history,past,0,0
history,record,0,0
history,timeline,0,0
number,mathematic,0,0
number,digit,0,0
number,quantitative,0,0
chatgpt,assistant,0,0
chatgpt,language,0,0
chatgpt,model,0,0
teacher,instructor,0,0
teacher,educator,0,0
teacher,mentor,0,0
problem - solve,challenge,0,0
problem - solve,logic,0,0
problem - solve,solution,0,1
career,job,0,0
career,growth,0,0
career,future,0,1
lecture,talk,0,0
lecture,class,0,0
lecture,professor,0,0
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,note,0,0
classroom,student,0,0
classroom,learn,0,1
classroom,environment,0,0
experiment,trial,0,0
experiment,datum,0,0
experiment,research,0,1
variable,change,0,0
variable,factor,0,0
variable,value,0,0
professor,teacher,1,0
professor,knowledge,1,1
professor,lecture,1,0
failure,loss,-1,-1
failure,challenge,-1,0
failure,growth,-1,0
class,group,0,0
class,education,0,0
class,session,0,0
literature,book,0,0
literature,write,0,0
literature,story,0,0
biology,life,0,0
biology,science,0,0
biology,experiment,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,logic,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,study,-1,0
society,community,0,0
society,culture,0,0
society,norm,0,0
success,achievement,1,1
success,goal,1,0
success,future,1,1
chemistry,reaction,0,0
chemistry,experiment,0,0
chemistry,molecule,0,0
future,hope,1,0
future,growth,1,0
future,opportunity,1,1
stem,science,0,0
stem,mathematic,0,1
stem,technology,0,0
work,job,0,0
work,duty,0,0
work,effort,0,0
ai,technology,0,0
ai,datum,0,0
ai,future,0,1
datum,information,0,0
datum,analysis,0,0
datum,research,0,0
llm,language,0,0
llm,model,0,0
llm,ai,0,0
mathematic,logic,1,0
mathematic,formula,1,0
mathematic,calculation,1,0
logic,reason,1,0
logic,analysis,1,0
logic,deduction,1,0
