cue_word,association_word,cue_valence,associated_valence
proof,evidence,0,0
proof,truth,0,1
proof,demonstration,0,0
biology,cell,-1,0
biology,life,-1,0
biology,organism,-1,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,group,1,0
work,job,0,0
work,effort,0,0
work,employment,0,0
job,career,0,0
job,employment,0,0
job,occupation,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,1
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
blackboard,classroom,0,0
blackboard,chalk,0,0
blackboard,teach,0,0
society,community,0,0
society,culture,0,0
society,people,0,1
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
history,past,1,0
history,event,1,0
history,chronicle,1,0
success,achievement,1,1
success,victory,1,1
success,prosperity,1,1
study,learn,0,1
study,education,0,1
study,research,0,0
homework,assignment,0,0
homework,study,0,0
homework,task,0,0
professor,teacher,0,0
professor,lecturer,0,0
professor,scholar,0,0
computation,calculation,0,0
computation,mathematic,0,-1
computation,algorithm,0,0
mathematic,number,-1,0
mathematic,algebra,-1,-1
mathematic,geometry,-1,-1
exam,test,-1,-1
exam,evaluation,-1,-1
exam,assessment,-1,-1
logic,reasoning,0,0
logic,think,0,0
logic,argument,0,0
classroom,student,0,0
classroom,teach,0,0
classroom,learn,0,1
lecture,talk,0,0
lecture,presentation,0,0
lecture,discourse,0,0
algorithm,code,0,0
algorithm,computation,0,0
algorithm,logic,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
failure,defeat,-1,-1
failure,loss,-1,-1
failure,mistake,-1,-1
ai,artificial,0,0
ai,intelligence,0,0
ai,technology,0,0
student,learn,0,0
student,future,0,0
student,youth,0,0
literature,book,1,1
literature,poetry,1,0
literature,knowledge,1,0
teacher,guidance,0,0
teacher,education,0,1
teacher,mentor,0,0
grade,school,0,0
grade,performance,0,0
grade,evaluation,0,-1
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
number,math,0,0
number,count,0,0
number,datum,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,challenge,0,0
model,design,0,0
model,representation,0,0
model,simulation,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,0
philosophy,think,0,0
philosophy,wisdom,0,1
philosophy,ethic,0,0
physics,science,0,0
physics,law,0,0
physics,experiment,0,0
variable,math,0,0
variable,change,0,0
variable,unknown,0,-1
scientist,research,0,0
scientist,discovery,0,1
scientist,experiment,0,0
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
career,job,0,0
career,growth,0,0
career,success,0,1
chemistry,science,0,0
chemistry,reaction,0,0
chemistry,experiment,0,0
science,discovery,0,1
science,research,0,0
science,knowledge,0,1
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
llm,learn,0,0
llm,education,0,0
llm,growth,0,0
experiment,science,0,0
experiment,discovery,0,1
experiment,test,0,0
class,school,0,0
class,learn,0,0
class,student,0,0
informatic,datum,0,0
informatic,technology,0,0
informatic,information,0,0
future,hope,0,1
future,uncertainty,0,-1
future,progress,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
