cue_word,association_word,cue_valence,associated_valence
job,work,-1,-1
job,stability,-1,1
job,responsibility,-1,-1
computation,math,-1,-1
computation,logic,-1,-1
computation,problem,-1,-1
career,growth,1,1
career,achievement,1,1
career,progress,1,1
study,learn,-1,1
study,effort,-1,-1
study,knowledge,-1,1
student,youth,-1,-1
student,education,-1,1
student,potential,-1,-1
society,community,-1,-1
society,culture,-1,-1
society,change,-1,-1
future,hope,-1,1
future,uncertainty,-1,-1
future,opportunity,-1,1
number,math,-1,-1
number,datum,-1,-1
number,precision,-1,-1
professor,teacher,-1,1
professor,knowledge,-1,1
professor,respect,-1,1
informatic,computer,-1,-1
informatic,science,-1,-1
informatic,technology,-1,-1
algorithm,logic,-1,-1
algorithm,problem,-1,-1
algorithm,solution,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,communication,1,1
grade,performance,-1,-1
grade,evaluation,-1,-1
grade,achievement,-1,-1
physics,science,-1,-1
physics,law,-1,-1
physics,nature,-1,-1
ai,technology,-1,-1
ai,future,-1,-1
ai,innovation,-1,1
datum,information,-1,-1
datum,analysis,-1,-1
datum,insight,-1,-1
failure,mistake,-1,-1
failure,learn,-1,-1
failure,disappointment,-1,-1
llm,model,-1,-1
llm,language,-1,-1
llm,learn,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,-1
homework,study,-1,-1
homework,effort,-1,-1
homework,learn,-1,-1
experiment,science,-1,-1
experiment,discovery,-1,1
experiment,analysis,-1,-1
equation,math,-1,-1
equation,solution,-1,-1
equation,problem,-1,-1
success,achievement,1,1
success,goal,1,1
success,happiness,1,1
chemistry,experiment,-1,-1
chemistry,laboratory,-1,-1
chemistry,formula,-1,-1
logic,reasoning,-1,-1
logic,mathematic,-1,-1
logic,proof,-1,-1
problem - solve,creativity,1,1
problem - solve,strategy,1,1
problem - solve,solution,1,1
chatgpt,technology,-1,-1
chatgpt,assistant,-1,-1
chatgpt,learn,-1,-1
teacher,education,1,1
teacher,knowledge,1,1
teacher,guidance,1,1
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,1
music,harmony,1,1
music,rhythm,1,1
music,melody,1,1
blackboard,classroom,-1,-1
blackboard,teacher,-1,-1
blackboard,lesson,-1,-1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
history,past,-1,-1
history,event,-1,-1
history,culture,-1,-1
biology,life,-1,-1
biology,cell,-1,-1
biology,evolution,-1,-1
classroom,student,-1,-1
classroom,teacher,-1,-1
classroom,learn,-1,-1
model,representation,-1,-1
model,simulation,-1,-1
model,theory,-1,-1
lecture,teacher,-1,-1
lecture,student,-1,-1
lecture,knowledge,-1,-1
variable,mathematic,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
scientist,research,-1,-1
scientist,discovery,-1,-1
scientist,experiment,-1,-1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,problem - solve,-1,-1
science,research,-1,-1
science,discovery,-1,-1
science,experiment,-1,-1
class,student,-1,-1
class,teacher,-1,-1
class,learn,-1,-1
proof,mathematic,-1,-1
proof,logic,-1,-1
proof,evidence,-1,-1
stem,science,-1,-1
stem,technology,-1,-1
stem,engineering,-1,-1
literature,book,-1,-1
literature,read,-1,-1
literature,story,-1,-1
philosophy,think,-1,-1
philosophy,ethic,-1,-1
philosophy,knowledge,-1,-1
theorem,mathematic,-1,-1
theorem,proof,-1,-1
theorem,logic,-1,-1
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,-1
