cue_word,association_word,cue_valence,associated_valence
experiment,discovery,0,0
experiment,risk,0,-1
experiment,curiosity,0,0
theorem,proof,0,0
theorem,structure,0,0
theorem,rule,0,-1
llm,intelligence,0,0
llm,automation,0,-1
llm,datum,0,0
logic,reasoning,0,0
logic,consistency,0,0
logic,order,0,0
informatic,cod,0,0
informatic,system,0,0
informatic,network,0,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,formula,0,0
music,rhythm,0,0
music,emotion,0,0
music,note,0,0
physics,gravity,0,0
physics,energy,0,0
physics,motion,0,0
professor,knowledge,0,0
professor,mentor,0,0
professor,guide,0,0
classroom,learn,0,0
classroom,order,0,0
classroom,quiet,0,-1
study,focus,0,0
study,effort,0,0
study,work,0,0
problem - solve,strategy,0,0
problem - solve,clarity,0,0
problem - solve,solution,0,0
society,change,0,0
society,division,0,-1
society,community,0,0
failure,lesson,-1,0
failure,setback,-1,-1
failure,pain,-1,-1
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
variable,change,0,0
variable,factor,0,0
variable,value,0,0
future,growth,0,0
future,possibility,0,0
future,uncertainty,0,-1
student,learn,0,0
student,curiosity,0,0
student,responsibility,0,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,freedom,0,0
career,stability,0,0
career,growth,0,0
career,progress,0,0
teacher,support,0,0
teacher,instruction,0,0
teacher,patience,0,0
success,achievement,0,0
success,pride,0,0
success,goal,0,0
literature,story,0,0
literature,emotion,0,0
literature,language,0,0
science,truth,0,0
science,method,0,0
science,question,0,0
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,power,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
teamwork,challenge,0,-1
mathematic,logic,-1,0
mathematic,pattern,-1,0
mathematic,problem,-1,-1
scientist,experiment,0,0
scientist,discovery,0,0
scientist,observation,0,0
anxiety,fear,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
chatgpt,helpful,0,0
chatgpt,useful,0,0
chatgpt,quick,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
datum,information,0,0
datum,analysis,0,0
datum,fact,0,0
work,salary,-1,0
work,schedule,-1,-1
work,efficiency,-1,0
homework,deadline,-1,-1
homework,study,-1,-1
homework,stress,-1,-1
class,lecture,-1,-1
class,teacher,-1,0
class,discussion,-1,-1
algorithm,step,0,0
algorithm,process,0,0
algorithm,system,0,0
proof,validity,0,0
proof,logic,0,0
proof,conclusion,0,0
equation,solution,0,0
equation,balance,0,0
equation,formula,0,0
ai,smart,0,0
ai,learn,0,0
ai,automation,0,0
job,income,0,0
job,responsibility,0,0
job,growth,0,0
number,count,0,-1
number,pattern,0,0
number,precision,0,0
stem,science,0,0
stem,technology,0,0
stem,innovation,0,0
blackboard,write,0,0
blackboard,teacher,0,0
blackboard,chalk,0,-1
grade,score,-1,0
grade,achievement,-1,0
grade,effort,-1,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,evaluation,-1,-1
computation,calculation,0,0
computation,speed,0,0
computation,accuracy,0,0
model,representation,0,0
model,prediction,0,0
model,structure,0,0
lecture,presentation,-1,0
lecture,information,-1,0
lecture,topic,-1,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,truth,0,0
history,event,0,0
history,context,0,0
history,lesson,0,0
