cue_word,association_word,cue_valence,associated_valence
career,job,0,0
career,work,0,-1
career,retirement,0,1
scientist,research,0,0
scientist,discovery,0,1
scientist,intellect,0,0
grade,school,-1,-1
grade,evaluation,-1,-1
grade,achievement,-1,0
datum,information,-1,0
datum,analysis,-1,-1
datum,statistic,-1,-1
student,learn,0,1
student,education,0,1
student,youth,0,0
philosophy,think,1,1
philosophy,wisdom,1,1
philosophy,art,1,1
proof,evidence,0,0
proof,demonstration,0,0
proof,logic,0,0
biology,life,0,1
biology,nature,0,1
biology,science,0,0
informatic,computer,-1,-1
informatic,datum,-1,-1
informatic,technology,-1,-1
future,hope,0,1
future,progress,0,1
future,uncertainty,0,-1
teacher,education,1,1
teacher,mentor,1,1
teacher,guidance,1,1
number,math,-1,-1
number,count,-1,-1
number,datum,-1,-1
classroom,learn,0,1
classroom,student,0,0
classroom,teach,0,1
experiment,science,0,0
experiment,discovery,0,1
experiment,research,0,0
job,work,0,-1
job,career,0,0
job,employment,0,-1
work,job,-1,0
work,effort,-1,0
work,productivity,-1,0
blackboard,classroom,0,0
blackboard,teach,0,1
blackboard,learn,0,1
problem - solve,logic,0,0
problem - solve,think,0,1
problem - solve,challenge,0,0
society,community,0,1
society,people,0,1
society,culture,0,1
music,harmony,1,1
music,classical,1,1
music,enjoyment,1,1
ai,technology,-1,-1
ai,future,-1,0
ai,innovation,-1,0
lecture,teach,0,1
lecture,learn,0,1
lecture,education,0,1
chatgpt,ai,-1,-1
chatgpt,technology,-1,-1
chatgpt,assistant,-1,0
science,research,0,0
science,discovery,0,1
science,knowledge,0,1
llm,ai,-1,-1
llm,technology,-1,-1
llm,learn,-1,1
art,creativity,1,1
art,beauty,1,1
art,expression,1,1
mathematic,logic,-1,-1
mathematic,number,-1,-1
mathematic,problem,-1,-1
chemistry,experiment,-1,0
chemistry,reaction,-1,-1
chemistry,element,-1,-1
teamwork,collaboration,1,1
teamwork,support,1,1
teamwork,communication,1,1
exam,stress,-1,-1
exam,preparation,-1,0
exam,grade,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
failure,resilience,-1,0
logic,reasoning,-1,0
logic,mathematic,-1,-1
logic,puzzle,-1,-1
theorem,proof,-1,-1
theorem,mathematic,-1,-1
theorem,complexity,-1,-1
computation,calculation,-1,-1
computation,programming,-1,-1
computation,algorithm,-1,-1
variable,mathematic,-1,-1
variable,unknown,-1,-1
variable,flexibility,-1,0
stem,science,-1,0
stem,technology,-1,0
stem,education,-1,1
equation,mathematic,-1,-1
equation,solution,-1,0
equation,variable,-1,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervousness,-1,-1
success,achievement,1,1
success,happiness,1,1
success,pride,1,1
professor,teacher,0,1
professor,knowledge,0,1
professor,respect,0,1
creativity,art,1,1
creativity,innovation,1,1
creativity,expression,1,1
class,student,0,0
class,learn,0,1
class,teacher,0,1
history,past,-1,-1
history,event,-1,-1
history,learn,-1,0
homework,study,-1,0
homework,assignment,-1,-1
homework,learn,-1,0
study,learn,0,1
study,book,0,0
study,focus,0,0
literature,book,1,1
literature,read,1,1
literature,story,1,1
algorithm,computation,-1,-1
algorithm,step,-1,-1
algorithm,problem - solve,-1,0
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
physics,science,-1,0
physics,law,-1,-1
physics,experiment,-1,0
model,representation,-1,-1
model,science,-1,0
model,simulation,-1,-1
