cue_word,association_word,cue_valence,associated_valence
anxiety,stress,0,-1
anxiety,fear,0,-1
anxiety,tension,0,-1
number,math,0,0
number,calculation,0,0
number,precision,0,0
literature,story,0,0
literature,narrative,0,0
literature,emotion,0,0
chatgpt,tool,0,-1
chatgpt,helpful,0,0
chatgpt,efficient,0,0
exam,pressure,-1,-1
exam,performance,-1,-1
exam,test,-1,-1
algorithm,logic,0,0
algorithm,pattern,0,0
algorithm,system,0,-1
failure,loss,-1,-1
failure,setback,-1,-1
failure,regret,-1,0
llm,powerful,0,0
llm,complex,0,-1
llm,intelligent,0,0
informatic,datum,0,0
informatic,code,0,0
informatic,system,0,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,understand,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,0
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,0
professor,knowledge,0,0
professor,authority,0,-1
professor,teach,0,0
future,possibility,0,0
future,change,0,-1
future,hope,0,0
homework,task,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
study,focus,0,0
study,concentration,0,0
study,effort,0,0
job,income,-1,0
job,work,-1,-1
job,career,-1,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,originality,0,0
proof,validity,0,0
proof,certainty,0,0
proof,logic,0,0
datum,information,0,0
datum,analysis,0,0
datum,collection,0,-1
success,achievement,0,0
success,reward,0,0
success,desire,0,0
lecture,presentation,-1,0
lecture,learn,-1,0
lecture,class,-1,0
experiment,testing,0,0
experiment,result,0,-1
experiment,process,0,0
stem,science,0,0
stem,engineering,0,0
stem,technology,0,0
art,expression,0,0
art,beauty,0,0
art,emotion,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,-1
chemistry,molecule,0,0
chemistry,reaction,0,-1
chemistry,lab,0,0
student,study,0,0
student,book,0,0
student,exam,0,-1
history,past,-1,0
history,event,-1,-1
history,timeline,-1,0
society,people,0,0
society,culture,0,0
society,change,0,-1
physics,force,0,0
physics,motion,0,0
physics,gravity,0,-1
computation,code,0,0
computation,datum,0,0
computation,algorithm,0,-1
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,strategy,0,0
mathematic,number,0,0
mathematic,proof,0,0
mathematic,geometry,0,0
class,room,-1,-1
class,schedule,-1,0
class,subject,-1,0
work,job,0,0
work,effort,0,-1
work,pay,0,-1
knowledge,learn,0,0
knowledge,fact,0,0
knowledge,understand,0,0
science,experiment,0,0
science,discovery,0,0
science,datum,0,0
teacher,instruction,0,0
teacher,guidance,0,0
teacher,help,0,0
teamwork,collaboration,0,0
teamwork,share,0,-1
teamwork,success,0,0
classroom,student,0,0
classroom,teacher,0,0
classroom,discussion,0,-1
equation,solution,0,0
equation,formula,0,0
equation,balance,0,-1
variable,change,0,0
variable,input,0,-1
variable,output,0,0
grade,score,-1,-1
grade,mark,-1,-1
grade,level,-1,0
logic,reasoning,0,0
logic,structure,0,0
logic,consistency,0,0
music,note,0,0
music,melody,0,0
music,harmony,0,0
ai,machine,-1,0
ai,learn,-1,0
ai,intelligence,-1,0
scientist,research,0,0
scientist,discovery,0,0
scientist,experiment,0,0
career,job,0,0
career,growth,0,0
career,path,0,-1
model,representation,0,0
model,prediction,0,0
model,structure,0,0
