cue_word,association_word,cue_valence,associated_valence
lecture,boredom,0,-1
lecture,learn,0,0
model,fashion,0,0
model,math,0,0
ai,future,0,0
ai,technology,0,0
professor,wise,0,0
professor,strict,0,-1
society,community,0,0
society,change,0,0
science,physics,0,0
science,experiment,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
music,melody,1,1
music,relaxation,1,1
art,paint,1,1
art,creativity,1,1
classroom,student,0,0
classroom,learn,0,0
stem,physics,0,0
stem,math,0,0
knowledge,learn,1,0
knowledge,wisdom,1,1
chemistry,experiment,-1,0
chemistry,difficult,-1,-1
future,hope,0,0
future,uncertainty,0,-1
scientist,research,0,0
scientist,discovery,0,1
datum,information,0,0
datum,analysis,0,0
study,learn,0,0
study,effort,0,0
work,job,0,0
work,effort,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
informatic,computer,0,0
informatic,datum,0,0
llm,ai,0,0
llm,language,0,0
student,learn,0,0
student,young,0,0
philosophy,think,1,1
philosophy,wisdom,1,1
history,past,0,0
history,learn,0,0
homework,study,-1,0
homework,effort,-1,0
problem - solve,logic,0,0
problem - solve,algorithm,0,0
problem - solve,success,0,1
creativity,art,1,1
creativity,innovation,1,0
creativity,freedom,1,1
experiment,science,0,0
experiment,discovery,0,1
experiment,risk,0,0
algorithm,code,0,0
algorithm,mathematic,0,0
algorithm,efficiency,0,0
teacher,learn,0,1
teacher,guidance,0,0
teacher,knowledge,0,1
physics,law,0,0
physics,energy,0,0
physics,einstein,0,0
grade,school,0,0
grade,performance,0,0
grade,stress,0,-1
teamwork,collaboration,0,0
teamwork,support,0,1
teamwork,communication,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
job,work,0,0
job,career,0,0
job,income,0,1
variable,mathematic,0,0
variable,change,0,0
variable,unknown,0,-1
success,achievement,1,1
success,happiness,1,1
success,goal,1,0
computation,calculation,0,0
computation,mathematic,0,0
computation,algorithm,0,0
proof,theorem,0,0
proof,mathematic,0,0
proof,logic,0,0
class,school,0,0
class,teacher,0,0
class,learn,0,1
equation,mathematic,0,0
equation,solution,0,0
equation,number,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,problem - solve,0,0
failure,mistake,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
blackboard,class,0,0
blackboard,teacher,0,0
blackboard,note,0,0
logic,reasoning,0,0
logic,mathematic,0,0
logic,problem - solve,0,0
number,mathematic,0,0
number,count,0,0
number,datum,0,0
literature,book,1,1
literature,read,1,1
literature,story,1,1
career,job,0,0
career,success,0,1
career,growth,0,0
biology,science,0,0
biology,life,0,1
biology,cell,0,0
