cue_word,association_word,cue_valence,associated_valence
datum,truth,0,0
datum,analysis,0,0
datum,precision,0,-1
classroom,learn,-1,0
classroom,rule,-1,-1
classroom,structure,-1,0
professor,knowledge,0,0
professor,authority,0,-1
professor,wisdom,0,0
experiment,discovery,0,0
experiment,risk,0,-1
experiment,result,0,-1
algorithm,order,0,0
algorithm,efficiency,0,0
algorithm,logic,0,0
mathematic,proof,0,0
mathematic,pattern,0,0
mathematic,abstraction,0,-1
model,representation,0,0
model,prediction,0,0
model,simplification,0,-1
blackboard,write,-1,0
blackboard,chalk,-1,-1
blackboard,idea,-1,0
science,curiosity,0,0
science,discovery,0,0
science,question,0,0
informatic,technology,0,0
informatic,code,0,-1
informatic,system,0,-1
homework,effort,-1,0
homework,practice,-1,0
homework,stress,-1,-1
scientist,research,0,0
scientist,curiosity,0,0
scientist,innovation,0,0
creativity,imagination,0,0
creativity,originality,0,0
creativity,design,0,-1
student,learn,0,0
student,growth,0,0
student,responsibility,0,-1
llm,power,0,0
llm,access,0,0
llm,tool,0,-1
future,possibility,0,0
future,change,0,-1
future,progress,0,0
anxiety,fear,-1,-1
anxiety,uncertainty,-1,-1
anxiety,pressure,-1,-1
problem - solve,strategy,0,0
problem - solve,think,0,0
problem - solve,solution,0,0
theorem,proof,0,0
theorem,truth,0,0
theorem,logic,0,0
logic,reasoning,0,0
logic,consistency,0,0
logic,structure,0,-1
teacher,guidance,0,0
teacher,support,0,0
teacher,instruction,0,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,molecule,0,-1
knowledge,understand,0,0
knowledge,wisdom,0,0
knowledge,learn,0,0
failure,lesson,-1,-1
failure,setback,-1,-1
failure,error,-1,-1
society,change,0,0
society,structure,0,-1
society,influence,0,0
history,memory,0,0
history,fact,0,-1
history,past,0,0
equation,math,0,0
equation,solution,0,0
equation,logic,0,0
physics,science,0,0
physics,force,0,-1
physics,law,0,0
job,money,0,0
job,work,0,0
job,responsibility,0,-1
computation,datum,0,0
computation,speed,0,0
computation,accuracy,0,0
study,effort,0,0
study,focus,0,0
study,learn,0,0
grade,score,-1,0
grade,performance,-1,0
grade,result,-1,-1
literature,story,0,0
literature,book,0,0
literature,emotion,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
work,effort,0,0
work,time,0,-1
work,output,0,0
career,future,0,0
career,goal,0,0
career,path,0,0
exam,stress,-1,-1
exam,pressure,-1,-1
exam,test,-1,0
variable,change,0,0
variable,input,0,0
variable,output,0,0
teamwork,collaboration,0,0
teamwork,trust,0,0
teamwork,share,0,0
stem,science,0,0
stem,engineering,0,0
stem,technology,0,0
music,emotion,0,0
music,rhythm,0,0
music,melody,0,0
lecture,class,-1,0
lecture,information,-1,0
lecture,presentation,-1,0
philosophy,think,0,0
philosophy,question,0,0
philosophy,mean,0,0
number,math,0,0
number,datum,0,0
number,pattern,0,0
chatgpt,help,0,0
chatgpt,tool,0,0
chatgpt,ai,0,-1
success,achievement,0,0
success,goal,0,0
success,result,0,0
ai,technology,0,0
ai,smart,0,0
ai,future,0,0
class,learn,-1,0
class,schedule,-1,0
class,room,-1,-1
proof,logic,0,0
proof,evidence,0,0
proof,validity,0,0
biology,life,0,0
biology,cell,0,-1
biology,growth,0,0
