cue_word,association_word,cue_valence,associated_valence
number,calculus,0,0
number,logic,0,0
number,datum,0,0
algorithm,optimization,0,0
algorithm,cod,0,0
algorithm,pattern,0,0
equation,solution,0,0
equation,formula,0,0
equation,balance,0,0
biology,life,0,1
biology,cell,0,0
biology,dna,0,0
job,work,0,0
job,career,0,0
job,income,0,-1
history,past,-1,0
history,learn,-1,0
history,chronicles,-1,-1
future,progress,1,1
future,innovation,1,1
future,vision,1,0
exam,stress,-1,-1
exam,performance,-1,0
exam,challenge,-1,0
creativity,imagination,1,1
creativity,expression,1,1
creativity,innovation,1,1
teacher,mentor,0,0
teacher,guide,0,0
teacher,knowledge,0,1
proof,evidence,0,0
proof,certainty,0,0
proof,logic,0,0
chemistry,reaction,0,0
chemistry,compound,0,0
chemistry,element,0,0
science,experiment,1,1
science,theory,1,0
science,discovery,1,1
theorem,math,0,0
theorem,logic,0,0
theorem,principle,0,0
scientist,researcher,1,1
scientist,expert,1,0
scientist,innovator,1,1
computation,software,0,0
computation,process,0,0
computation,analysis,0,0
variable,symbol,0,0
variable,value,0,0
variable,change,0,0
student,learner,0,0
student,curiosity,0,0
student,potential,0,0
mathematic,logic,0,0
mathematic,number,0,0
mathematic,analysis,0,0
literature,story,1,1
literature,imagination,1,1
literature,culture,1,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,existence,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
problem - solve,strategy,0,0
classroom,education,0,0
classroom,learn,0,0
classroom,discipline,0,-1
career,job,0,0
career,growth,0,0
career,ambition,0,0
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
ai,innovation,0,0
ai,future,0,1
ai,technology,0,0
model,framework,0,0
model,structure,0,0
model,representation,0,0
study,research,0,0
study,learn,0,1
study,investigation,0,0
logic,reasoning,0,0
logic,deduction,0,0
logic,analysis,0,0
stem,science,1,1
stem,technology,1,1
stem,engineering,1,1
homework,assignment,0,0
homework,practice,0,0
homework,routine,0,0
society,community,0,0
society,culture,0,0
society,interaction,0,0
professor,teacher,0,0
professor,lecturer,0,0
professor,mentor,0,0
experiment,trial,0,0
experiment,research,0,0
experiment,testing,0,0
class,group,0,0
class,session,0,0
class,learn,0,1
informatic,compute,0,0
informatic,datum,0,0
informatic,information,0,0
knowledge,learn,1,1
knowledge,insight,1,0
knowledge,wisdom,1,1
art,creativity,1,1
art,expression,1,1
art,design,1,0
datum,information,0,0
datum,analytic,0,0
datum,statistic,0,0
work,job,0,0
work,effort,0,0
work,commitment,0,0
grade,score,0,0
grade,rank,0,0
grade,evaluation,0,0
failure,mistake,-1,-1
failure,setback,-1,-1
failure,challenge,-1,0
lecture,presentation,0,0
lecture,talk,0,0
lecture,instruction,0,0
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
anxiety,worry,-1,-1
physics,science,0,1
physics,experiment,0,0
physics,formula,0,0
blackboard,chalk,0,-1
blackboard,teach,0,0
blackboard,classroom,0,0
teamwork,collaboration,1,1
teamwork,cooperation,1,1
teamwork,synergy,1,0
chatgpt,assistant,0,0
chatgpt,conversational,0,0
chatgpt,innovation,0,0
llm,language,0,0
llm,model,0,0
llm,machine,0,0
success,achievement,1,1
success,goal,1,0
success,victory,1,1
