cue_word,association_word,cue_valence,associated_valence
model,intelligence,0,0
model,creation,0,0
model,system,0,-1
society,growth,0,0
society,change,0,0
society,inclusion,0,-1
success,achievement,0,0
success,effort,0,0
success,goal,0,0
job,income,0,0
job,routine,0,-1
job,demand,0,0
stem,innovation,0,0
stem,problem,0,0
stem,analysis,0,0
art,emotion,0,0
art,expression,0,0
art,beauty,0,0
computation,algorithm,0,0
computation,datum,0,0
computation,logic,0,0
class,instruction,0,0
class,learn,0,0
class,structure,0,-1
work,output,0,0
work,effort,0,0
work,purpose,0,0
number,pattern,0,0
number,measurement,0,0
number,quantify,0,0
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,goal,0,0
philosophy,question,0,0
philosophy,reason,0,0
philosophy,truth,0,0
literature,story,0,0
literature,emotion,0,0
literature,narrative,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,mentor,0,0
science,experiment,0,0
science,discovery,0,0
science,method,0,0
equation,solution,0,0
equation,balance,0,0
equation,logic,0,0
scientist,curiosity,0,0
scientist,research,0,0
scientist,analysis,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
chemistry,compound,0,0
homework,practice,-1,0
homework,focus,-1,0
homework,task,-1,-1
physics,motion,0,0
physics,force,0,0
physics,law,0,0
llm,language,0,0
llm,pattern,0,0
llm,learn,0,0
ai,intelligence,0,0
ai,automation,0,0
ai,system,0,0
future,progress,0,0
future,opportunity,0,0
future,uncertainty,0,-1
blackboard,write,0,0
blackboard,instruction,0,0
blackboard,knowledge,0,0
informatic,datum,0,0
informatic,system,0,0
informatic,structure,0,0
mathematic,logic,0,0
mathematic,proof,0,0
mathematic,problem - solve,0,0
career,study,-1,0
career,grade,-1,-1
career,professor,-1,0
chatgpt,algorithm,0,0
chatgpt,datum,0,0
chatgpt,creativity,0,0
biology,experiment,0,0
biology,knowledge,0,0
biology,classroom,0,-1
study,grade,0,0
study,classroom,0,0
study,lecture,0,-1
variable,datum,0,0
variable,logic,0,0
variable,algorithm,0,0
anxiety,exam,-1,-1
anxiety,failure,-1,-1
anxiety,proof,-1,-1
history,lecture,-1,0
history,classroom,-1,0
history,knowledge,-1,0
student,exam,0,-1
student,grade,0,0
student,professor,0,0
proof,theorem,0,0
proof,logic,0,0
proof,mathematic,0,0
failure,anxiety,-1,-1
failure,exam,-1,-1
failure,grade,-1,-1
exam,anxiety,-1,-1
exam,failure,-1,-1
exam,grade,-1,0
creativity,music,0,0
creativity,algorithm,0,0
creativity,problem - solve,0,0
lecture,history,0,-1
lecture,classroom,0,0
lecture,knowledge,0,0
grade,study,0,0
grade,exam,0,-1
grade,professor,0,0
problem - solve,mathematic,0,0
problem - solve,algorithm,0,0
problem - solve,creativity,0,0
professor,career,0,-1
professor,student,0,0
professor,lecture,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,mathematic,0,0
knowledge,biology,0,0
knowledge,history,0,-1
knowledge,classroom,0,0
classroom,student,0,0
classroom,lecture,0,0
classroom,history,0,-1
experiment,biology,0,0
experiment,datum,0,0
experiment,problem - solve,0,0
logic,mathematic,0,0
logic,proof,0,0
logic,variable,0,0
datum,algorithm,0,0
datum,chatgpt,0,0
datum,experiment,0,0
algorithm,chatgpt,0,0
algorithm,creativity,0,0
algorithm,variable,0,0
music,creativity,0,0
music,study,0,0
music,emotion,0,0
