cue_word,association_word,cue_valence,associated_valence
computation,logic,0,0
computation,datum,0,0
computation,precision,0,0
experiment,knowledge,-1,0
experiment,anxiety,-1,0
experiment,success,-1,0
ai,datum,0,0
ai,llm,0,0
ai,future,0,0
creativity,literature,0,0
creativity,philosophy,0,0
creativity,anxiety,0,-1
future,technology,0,0
future,success,0,0
future,anxiety,0,0
class,professor,-1,0
class,homework,-1,-1
class,student,-1,0
variable,equation,0,0
variable,datum,0,0
variable,physics,0,0
physics,equation,0,0
physics,logic,0,0
physics,knowledge,0,0
blackboard,equation,0,0
blackboard,class,0,-1
blackboard,professor,0,0
success,career,0,0
success,work,0,0
success,anxiety,0,-1
career,work,0,0
career,llm,0,0
career,anxiety,0,0
llm,ai,0,0
llm,datum,0,0
llm,creativity,0,0
anxiety,exam,-1,-1
anxiety,work,-1,0
anxiety,future,-1,0
stem,physics,0,0
stem,datum,0,0
stem,experiment,0,-1
datum,ai,0,0
datum,computation,0,0
datum,equation,0,0
equation,physics,0,0
equation,logic,0,0
equation,variable,0,0
knowledge,student,0,0
knowledge,class,0,-1
knowledge,success,0,0
student,homework,0,-1
student,exam,0,-1
student,class,0,-1
society,future,0,0
society,technology,0,0
society,anxiety,0,0
homework,class,-1,-1
homework,student,-1,0
homework,work,-1,-1
work,career,0,0
work,success,0,0
work,anxiety,0,0
professor,class,0,-1
professor,student,0,0
professor,knowledge,0,0
literature,creativity,0,0
literature,philosophy,0,0
literature,read,0,0
logic,computation,0,0
logic,equation,0,0
logic,physics,0,0
exam,anxiety,-1,0
exam,homework,-1,-1
exam,success,-1,0
informatic,datum,0,0
informatic,cod,0,0
informatic,digital,0,-1
teamwork,cooperation,0,0
teamwork,collaboration,0,0
teamwork,support,0,-1
failure,error,-1,-1
failure,loss,-1,-1
failure,setback,-1,-1
mathematic,logic,0,0
mathematic,equation,0,0
mathematic,pattern,0,0
science,experiment,0,0
science,discovery,0,0
science,datum,0,0
model,representation,0,0
model,simulation,0,-1
model,structure,0,0
proof,validity,0,0
proof,deduction,0,0
proof,truth,0,0
music,melody,0,0
music,harmony,0,0
music,emotion,0,0
philosophy,reason,0,0
philosophy,question,0,0
philosophy,think,0,0
algorithm,step,0,0
algorithm,process,0,0
algorithm,sequence,0,0
grade,evaluation,-1,-1
grade,score,-1,-1
grade,performance,-1,-1
chatgpt,help,0,0
chatgpt,access,0,0
chatgpt,response,0,0
job,work,0,0
job,income,0,0
job,responsibility,0,0
art,expression,0,0
art,beauty,0,0
art,creativity,0,0
biology,life,0,0
biology,process,0,0
biology,evolution,0,0
classroom,learn,-1,0
classroom,discipline,-1,-1
classroom,routine,-1,-1
lecture,presentation,-1,0
lecture,information,-1,0
lecture,attention,-1,-1
chemistry,reaction,-1,0
chemistry,element,-1,-1
chemistry,lab,-1,0
theorem,truth,0,0
theorem,proof,0,0
theorem,conclusion,0,0
scientist,research,0,0
scientist,curiosity,0,0
scientist,analysis,0,0
teacher,instruction,0,0
teacher,guidance,0,0
teacher,knowledge,0,0
study,effort,0,0
study,focus,0,0
study,understand,0,0
problem - solve,solution,0,0
problem - solve,think,0,0
problem - solve,clarity,0,0
history,event,0,0
history,context,0,0
history,memory,0,0
number,count,0,0
number,pattern,0,0
number,order,0,0
