cue_word,association_word,cue_valence,associated_valence
homework,study,-1,0
homework,stress,-1,-1
homework,time,-1,-1
model,design,0,0
model,creativity,0,1
classroom,learn,0,0
classroom,teacher,0,1
classroom,student,0,0
job,work,0,0
job,money,0,1
job,career,0,1
exam,test,-1,-1
exam,stress,-1,-1
exam,study,-1,0
society,community,0,0
society,people,0,1
society,culture,0,0
failure,loss,-1,-1
failure,disappointment,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,imagination,1,1
work,job,0,0
work,effort,0,0
work,productivity,0,0
teacher,education,1,1
teacher,knowledge,1,1
teacher,guidance,1,1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
lecture,learn,0,0
lecture,teacher,0,1
lecture,note,0,0
problem - solve,logic,0,0
problem - solve,creativity,0,1
problem - solve,challenge,0,0
computation,math,-1,-1
computation,datum,-1,0
computation,algorithm,-1,-1
variable,math,-1,-1
variable,change,-1,-1
variable,unknown,-1,-1
science,experiment,1,1
science,discovery,1,1
science,research,1,1
biology,life,0,1
biology,cell,0,0
biology,ecosystem,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
equation,math,-1,-1
equation,solution,-1,0
equation,problem,-1,-1
ai,technology,0,0
ai,future,0,0
ai,robot,0,-1
chemistry,reaction,0,0
chemistry,element,0,0
chemistry,lab,0,0
study,learn,0,0
study,book,0,0
study,exam,0,-1
literature,book,-1,0
literature,poetry,-1,-1
literature,fiction,-1,-1
stem,science,0,1
stem,technology,0,0
stem,engineering,0,0
career,job,1,0
career,success,1,1
career,growth,1,1
grade,exam,-1,-1
grade,teacher,-1,0
grade,stress,-1,-1
success,achievement,1,1
success,happy,1,1
success,money,1,0
scientist,research,0,0
scientist,lab,0,-1
scientist,discovery,0,1
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,support,1,1
informatic,computer,-1,-1
informatic,datum,-1,-1
informatic,cod,-1,-1
professor,teacher,0,0
professor,lecture,0,-1
professor,knowledge,0,1
class,student,0,0
class,learn,0,1
class,subject,0,0
knowledge,learn,1,1
knowledge,wisdom,1,1
knowledge,education,1,1
proof,evidence,-1,0
proof,mathematic,-1,-1
proof,logic,-1,-1
student,learn,0,1
student,school,0,0
student,youth,0,0
llm,law,-1,-1
llm,degree,-1,0
llm,study,-1,0
blackboard,class,-1,0
blackboard,teacher,-1,0
blackboard,write,-1,-1
music,melody,1,1
music,rhythm,1,1
music,harmony,1,1
mathematic,number,-1,-1
mathematic,logic,-1,-1
mathematic,problem,-1,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
logic,reasoning,-1,0
logic,mathematic,-1,-1
logic,argument,-1,-1
art,creativity,1,1
art,paint,1,1
art,beauty,1,1
algorithm,cod,-1,-1
algorithm,mathematic,-1,-1
algorithm,solution,-1,0
experiment,science,0,0
experiment,research,0,0
experiment,discovery,0,1
number,mathematic,-1,-1
number,count,-1,-1
number,datum,-1,-1
history,past,1,0
history,event,1,0
history,learn,1,1
physics,science,-1,0
physics,mathematic,-1,-1
physics,law,-1,-1
philosophy,think,0,0
philosophy,question,0,0
philosophy,wisdom,0,1
theorem,mathematic,-1,-1
theorem,proof,-1,-1
theorem,logic,-1,-1
future,hope,1,1
future,time,1,0
future,technology,1,0
