cue_word,association_word,cue_valence,associated_valence
science,discovery,0,0
science,innovation,0,0
blackboard,classroom,-1,0
blackboard,chalk,-1,-1
chemistry,lab,0,0
chemistry,reaction,0,0
music,melody,0,0
music,rhythm,0,0
study,focus,0,0
study,learn,0,0
failure,loss,-1,-1
failure,mistake,-1,-1
society,community,0,0
society,culture,0,0
creativity,art,0,0
creativity,imagination,0,0
problem - solve,logic,0,0
problem - solve,solution,0,0
philosophy,think,0,0
philosophy,wisdom,0,0
proof,evidence,0,0
proof,demonstration,0,0
literature,novel,0,0
literature,poetry,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
ai,technology,0,0
ai,future,0,0
success,achievement,0,0
success,victory,0,0
homework,assignment,-1,-1
homework,study,-1,0
variable,change,-1,-1
variable,unknown,-1,-1
exam,test,-1,-1
exam,stress,-1,-1
algorithm,code,0,0
algorithm,solution,0,0
llm,model,0,0
llm,learn,0,0
model,simulation,0,0
model,prediction,0,0
physics,energy,0,0
physics,motion,0,0
logic,reasoning,0,0
logic,argument,0,0
mathematic,number,0,0
mathematic,equation,0,0
history,past,0,0
history,event,0,0
lecture,learn,-1,0
lecture,note,-1,-1
lecture,boredom,-1,-1
teacher,guidance,0,0
teacher,knowledge,0,0
teacher,respect,0,0
number,math,0,0
number,calculation,0,-1
number,logic,0,0
professor,expert,0,0
professor,lecture,0,-1
professor,respect,0,0
scientist,research,0,0
scientist,discovery,0,0
scientist,curiosity,0,0
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
experiment,science,0,0
experiment,discovery,0,0
experiment,lab,0,0
theorem,math,0,0
theorem,proof,0,0
theorem,logic,0,0
classroom,learn,-1,0
classroom,student,-1,0
classroom,teacher,-1,0
job,work,-1,-1
job,career,-1,0
job,income,-1,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
career,job,0,-1
career,growth,0,0
career,success,0,0
work,job,-1,-1
work,effort,-1,-1
work,productivity,-1,0
teamwork,collaboration,0,0
teamwork,cooperation,0,0
teamwork,support,0,0
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
future,hope,0,0
future,potential,0,0
future,uncertainty,0,-1
grade,performance,-1,0
grade,evaluation,-1,-1
grade,stress,-1,-1
knowledge,learn,0,0
knowledge,education,0,0
knowledge,wisdom,0,0
computation,calculation,-1,-1
computation,math,-1,0
computation,algorithm,-1,-1
informatic,datum,-1,0
informatic,technology,-1,0
informatic,information,-1,0
class,student,-1,0
class,teacher,-1,0
class,learn,-1,0
student,learn,0,0
student,education,0,0
student,youth,0,0
equation,math,-1,0
equation,solution,-1,0
equation,problem,-1,-1
biology,science,0,0
biology,life,0,0
biology,cell,0,0
