cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,0
informatic,analysis,0,0
informatic,system,0,-1
music,harmony,1,1
music,rhythm,1,0
music,expression,1,1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
llm,ai,0,0
llm,language,0,0
llm,model,0,0
theorem,proof,0,0
theorem,logic,0,0
theorem,truth,0,1
grade,score,-1,-1
grade,evaluation,-1,-1
grade,performance,-1,0
success,achievement,1,1
success,victory,1,1
success,accomplishment,1,1
blackboard,teach,-1,0
blackboard,chalk,-1,-1
blackboard,classroom,-1,-1
physics,law,0,-1
physics,universe,0,1
physics,motion,0,0
exam,test,-1,-1
exam,pressure,-1,-1
exam,assessment,-1,-1
model,representation,0,0
model,simulation,0,0
model,abstraction,0,0
datum,information,0,0
datum,number,0,-1
datum,evidence,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,setback,-1,-1
career,profession,0,0
career,growth,0,1
career,path,0,0
history,past,0,-1
history,event,0,-1
history,story,0,0
class,learn,0,1
class,student,0,0
class,education,0,1
chemistry,element,0,0
chemistry,reaction,0,0
chemistry,molecule,0,0
proof,evidence,0,0
proof,verification,0,0
proof,certainty,0,0
science,knowledge,1,1
science,discovery,1,1
science,method,1,0
creativity,innovation,1,1
creativity,imagination,1,1
creativity,originality,1,1
mathematic,number,1,0
mathematic,logic,1,1
mathematic,pattern,1,0
experiment,test,0,-1
experiment,trial,0,-1
experiment,investigation,0,0
variable,change,-1,-1
variable,parameter,-1,-1
variable,unknown,-1,-1
work,effort,0,0
work,task,0,-1
work,labor,0,-1
teacher,educator,1,1
teacher,mentor,1,1
teacher,guide,1,1
literature,book,0,0
literature,story,0,0
literature,write,0,0
future,progress,0,1
future,uncertainty,0,-1
future,potential,0,1
classroom,learn,-1,1
classroom,structure,-1,-1
classroom,confinement,-1,-1
student,learn,0,1
student,growth,0,1
student,pressure,0,-1
knowledge,power,1,0
knowledge,wisdom,1,1
knowledge,understand,1,1
biology,life,0,1
biology,complexity,0,-1
biology,system,0,0
stem,innovation,1,1
stem,rigor,1,0
stem,progress,1,1
art,creativity,1,1
art,expression,1,1
art,beauty,1,1
scientist,discovery,1,1
scientist,curiosity,1,1
scientist,methodology,1,0
society,community,0,1
society,structure,0,-1
society,conflict,0,-1
algorithm,efficiency,0,1
algorithm,logic,0,0
algorithm,automation,0,0
logic,reason,0,1
logic,clarity,0,1
logic,rigidity,0,-1
equation,balance,0,0
equation,mathematic,0,0
equation,abstraction,0,-1
philosophy,wisdom,0,1
philosophy,question,0,0
philosophy,abstraction,0,-1
homework,practice,-1,0
homework,burden,-1,-1
homework,learn,-1,1
number,quantification,0,0
number,precision,0,1
number,abstraction,0,-1
chatgpt,assistance,0,1
chatgpt,technology,0,0
chatgpt,limitation,0,-1
problem - solve,solution,1,1
problem - solve,challenge,1,0
problem - solve,creativity,1,1
job,work,0,-1
job,purpose,0,1
job,stress,0,-1
computation,processing,0,0
computation,speed,0,1
computation,complexity,0,-1
ai,intelligence,0,1
ai,technology,0,0
ai,ethic,0,-1
professor,knowledge,0,1
professor,guidance,0,1
professor,authority,0,-1
lecture,information,-1,0
lecture,monotony,-1,-1
lecture,education,-1,1
teamwork,collaboration,0,1
teamwork,synergy,0,1
teamwork,conflict,0,-1
study,learn,0,1
study,effort,0,-1
study,discipline,0,0
