cue_word,association_word,cue_valence,associated_valence
history,past,0,0
history,war,0,-1
history,date,0,0
experiment,science,0,0
experiment,test,0,0
experiment,lab,0,0
proof,evidence,0,0
proof,math,0,0
proof,demonstration,0,0
study,learn,0,0
study,book,0,0
study,homework,0,-1
job,work,0,0
job,money,0,0
job,career,0,0
algorithm,code,-1,-1
algorithm,math,-1,0
algorithm,science,-1,0
model,math,0,0
model,science,0,0
model,representation,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
philosophy,think,-1,0
philosophy,idea,-1,0
philosophy,question,-1,0
logic,reasoning,0,0
logic,math,0,0
logic,science,0,0
homework,school,-1,-1
homework,study,-1,0
homework,assignment,-1,-1
informatic,computer,-1,0
informatic,datum,-1,0
informatic,science,-1,0
mathematic,number,0,0
mathematic,logic,0,0
mathematic,science,0,0
student,school,0,-1
student,learn,0,0
student,young,0,0
art,creative,0,0
art,paint,0,0
art,music,0,0
scientist,science,0,0
scientist,research,0,0
scientist,lab,0,0
biology,life,0,0
biology,science,0,0
biology,cell,0,0
grade,school,-1,-1
grade,mark,-1,-1
grade,performance,-1,-1
literature,book,0,0
literature,read,0,0
literature,story,0,0
professor,teacher,0,0
professor,science,0,0
professor,school,0,-1
number,math,0,0
number,count,0,0
number,logic,0,0
physics,science,-1,0
physics,math,-1,0
physics,difficult,-1,-1
knowledge,learn,0,0
knowledge,science,0,0
knowledge,wise,0,0
work,job,0,0
work,effort,0,0
work,money,0,0
blackboard,school,-1,-1
blackboard,teacher,-1,0
blackboard,write,-1,0
llm,ai,0,0
llm,learn,0,1
llm,technology,0,0
music,classical,1,1
music,relaxation,1,1
music,hobby,1,1
future,uncertain,0,-1
future,career,0,0
future,hope,0,0
variable,maths,0,0
variable,change,0,0
variable,unknown,0,-1
computation,maths,0,0
computation,datum,0,0
computation,problem - solve,0,0
problem - solve,maths,0,0
problem - solve,logic,0,0
problem - solve,challenge,0,0
society,people,0,0
society,community,0,0
society,diversity,0,0
equation,maths,0,0
equation,solution,0,0
equation,complexity,0,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
science,biology,0,1
science,discovery,0,1
science,experiment,0,0
teamwork,cooperation,0,0
teamwork,football,0,1
teamwork,success,0,1
chemistry,science,0,0
chemistry,reaction,0,0
chemistry,complex,0,-1
career,future,0,0
career,job,0,0
career,success,0,1
lecture,classroom,0,0
lecture,teacher,0,0
lecture,learn,0,0
theorem,maths,-1,0
theorem,proof,-1,0
theorem,complexity,-1,-1
success,career,1,0
success,happiness,1,1
success,achievement,1,1
creativity,art,0,0
creativity,music,0,1
creativity,innovation,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,0
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
teacher,learn,0,0
teacher,knowledge,0,0
teacher,respect,0,0
failure,exam,-1,-1
failure,disappointment,-1,-1
failure,learn,-1,0
ai,technology,0,0
ai,future,0,0
ai,learn,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,preparation,-1,0
class,student,0,0
class,learn,0,0
class,teacher,0,0
datum,information,0,0
datum,analysis,0,0
datum,computation,0,0
