cue_word,association_word,cue_valence,associated_valence
algorithm,code,0,0
algorithm,logic,0,0
algorithm,automation,0,0
proof,mathematic,0,0
proof,evidence,0,0
proof,theorem,0,0
physics,law,1,0
physics,energy,1,0
physics,einstein,1,1
number,mathematic,0,0
number,count,0,0
number,datum,0,0
student,learn,0,0
student,school,0,0
student,exam,0,-1
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,0
homework,school,-1,0
homework,study,-1,0
homework,assignment,-1,-1
creativity,art,1,1
creativity,innovation,1,1
creativity,idea,1,1
equation,mathematic,0,0
equation,variable,0,0
equation,solution,0,0
society,people,0,0
society,culture,0,0
society,community,0,0
philosophy,think,0,0
philosophy,ethic,0,0
philosophy,knowledge,0,0
mathematic,number,0,0
mathematic,algebra,0,0
mathematic,geometry,0,0
failure,mistake,-1,-1
failure,loss,-1,-1
failure,defeat,-1,-1
future,hope,0,1
future,progress,0,0
future,uncertainty,0,-1
chatgpt,ai,0,0
chatgpt,assistant,0,0
chatgpt,technology,0,0
class,school,0,0
class,student,0,0
class,teacher,0,0
blackboard,classroom,0,0
blackboard,teacher,0,0
blackboard,lesson,0,0
stem,science,0,0
stem,technology,0,0
stem,education,0,0
work,job,0,0
work,effort,0,0
work,productivity,0,0
success,achievement,1,1
success,happiness,1,1
job,work,0,0
job,career,0,0
job,salary,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,technology,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,logic,0,0
biology,life,0,0
biology,cell,0,0
biology,evolution,0,0
variable,mathematic,0,0
variable,change,0,0
variable,unknown,0,-1
history,past,0,0
history,war,0,-1
history,learn,0,0
logic,reasoning,1,1
logic,math,1,0
logic,puzzle,1,0
study,learn,0,0
study,book,0,0
study,exam,0,0
music,sound,1,0
music,rhythm,1,0
music,emotion,1,0
model,design,0,0
model,math,0,0
model,simulation,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,study,-1,0
knowledge,learn,1,0
knowledge,fact,1,0
knowledge,wisdom,1,1
scientist,research,1,0
scientist,lab,1,0
scientist,discovery,1,1
classroom,learn,0,0
classroom,teacher,0,0
classroom,student,0,0
computation,math,0,0
computation,programming,0,0
computation,datum,0,0
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,nervous,-1,-1
career,job,0,0
career,success,0,1
career,growth,0,0
grade,exam,0,0
grade,score,0,0
grade,performance,0,0
llm,machine,0,0
llm,learn,0,0
llm,ai,0,0
teacher,classroom,0,0
teacher,learn,0,0
teacher,student,0,0
chemistry,science,0,0
chemistry,element,0,0
chemistry,reaction,0,0
teamwork,collaboration,1,1
teamwork,group,1,0
teamwork,communication,1,0
ai,technology,0,0
ai,future,0,0
ai,machine,0,0
literature,book,1,0
literature,write,1,0
literature,story,1,0
art,creativity,1,1
art,paint,1,0
art,expression,1,0
science,research,1,0
science,experiment,1,0
science,discovery,1,1
professor,teacher,0,0
professor,university,0,0
professor,lecture,0,0
experiment,science,0,0
experiment,research,0,0
experiment,test,0,0
problem - solve,logic,0,1
problem - solve,challenge,0,0
problem - solve,solution,0,1
lecture,teach,0,0
lecture,learn,0,0
lecture,university,0,0
