cue_word,association_word,cue_valence,associated_valence
datum,science,0,0
datum,computation,0,0
datum,model,0,-1
work,job,-1,0
work,teamwork,-1,0
work,problem - solve,-1,0
failure,exam,-1,-1
failure,study,-1,0
failure,creativity,-1,-1
career,science,0,0
career,physics,0,0
career,teacher,0,-1
experiment,science,0,0
experiment,physics,0,0
experiment,problem - solve,0,0
history,literature,-1,0
history,class,-1,0
history,study,-1,0
number,math,0,0
number,computation,0,0
number,model,0,-1
music,creativity,0,0
music,art,0,0
music,emotion,0,0
teacher,lecture,0,0
teacher,class,0,0
teacher,science,0,0
job,work,0,-1
job,teamwork,0,0
job,study,0,0
art,creativity,0,0
art,music,0,0
art,expression,0,0
blackboard,lecture,0,0
blackboard,science,0,0
blackboard,class,0,0
exam,failure,-1,-1
exam,study,-1,0
exam,pressure,-1,-1
creativity,art,0,0
creativity,music,0,0
creativity,problem - solve,0,0
literature,history,0,-1
literature,read,0,0
literature,think,0,0
physics,science,0,0
physics,experiment,0,0
physics,model,0,-1
class,lecture,0,0
class,study,0,0
class,teacher,0,0
study,work,0,-1
study,exam,0,-1
study,problem - solve,0,0
science,datum,0,0
science,experiment,0,0
science,physics,0,0
lecture,class,0,0
lecture,teacher,0,0
lecture,knowledge,0,0
problem - solve,work,0,-1
problem - solve,science,0,0
problem - solve,creativity,0,0
teamwork,work,0,-1
teamwork,job,0,0
teamwork,class,0,0
computation,datum,0,0
computation,number,0,0
computation,model,0,-1
model,science,-1,0
model,experiment,-1,0
model,physics,-1,0
scientist,physics,0,0
scientist,experiment,0,0
scientist,creativity,0,0
knowledge,power,0,0
knowledge,clarity,0,0
knowledge,growth,0,0
informatic,code,0,0
informatic,system,0,0
informatic,future,0,0
grade,stress,-1,-1
grade,effort,-1,0
grade,result,-1,-1
equation,solution,0,0
equation,logic,0,0
equation,pattern,0,0
ai,innovation,0,0
ai,tool,0,0
ai,change,0,-1
anxiety,fear,-1,-1
anxiety,pressure,-1,-1
anxiety,doubt,-1,-1
student,study,0,0
student,time,0,-1
student,growth,0,0
classroom,teacher,-1,0
classroom,silence,-1,-1
classroom,interaction,-1,0
philosophy,truth,0,0
philosophy,question,0,0
philosophy,mind,0,0
mathematic,logic,0,0
mathematic,pattern,0,0
mathematic,proof,0,0
stem,science,0,0
stem,innovation,0,0
stem,future,0,0
variable,change,0,0
variable,input,0,-1
variable,value,0,0
proof,logic,0,0
proof,certainty,0,0
proof,truth,0,0
llm,help,0,0
llm,response,0,0
llm,tool,0,0
chemistry,molecule,-1,0
chemistry,reaction,-1,0
chemistry,lab,-1,-1
professor,expert,0,0
professor,guidance,0,0
professor,pressure,0,-1
theorem,proof,0,0
theorem,truth,0,0
theorem,structure,0,0
future,hope,0,0
future,change,0,0
future,technology,0,0
society,growth,0,0
society,conflict,0,-1
society,value,0,0
homework,stress,-1,-1
homework,practice,-1,0
homework,deadline,-1,-1
success,goal,0,0
success,effort,0,0
success,pride,0,0
algorithm,step,0,0
algorithm,order,0,0
algorithm,logic,0,0
chatgpt,help,0,0
chatgpt,speed,0,0
chatgpt,answer,0,0
biology,life,-1,0
biology,cell,-1,0
biology,process,-1,0
logic,reason,0,0
logic,structure,0,0
logic,truth,0,0
