cue_word,association_word,cue_valence,associated_valence
professor,knowledge,0,0
professor,authority,0,-1
professor,teach,0,0
anxiety,stress,-1,-1
anxiety,fear,-1,-1
anxiety,worry,-1,-1
art,creativity,0,0
art,expression,0,0
art,beauty,0,0
classroom,lecture,-1,-1
classroom,student,-1,-1
classroom,quiet,-1,0
proof,logic,0,0
proof,mathematic,0,0
proof,rigor,0,0
literature,book,0,0
literature,story,0,0
literature,read,0,0
society,community,-1,0
society,culture,-1,0
society,influence,-1,-1
grade,score,-1,-1
grade,mark,-1,-1
grade,performance,-1,-1
physics,equation,0,0
physics,experiment,0,0
physics,law,0,0
llm,technology,-1,0
llm,ai,-1,0
llm,intelligence,-1,0
creativity,imagination,0,0
creativity,innovation,0,0
creativity,art,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,cod,0,0
equation,math,0,0
equation,solution,0,0
equation,variable,0,-1
study,book,0,0
study,time,0,0
study,focus,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
number,math,-1,0
number,calculation,-1,0
number,datum,-1,0
teacher,instructor,0,0
teacher,guidance,0,0
teacher,help,0,0
scientist,research,0,0
scientist,experiment,0,0
scientist,discovery,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,result,-1,-1
logic,reasoning,0,0
logic,deduction,0,0
logic,think,0,0
theorem,proof,0,0
theorem,mathematic,0,0
theorem,conclusion,0,-1
mathematic,equation,0,0
mathematic,theorem,0,0
mathematic,problem,0,-1
student,learn,0,0
student,class,0,-1
student,homework,0,-1
class,group,-1,0
class,room,-1,-1
class,discuss,-1,0
experiment,lab,0,0
experiment,result,0,0
experiment,test,0,-1
biology,life,0,0
biology,cell,0,0
biology,evolution,0,-1
ai,intelligence,-1,0
ai,technology,-1,0
ai,learn,-1,0
model,representation,-1,0
model,simulation,-1,0
model,predictive,-1,0
computation,processing,0,0
computation,speed,0,0
computation,calculation,0,-1
variable,input,-1,0
variable,output,-1,0
variable,factor,-1,-1
blackboard,whiteboard,-1,-1
blackboard,note,-1,0
blackboard,collaboration,-1,0
algorithm,step,0,-1
algorithm,sequence,0,0
algorithm,logic,0,0
history,past,-1,0
history,event,-1,-1
history,change,-1,0
chemistry,molecule,0,0
chemistry,reaction,0,0
chemistry,element,0,-1
teamwork,collaboration,0,0
teamwork,support,0,0
teamwork,unity,0,0
datum,information,0,0
datum,number,0,-1
datum,collection,0,0
problem - solve,think,0,0
problem - solve,approach,0,0
problem - solve,strategy,0,0
future,tomorrow,-1,0
future,possibility,-1,0
future,change,-1,0
work,job,-1,0
work,task,-1,0
work,effort,-1,-1
homework,assignment,-1,-1
homework,study,-1,0
homework,practice,-1,-1
knowledge,understand,0,0
knowledge,fact,0,0
knowledge,wisdom,0,0
success,achievement,0,0
success,goal,0,0
success,win,0,0
failure,mistake,-1,-1
failure,error,-1,-1
failure,loss,-1,-1
job,career,-1,0
job,work,-1,-1
job,income,-1,0
chatgpt,ai,0,-1
chatgpt,language,0,0
chatgpt,tool,0,0
science,experiment,0,0
science,discovery,0,0
science,truth,0,0
music,song,0,0
music,note,0,0
music,rhythm,0,0
career,path,0,0
career,growth,0,0
career,opportunity,0,0
philosophy,question,-1,0
philosophy,think,-1,0
philosophy,ethic,-1,0
lecture,class,-1,0
lecture,presentation,-1,0
lecture,note,-1,0
