cue_word,association_word,cue_valence,associated_valence
work,job,0,0
work,money,0,0
work,effort,0,-1
future,uncertainty,0,-1
future,hope,0,1
future,opportunity,0,1
job,work,0,0
job,salary,0,0
job,routine,0,-1
chatgpt,ai,0,0
chatgpt,help,0,1
chatgpt,technology,0,0
failure,disappointment,-1,-1
failure,learn,-1,0
failure,anxiety,-1,-1
logic,reasoning,0,0
logic,math,0,-1
logic,puzzle,0,0
literature,book,1,1
literature,story,1,1
literature,imagination,1,1
professor,teacher,0,0
professor,knowledge,0,1
professor,lecture,0,0
classroom,student,0,0
classroom,learn,0,0
classroom,school,0,0
class,student,0,0
class,lesson,0,0
class,teacher,0,0
problem - solve,challenge,0,0
problem - solve,logic,0,0
problem - solve,solution,0,1
grade,school,0,0
grade,performance,0,0
grade,stress,0,-1
anxiety,stress,-1,-1
anxiety,worry,-1,-1
anxiety,fear,-1,-1
music,song,1,1
music,rhythm,1,0
music,emotion,1,1
scientist,research,0,0
scientist,discovery,0,1
scientist,lab,0,0
biology,life,0,1
biology,cell,0,0
biology,nature,0,0
stem,science,0,0
stem,technology,0,0
stem,engineering,0,0
informatic,computer,0,0
informatic,datum,0,0
informatic,programming,0,-1
teacher,education,0,0
teacher,student,0,0
teacher,knowledge,0,1
society,people,0,0
society,community,0,0
society,culture,0,0
computation,calculation,0,-1
computation,algorithm,0,-1
computation,mathematic,0,-1
science,experiment,0,0
science,discovery,0,1
science,research,0,0
datum,information,0,0
datum,analysis,0,0
datum,statistic,0,-1
chemistry,reaction,-1,-1
chemistry,lab,-1,0
chemistry,element,-1,-1
equation,math,-1,-1
equation,solution,-1,0
equation,problem,-1,0
blackboard,school,0,0
blackboard,chalk,0,0
blackboard,lesson,0,0
physics,difficult,-1,-1
physics,formula,-1,-1
physics,experiment,-1,0
homework,study,-1,0
homework,time,-1,0
homework,stress,-1,-1
theorem,proof,-1,-1
theorem,mathematic,-1,-1
theorem,complex,-1,-1
knowledge,learn,1,1
knowledge,education,1,1
knowledge,wisdom,1,1
mathematic,number,-1,-1
mathematic,algebra,-1,-1
mathematic,calculus,-1,-1
history,past,0,0
history,event,0,0
history,fact,0,0
lecture,teacher,0,0
lecture,classroom,0,0
lecture,note,0,0
teamwork,collaboration,0,0
teamwork,group,0,0
teamwork,project,0,0
algorithm,code,0,0
algorithm,programming,0,0
algorithm,solution,0,0
study,book,0,0
study,focus,0,0
study,exam,0,-1
creativity,art,1,1
creativity,imagination,1,1
creativity,innovation,1,1
experiment,science,0,0
experiment,lab,0,0
experiment,discovery,0,1
model,design,0,0
model,structure,0,0
model,representation,0,0
proof,evidence,-1,0
proof,mathematic,-1,-1
proof,theorem,-1,-1
student,learn,0,1
student,school,0,0
student,education,0,1
art,paint,1,1
art,creativity,1,1
art,beauty,1,1
ai,technology,0,0
ai,future,0,0
ai,robotic,0,0
exam,test,-1,-1
exam,stress,-1,-1
exam,grade,-1,0
philosophy,think,-1,0
philosophy,ethic,-1,0
philosophy,question,-1,0
success,achievement,1,1
success,goal,1,1
success,happiness,1,1
career,job,0,0
career,success,0,1
career,growth,0,1
number,math,-1,-1
number,count,-1,0
number,datum,-1,0
variable,math,-1,-1
variable,change,-1,0
variable,unknown,-1,-1
llm,model,0,0
llm,language,0,0
llm,ai,0,0
