cue_word,association_word,cue_valence,associated_valence
informatic,datum,0,1
classroom,learn,0,0
classroom,discipline,0,-1
algorithm,logic,0,1
algorithm,optimization,0,0
stem,innovation,0,1
stem,skill,0,0
physics,force,0,-1
physics,energy,0,0
anxiety,stress,-1,-1
anxiety,nervousness,-1,-1
proof,logic,1,0
proof,verification,1,1
failure,mistake,-1,-1
failure,learn,-1,0
logic,reasoning,0,1
logic,structure,0,0
variable,change,0,-1
variable,flexibility,0,0
experiment,hypothesis,0,1
experiment,testing,0,0
future,potential,1,1
future,growth,1,0
computation,processing,0,-1
computation,speed,0,0
chemistry,reaction,0,-1
chemistry,mixture,0,0
music,harmony,1,0
music,melody,1,1
exam,challenge,-1,0
exam,pressure,-1,-1
model,representation,0,0
model,framework,0,0
ai,innovation,1,1
ai,intelligence,1,1
science,research,0,0
science,experimentation,0,0
llm,analysis,0,0
llm,language,0,1
teamwork,collaboration,1,0
teamwork,cooperation,1,1
mathematic,logic,0,0
mathematic,calculation,0,-1
student,learn,0,1
student,curiosity,0,0
philosophy,think,0,-1
philosophy,ethic,0,-1
creativity,imagination,1,0
creativity,innovation,1,1
theorem,proof,0,0
history,past,-1,0
homework,assignment,-1,-1
homework,duty,-1,-1
homework,task,-1,-1
biology,science,0,1
biology,life,0,0
art,creativity,1,1
art,expression,1,0
art,beauty,1,1
lecture,talk,0,-1
lecture,speech,0,-1
datum,information,0,0
datum,number,0,1
literature,read,0,-1
literature,write,0,0
job,career,0,1
job,work,0,0
equation,formula,0,-1
equation,calculation,0,-1
success,achievement,1,0
success,win,1,0
success,goal,1,0
study,learn,0,0
study,academic,0,-1
knowledge,insight,1,0
knowledge,wisdom,1,1
number,digit,0,-1
number,mathematic,0,-1
career,job,0,0
career,future,0,1
class,lecture,0,-1
class,group,0,-1
chatgpt,ai,0,1
chatgpt,assistant,0,0
work,job,0,0
work,effort,0,-1
problem - solve,analysis,0,0
problem - solve,logic,0,1
professor,teacher,0,-1
professor,mentor,0,0
society,community,0,1
society,people,0,0
scientist,researcher,0,0
scientist,expert,0,-1
grade,score,-1,-1
grade,evaluation,-1,0
blackboard,chalk,-1,-1
blackboard,teach,-1,0
teacher,educator,0,1
teacher,mentor,0,0
